Sample	likelihood
0	-11504.878033135828
500	-11494.760212070496
1000	-11512.38713285606
1500	-11498.788647318426
2000	-11515.83195519175
2500	-11506.543075715132
3000	-11499.66432830323
3500	-11500.505156497038
4000	-11503.393524029956
4500	-11502.347053828598
5000	-11497.946529521805
5500	-11503.684865295745
6000	-11492.643093267041
6500	-11495.71429654978
7000	-11501.613122619241
7500	-11497.389265464853
8000	-11501.410863851446
8500	-11495.35955360794
9000	-11505.865554467284
9500	-11511.637822263596
10000	-11507.723934531215
10500	-11501.494775890174
11000	-11505.357891747015
11500	-11522.65726866492
12000	-11495.783891183253
12500	-11494.345088449545
13000	-11488.285005633803
13500	-11493.087170437795
14000	-11498.189919367293
14500	-11490.23493781617
15000	-11486.088961761296
15500	-11485.366696276615
16000	-11500.959180745329
16500	-11488.183279609762
17000	-11494.935220599285
17500	-11480.811677267455
18000	-11494.726361044959
18500	-11484.934290770543
19000	-11479.174894640217
19500	-11486.372473536592
20000	-11509.289418184379
20500	-11492.533630421249
21000	-11492.255053220357
21500	-11491.689296623312
22000	-11487.618300707816
22500	-11490.426989737965
23000	-11477.826297636313
23500	-11500.644598395078
24000	-11482.155649537186
24500	-11482.805853487685
25000	-11498.805932011866
25500	-11480.870236731555
26000	-11513.104183706844
26500	-11503.000958177532
27000	-11516.708830076865
27500	-11501.517625751268
28000	-11502.444649069203
28500	-11501.000373892333
29000	-11497.310862586033
29500	-11491.148453403732
30000	-11495.118441298322
30500	-11494.530536514505
31000	-11492.154894584748
31500	-11485.395384628075
32000	-11488.033386010033
32500	-11489.086072107262
33000	-11503.349894244415
33500	-11496.94838939156
34000	-11503.088321126632
34500	-11488.031957256786
35000	-11489.972191073899
35500	-11494.483646854535
36000	-11484.570137692199
36500	-11515.446796904496
37000	-11484.655826730403
37500	-11505.60586500311
38000	-11492.425448118234
38500	-11495.445913654303
39000	-11507.475536745833
39500	-11499.326062253718
40000	-11484.974685616486
40500	-11505.68500794203
41000	-11510.659048983152
41500	-11498.25348251932
42000	-11507.472415846549
42500	-11496.821505053442
43000	-11490.470470121516
43500	-11507.500004018131
44000	-11495.560591309068
44500	-11498.893563076477
45000	-11502.116200900711
45500	-11490.990602940718
46000	-11502.001598067516
46500	-11490.041503002154
47000	-11482.949847028352
47500	-11485.034952542532
48000	-11486.32970139625
48500	-11486.486144404893
49000	-11493.63225664069
49500	-11494.909165833242
50000	-11491.63851423678
50500	-11501.71657535828
51000	-11501.530700375419
51500	-11488.380423625424
52000	-11488.777818920515
52500	-11493.970880792485
53000	-11499.217203039529
53500	-11529.963863574072
54000	-11515.358498076146
54500	-11497.281355606088
55000	-11496.391154058685
55500	-11502.947673480034
56000	-11491.918364484505
56500	-11489.510015283457
57000	-11494.308867838374
57500	-11480.527506242322
58000	-11489.562015555191
58500	-11490.800318971098
59000	-11502.276139991985
59500	-11497.377463292085
60000	-11505.708285180843
60500	-11499.904088943746
61000	-11509.331845254292
61500	-11486.968559432402
62000	-11507.96615890146
62500	-11499.630023023577
63000	-11491.770293780168
63500	-11507.193843508716
64000	-11498.27372527535
64500	-11513.925854703348
65000	-11511.575655760274
