Sample	likelihood
0	-11675.6998758291
500	-11716.066827340794
1000	-11747.66050342939
1500	-11732.503196113425
2000	-11704.485980660136
2500	-11625.497947605425
3000	-11729.965136097639
3500	-11763.124573971985
4000	-11693.269313040679
4500	-11723.199080382665
5000	-11717.527660575297
5500	-11690.519314010684
6000	-11642.326042161625
6500	-11614.972737875945
7000	-11666.620691152919
7500	-11658.334244972315
8000	-11761.162810953529
8500	-11684.610801007611
9000	-11659.30474225267
9500	-11623.426932887724
10000	-11713.63538006934
10500	-11705.756415933549
11000	-11752.282852043203
11500	-11653.212527849964
12000	-11640.393416651856
12500	-11671.071413111054
13000	-11682.068337348348
13500	-11545.13135589388
14000	-11606.212869858049
14500	-11706.5267495835
15000	-11667.983521673897
15500	-11760.57249818308
16000	-11651.542484625425
16500	-11653.864117886196
17000	-11798.12783196943
17500	-11744.684298100463
18000	-11772.117561660645
18500	-11683.912991826433
19000	-11714.240321574316
19500	-11706.127296806044
20000	-11656.834940293438
20500	-11701.747804158818
21000	-11699.032958194792
21500	-11693.240779653232
22000	-11582.12194127197
22500	-11584.195074782516
23000	-11622.451560323454
23500	-11790.767350282547
24000	-11663.889554933601
24500	-11676.483660607188
25000	-11623.021596556062
25500	-11721.75662573011
26000	-11649.926259427337
26500	-11624.467312807348
27000	-11714.075105829448
27500	-11702.275180333487
28000	-11655.334190869606
28500	-11662.82455399349
29000	-11647.38646525083
29500	-11644.654231222954
30000	-11687.057505867491
30500	-11661.051346539436
31000	-11627.844240382836
31500	-11674.730141947204
32000	-11598.528826863827
32500	-11766.927726882044
33000	-11613.45020441443
33500	-11665.915162739533
34000	-11690.675319831013
34500	-11721.461385225175
35000	-11649.574824008063
35500	-11693.641649302848
36000	-11681.655838942632
36500	-11660.196378874289
37000	-11628.712277813618
37500	-11630.123115127513
38000	-11626.040578925087
38500	-11661.044823348868
39000	-11594.733246567706
39500	-11667.400315474199
40000	-11725.482206715493
40500	-11614.954967438396
41000	-11658.976887117164
41500	-11692.181862606174
42000	-11624.34160683974
42500	-11746.524390321427
43000	-11739.286944411713
43500	-11727.896327475462
44000	-11679.248387002568
44500	-11700.665507585603
45000	-11669.381216640206
45500	-11653.481069733365
46000	-11654.711079659113
46500	-11661.057588294652
47000	-11631.503849830282
47500	-11641.650632474633
48000	-11727.610162063782
48500	-11619.32136575583
49000	-11620.414177360057
49500	-11610.916751980087
50000	-11635.744121090649
50500	-11700.906993870693
51000	-11651.369534761341
51500	-11657.472587057558
52000	-11665.891242679962
52500	-11603.191361120704
53000	-11651.944231267802
53500	-11678.866784728403
54000	-11718.512413890485
54500	-11737.511723251364
55000	-11689.854654503353
55500	-11602.056725439475
56000	-11612.084186152255
56500	-11666.446734847383
57000	-11713.219102907631
57500	-11787.4765200967
58000	-11659.886189528646
58500	-11654.404941965175
59000	-11631.119135868143
59500	-11683.684503893794
60000	-11751.933786734326
60500	-11693.017337793392
61000	-11728.633280398717
61500	-11729.434588749195
62000	-11634.951354142615
62500	-11710.141783118532
63000	-11675.394437525985
63500	-11667.983322769773
64000	-11755.658804907132
64500	-11645.661169096727
65000	-11637.734862963214
65500	-11687.819994365807
66000	-11727.192074106595
66500	-11674.149487835535
67000	-11619.928097610558
67500	-11585.459755362446
68000	-11575.671473409482
68500	-11649.560097565314
69000	-11682.346766113114
69500	-11687.881104598862
70000	-11642.917348253264
70500	-11661.444984077572
71000	-11706.920824084438
71500	-11684.297483812086
72000	-11650.598566481243
72500	-11616.588294943427
73000	-11644.391148812643
73500	-11737.436603291186
74000	-11679.44356173871
74500	-11625.859820244692
75000	-11624.316734339118
75500	-11641.557185695405
76000	-11610.787817203603
76500	-11620.158591942183
77000	-11677.143702564212
77500	-11600.541458990283
78000	-11699.203762832145
78500	-11645.599338374146
79000	-11593.253653616492
79500	-11573.382581618076
80000	-11664.61123767191
80500	-11721.731189310793
81000	-11654.629726009445
81500	-11751.719413019287
82000	-11777.347454139153
82500	-11704.31135930275
83000	-11621.049398394629
83500	-11572.170539394654
84000	-11589.47813456145
84500	-11624.536758607339
85000	-11630.3136753517
85500	-11693.984106638965
86000	-11677.753253927116
86500	-11678.07271649053
87000	-11608.193287443542
87500	-11657.86294629264
88000	-11651.21878018662
88500	-11616.392815486812
89000	-11670.179627220092
89500	-11666.026848691105
90000	-11675.317496498817
90500	-11631.299611109027
91000	-11701.617067829337
91500	-11718.07805890395
92000	-11641.936386936748
92500	-11590.137360999332
93000	-11754.174144109596
93500	-11697.694280755795
94000	-11705.145618838182
94500	-11745.406269640198
95000	-11666.332923703625
95500	-11671.34055285285
96000	-11685.179780680437
96500	-11727.56100266955
97000	-11740.460167234309
97500	-11749.622180558626
98000	-11628.812455887608
98500	-11720.8870911865
99000	-11722.848608070213
99500	-11709.205056512057
100000	-11671.461316940657
100500	-11633.020821007778
101000	-11740.937965949224
101500	-11709.009878018314
102000	-11672.453399027925
102500	-11726.420763061711
103000	-11602.375997591322
103500	-11669.925565438887
104000	-11592.857817923197
104500	-11598.533669658307
105000	-11879.838982476733
105500	-11806.696060861097
106000	-11722.17243455592
106500	-11670.94186756619
107000	-11676.954482508121
107500	-11827.944544483715
108000	-11666.2613591985
108500	-11655.321004514819
109000	-11653.624614115
109500	-11689.570429384707
110000	-11673.016054464433
110500	-11633.600504245469
111000	-11702.882949684741
111500	-11649.716379036463
112000	-11698.366010868322
112500	-11761.376180567615
113000	-11676.913327240196
113500	-11643.130687916728
114000	-11701.244420287638
114500	-11704.762097504867
115000	-11642.41094766705
115500	-11702.18373428332
116000	-11651.727415911044
116500	-11737.61467819492
117000	-11645.390158748309
117500	-11670.98469567853
118000	-11660.434419079918
118500	-11713.69621564594
119000	-11738.447720888931
119500	-11670.552756744224
120000	-11664.201160496616
120500	-11670.874056762588
121000	-11853.168532167621
121500	-11770.748935828802
122000	-11688.499475082923
122500	-11711.882139010586
123000	-11737.169996324852
123500	-11654.736572458263
124000	-11649.736247457984
124500	-11701.542010662028
125000	-11759.33811480787
125500	-11692.506092774736
126000	-11811.088050923976
126500	-11690.829779168382
127000	-11716.108466007261
127500	-11695.726425085782
128000	-11734.827659644065
128500	-11755.952392004558
129000	-11802.13143229656
129500	-11784.333376623525
130000	-11777.947115576468
130500	-11612.826627161801
131000	-11717.076774804606
131500	-11674.654245744208
132000	-11800.66025052607
