Sample	likelihood
0	-17605.495713644425
500	-18457.670038319764
1000	-19232.839611094303
1500	-20168.238384403616
2000	-18998.181276867515
2500	-19604.72831778059
3000	-19884.189626596723
3500	-17778.469941492916
4000	-18163.619705595116
4500	-19481.155289753802
5000	-18946.911337460268
5500	-18272.019618165446
6000	-18923.86976345498
6500	-18305.41406026246
7000	-18727.60951061043
7500	-17907.294010505095
8000	-17687.33597034067
8500	-17450.497197968452
9000	-17337.883970000177
9500	-17019.569946937474
10000	-16583.99524365221
10500	-16532.495954062102
11000	-18027.336599456077
11500	-16837.631600271743
12000	-16482.540171528435
12500	-15708.870917477327
13000	-16103.628775360949
13500	-16401.6104355425
14000	-20333.235681956357
14500	-17873.69683527462
15000	-17433.248764668904
15500	-19678.958877580808
16000	-20866.201935101337
16500	-21080.91922186535
17000	-19962.53299172704
17500	-19914.722185757233
18000	-18508.452972275023
18500	-15803.57784671321
19000	-16747.153282981697
19500	-14866.715292642584
20000	-15204.068723796343
20500	-15299.511735039176
21000	-14873.96055148053
21500	-15242.056809050237
22000	-17103.063895482952
22500	-16823.682395120668
23000	-18029.537970370093
23500	-19513.43434925828
24000	-19002.046605870066
24500	-20477.160517929933
25000	-24153.523436313597
25500	-25689.86262841593
26000	-26776.46487725428
26500	-25954.2580943144
27000	-26044.03405380741
27500	-23970.01489640018
28000	-22236.595654352943
28500	-20961.215779743332
29000	-20745.65908318751
29500	-21338.171239600048
30000	-19592.907571656775
30500	-20406.561695021854
31000	-21453.177684890205
31500	-20614.070867649643
32000	-22022.574145540784
32500	-22416.488665397275
33000	-20937.563892803453
33500	-21282.937618637836
34000	-20743.36174548547
34500	-17929.383899705637
35000	-17014.72087947595
35500	-17611.527853785097
36000	-16297.593687345608
36500	-20514.703157898213
37000	-19222.49116467704
37500	-17876.24641133111
38000	-17468.748226783122
38500	-17350.69543346035
39000	-19425.68242422263
39500	-18096.31045312042
40000	-19801.462077452856
40500	-18095.48983282211
41000	-19467.825587554034
41500	-18280.372239936452
42000	-18960.97072070244
42500	-19876.738618493997
43000	-26150.64805623282
43500	-26526.297320372603
44000	-26510.57368571707
44500	-28436.512413601664
45000	-28635.431515493907
45500	-28636.86022725013
46000	-28636.86022724744
46500	-27999.898227848353
47000	-29267.519692392496
47500	-26281.530247516304
48000	-27521.45600007584
48500	-27521.98126250868
49000	-30019.519479287424
49500	-30019.519479292187
50000	-30019.513596855002
50500	-30012.99217237553
51000	-26872.34398224946
51500	-26872.318350176607
52000	-26872.343982250226
52500	-29739.182065372137
53000	-29739.182065370092
53500	-29739.18206537172
54000	-29651.153474759063
54500	-29738.531674427562
55000	-29707.79960891154
55500	-29671.407516687996
56000	-29739.11939665929
56500	-26449.502682329286
57000	-26317.997669991782
57500	-26343.31319772024
58000	-26340.61625509323
58500	-26343.82768918903
59000	-26343.827689189406
59500	-26341.93574335118
60000	-26343.458659150725
60500	-22672.533466331264
61000	-29210.13887030449
61500	-28902.069703863697
62000	-28315.600896657965
62500	-29589.92222443753
63000	-29351.692565381163
63500	-29387.216608805815
64000	-29503.477196378022
64500	-29596.903749697503
65000	-27880.292512809476
65500	-29422.918099112903
66000	-27742.156978483483
66500	-23212.128099966532
67000	-23588.18411878681
67500	-24179.660229782556
