Sample	likelihood
0	-11645.812995986587
500	-11631.172898296953
1000	-11715.928437491017
1500	-11793.137472945053
2000	-11676.098981843168
2500	-11693.107591467153
3000	-11674.40821412661
3500	-11597.495442438527
4000	-11602.792381048306
4500	-11687.997567293887
5000	-11638.356268777083
5500	-11672.98833571054
6000	-11653.379460101503
6500	-11643.752051292684
7000	-11677.333054589695
7500	-11649.34681618783
8000	-11639.257975824057
8500	-11669.568453241514
9000	-11638.359570573317
9500	-11679.290545168447
10000	-11634.71028555435
10500	-11716.71485077068
11000	-11764.511612882021
11500	-11712.659566760056
12000	-11670.49336793217
12500	-11619.042180382132
13000	-11639.045810983695
13500	-11737.17697185144
14000	-11758.668719734054
14500	-11720.547102682038
15000	-11608.430847212883
15500	-11653.552443257466
16000	-11668.64867732107
16500	-11757.641956817615
17000	-11685.34617036956
17500	-11656.003090986445
18000	-11657.855938763256
18500	-11605.597560576238
19000	-11638.342814168394
19500	-11701.14108461115
20000	-11679.436967395532
20500	-11691.56976405628
21000	-11651.19890012899
21500	-11653.98702788636
22000	-11591.339821053329
22500	-11731.407171693334
23000	-11763.527596693624
23500	-11753.374208496656
24000	-11746.758231788244
24500	-11643.458890053176
25000	-11658.997829093729
25500	-11719.678765397925
26000	-11627.421713860378
26500	-11671.976385691725
27000	-11646.368997872076
27500	-11636.53915569281
28000	-11663.699111130722
28500	-11576.456831671598
29000	-11712.368170080772
29500	-11692.083978821496
30000	-11628.965673961005
30500	-11609.818272102426
31000	-11650.783382662126
31500	-11685.330726977267
32000	-11587.861879463084
32500	-11712.508481281366
33000	-11684.259219122003
33500	-11739.291037588055
34000	-11789.9553850921
34500	-11633.17747880593
35000	-11699.282141007874
35500	-11680.132622953382
36000	-11609.654809724187
36500	-11671.720789107187
37000	-11713.072875360558
37500	-11680.890694920488
38000	-11681.00241528504
38500	-11678.650188502568
39000	-11601.733594370957
39500	-11581.869540570584
40000	-11634.265269254374
40500	-11660.418770059137
41000	-11675.006855157457
41500	-11694.734503975269
42000	-11850.11187943323
42500	-11763.950631103342
43000	-11753.401501183926
43500	-11757.711040240874
44000	-11747.365542997793
44500	-11690.251011856273
45000	-11734.797232256356
45500	-11606.297923008744
46000	-11671.438437974763
46500	-11677.927427058956
47000	-11721.397802466117
47500	-11678.351830820358
48000	-11772.041545247914
48500	-11612.884423028885
49000	-11678.072931991108
49500	-11668.043897591764
50000	-11680.602999492074
50500	-11676.453043822728
51000	-11766.367980317942
51500	-11707.788100398378
52000	-11715.68995902014
52500	-11728.404886863873
53000	-11776.0256347892
53500	-11706.686089671317
54000	-11712.564971546499
54500	-11674.675670340239
55000	-11686.792998148214
55500	-11645.746945398107
56000	-11665.240272661502
56500	-11650.61611490957
57000	-11713.260030845175
57500	-11654.228507679341
58000	-11682.936899436772
58500	-11666.224140614933
59000	-11713.969715696887
59500	-11679.395318927816
60000	-11686.832255981439
60500	-11729.805405763458
61000	-11681.985396462473
61500	-11677.13711206813
62000	-11759.813321183792
62500	-11642.716035761185
63000	-11614.123247001853
63500	-11677.834273628901
64000	-11656.552000897298
64500	-11709.681066570774
65000	-11758.001507212935
65500	-11680.836447983515
66000	-11709.714655513684
66500	-11603.210839733574
67000	-11731.542600501742
67500	-11688.247315554514
68000	-11776.915126402633
68500	-11782.22821744158
69000	-11787.629292448748
69500	-11747.420001061175
70000	-11750.603879118438
70500	-11783.67211686167
71000	-11755.282632451046
71500	-11679.94445728204
72000	-11624.436264680213
72500	-11667.46259931059
73000	-11643.156159007378
73500	-11722.049530994134
74000	-11637.50343920288
74500	-11723.200223795226
75000	-11692.264373600334
75500	-11678.610024649815
76000	-11615.51947782179
76500	-11761.223395076908
77000	-11627.745369079996
77500	-11757.400407052739
78000	-11686.775392675645
78500	-11679.85611833373
79000	-11669.223042645277
79500	-11669.31492679147
80000	-11770.485032259921
80500	-11773.834224017239
81000	-11676.460295803405
81500	-11630.568393457299
82000	-11773.840800111931
82500	-11643.759583590165
83000	-11735.104940096355
83500	-11738.253316630564
84000	-11877.188358340578
84500	-11721.879279887522
85000	-11715.084159010648
85500	-11699.208784808097
86000	-11698.719299990968
86500	-11741.907616183762
87000	-11681.56737008269
87500	-11764.451130763979
88000	-11735.245724087263
88500	-11747.350275404948
89000	-11806.679721631019
89500	-11711.285950207579
90000	-11735.32318222799
90500	-11717.601592171313
91000	-11772.570264124102
91500	-11746.887341727275
92000	-11721.095862603783
92500	-11679.116966503292
93000	-11742.817161741215
93500	-11674.291551664093
94000	-11741.029097544133
94500	-11755.618563927426
95000	-11747.854971566334
95500	-11736.248479109678
96000	-11708.203382127263
96500	-11807.65434845457
97000	-11789.376625914218
97500	-11856.650379542203
98000	-11729.322756423948
98500	-11749.21402596709
99000	-11713.717771657164
99500	-11701.40538365763
100000	-11763.33994859564
100500	-11734.400793010265
101000	-11578.223330038138
101500	-11593.529313996223
102000	-11643.635798012454
102500	-11849.026646461563
103000	-11588.177758240021
103500	-11685.950637169339
104000	-11709.482850247781
104500	-11625.494816965873
105000	-11780.110909601935
105500	-11742.566446357478
106000	-11719.3203179498
106500	-11760.252008828325
107000	-11685.442776915397
107500	-11700.481924965143
108000	-11682.825456214965
108500	-11768.341110733589
109000	-11662.31923861576
109500	-11676.315864381151
110000	-11721.978827064077
110500	-11765.010937632716
111000	-11744.93164012899
111500	-11741.443059655498
112000	-11647.323066381514
112500	-11694.106627026935
113000	-11599.885373666579
113500	-11730.83070317898
114000	-11736.330965353056
114500	-11710.214787173732
115000	-11678.976768586605
115500	-11594.499893301137
116000	-11621.214537372749
116500	-11801.175995087538
117000	-11697.262758815765
117500	-11767.805463366532
118000	-11662.177813937964
118500	-11737.745400069867
119000	-11788.645596229739
119500	-11761.736377532881
120000	-11738.949853748174
120500	-11695.3641520716
121000	-11723.215559380375
121500	-11657.80577794411
122000	-11676.20767441696
122500	-11656.246422898013
123000	-11731.973558958836
123500	-11747.588309030447
124000	-11711.529696403566
124500	-11640.250677914615
125000	-11739.137569595687
125500	-11655.26070320275
126000	-11709.855513673781
126500	-11646.999262283016
127000	-11633.687647737956
127500	-11703.447930455799
128000	-11678.553714042659
128500	-11616.066936891388
129000	-11691.963926138165
129500	-11696.926880733707
130000	-11681.752328319248
130500	-11637.520107085571
131000	-11735.174570290243
131500	-11630.293340019995
132000	-11642.725358191497
132500	-11710.887132559656
133000	-11670.813674069266
133500	-11605.970843782485
134000	-11634.36178911077
134500	-11771.010226710549
135000	-11728.859039987366
135500	-11738.542093370965
136000	-11712.988558774721
136500	-11712.768195836054
137000	-11712.777932789648
137500	-11711.83593651761
138000	-11706.457264037033
138500	-11625.408788346916
139000	-11713.048274331926
139500	-11682.132978692593
140000	-11698.345912271596
140500	-11719.210225146015
141000	-11646.317670115768
141500	-11687.184305050148
142000	-11790.637638410613
142500	-11790.98422404782
143000	-11670.364161110714
143500	-11682.337873962108
144000	-11657.251763900416
144500	-11652.206238449098
145000	-11661.302412554414
145500	-11668.829158719598
146000	-11688.297306883023
146500	-11660.636921289053
147000	-11627.701643600674
147500	-11608.463257241501
148000	-11676.91682023315
148500	-11616.730534481778
149000	-11778.868886426455
149500	-11764.094622767761
150000	-11674.010146802293
150500	-11684.211258043379
151000	-11720.802190446053
151500	-11761.018458116592
152000	-11610.790833588968
152500	-11647.266767555857
153000	-11665.370626807704
153500	-11709.187291364613
154000	-11702.448847225909
154500	-11652.298256443713
155000	-11729.14484114412
155500	-11768.84208916461
156000	-11646.660102218282
156500	-11659.032702372204
157000	-11773.863462466335
157500	-11669.11510363729
158000	-11610.490936609156
158500	-11654.59566206482
159000	-11615.48057211217
159500	-11670.183863120263
160000	-11714.640971843895
160500	-11675.910908836331
161000	-11623.986293294507
161500	-11678.429698407746
162000	-11751.969146929223
162500	-11692.163849058737
163000	-11779.879183780677
163500	-11671.37830913399
164000	-11694.441603299976
164500	-11716.787266172025
165000	-11692.255409534866
165500	-11687.086182771991
166000	-11737.804189309456
166500	-11645.94643604934
167000	-11753.528883140223
167500	-11698.142186256739
168000	-11702.988590997185
168500	-11658.241902362783
169000	-11661.208833073853
169500	-11622.165425977226
170000	-11762.419582840253
170500	-11741.865694423466
171000	-11695.971896180123
171500	-11724.105855538239
172000	-11717.349494272423
172500	-11715.100462690732
173000	-11686.475420641877
