Sample	likelihood
0	-12409.640712330322
500	-12518.0459497021
1000	-12767.789848587681
1500	-13096.905337208633
2000	-12785.289038990291
2500	-12480.906345162282
3000	-12685.238782007546
3500	-12756.504719994922
4000	-12777.033374216237
4500	-12659.558666392779
5000	-12768.0136401532
5500	-12641.748687005447
6000	-12788.166013235132
6500	-12503.716836591086
7000	-12585.668771341776
7500	-12617.742119565397
8000	-12525.181387274431
8500	-12654.227141837455
9000	-12644.871455137814
9500	-12763.638766107351
10000	-12711.871751087223
10500	-12623.58711835021
11000	-12747.109664985544
11500	-12696.117609909388
12000	-12718.03586220889
12500	-12552.331420193936
13000	-12623.052586191192
13500	-12770.088640695916
14000	-12427.405883609095
14500	-12576.172902670069
15000	-12716.24852703031
15500	-12754.69154969651
16000	-12729.667992483775
16500	-12598.143417417263
17000	-12866.304636883251
17500	-12763.511858061214
18000	-12600.502195066518
18500	-12611.464516993652
19000	-12690.887164053158
19500	-12939.349984639524
20000	-12959.281953690006
20500	-13113.023912704537
21000	-13092.714203410509
21500	-12710.0632150254
22000	-12469.14691987512
22500	-12827.977633297785
23000	-12475.430064770919
23500	-12417.339544656912
24000	-12543.132541759762
24500	-12327.562172287733
25000	-12304.123095307907
25500	-12149.179379879506
26000	-12208.867403635748
26500	-12467.54786468907
27000	-12235.222101865233
27500	-12389.433056497583
28000	-12494.228703131725
28500	-12563.09153201991
29000	-12894.389842520266
29500	-12953.466650474647
30000	-12550.071232425731
30500	-12560.470842889556
31000	-12525.185952584288
31500	-12358.628611119513
32000	-12301.92016218714
32500	-12335.810701354083
33000	-12282.988882262724
33500	-12466.6588016748
34000	-12212.138696397524
34500	-12018.758799673271
35000	-12496.32798188739
35500	-12505.874920318058
36000	-12382.443378392927
36500	-12655.283484360016
37000	-12362.25576425798
37500	-12298.532719176566
38000	-12460.604107700548
38500	-12735.907558914045
39000	-12805.506244328086
39500	-12893.613731354852
40000	-12557.156532780613
40500	-12633.639513091732
41000	-12646.317240249049
41500	-12651.826671734589
42000	-12163.417544848053
42500	-12274.333738101253
43000	-11987.151481826048
43500	-12106.641532773954
44000	-12081.098627170515
44500	-11964.112114713078
45000	-12083.429890227937
45500	-12193.979768175643
46000	-12239.3285624654
46500	-12161.381045586806
47000	-12208.966604078429
47500	-12243.998446903342
48000	-12257.305490443725
48500	-12129.814810235841
49000	-12455.429558149144
49500	-12287.203501939854
50000	-12411.822384258148
50500	-12536.728559706984
51000	-12611.08893223964
51500	-12398.102989322319
52000	-12706.728209086108
52500	-12723.57132919585
53000	-12669.52938925192
53500	-12529.91447608163
54000	-12472.109861204264
54500	-12367.63624351514
55000	-12505.699231520945
55500	-12589.37632269723
56000	-12500.14053225687
56500	-12492.082619166056
57000	-12489.54225239164
57500	-12588.624242992262
58000	-12319.19199254792
58500	-12539.343364468736
59000	-12573.113670079518
59500	-12497.179675927391
60000	-12281.28285034272
60500	-12448.391041423483
61000	-12266.109408171229
61500	-12429.579760145512
62000	-12538.452874006187
62500	-12514.016863840516
63000	-12604.432437776215
63500	-12380.310409090353
64000	-12391.07143717424
64500	-12471.99272901333
65000	-12430.57516786794
65500	-12310.646488993803
66000	-12362.441624778807
66500	-12258.159966711983
67000	-12739.769648820264
67500	-12502.01562664583
68000	-12683.958935214368
68500	-12479.936988170404
69000	-12447.64234846231
69500	-12395.288900214255
70000	-12239.434918582529
70500	-12116.182388880217
71000	-12466.48438671236
71500	-12197.018032341546
72000	-12452.511630502971
72500	-12530.732000036753
73000	-12611.120958254895
73500	-12696.588293704437
74000	-12493.925585550485
74500	-12443.415653909324
75000	-12353.469127414475
75500	-12652.797016456832
76000	-12467.259283471994
76500	-12632.607541207639
77000	-12631.607255218625
77500	-12523.54467830481
78000	-12418.705313345892
78500	-12712.532502289163
79000	-12963.087697588127
79500	-12669.895601976194
80000	-12497.962375276828
80500	-12305.285633369891
81000	-12373.84296064582
81500	-12261.95722225903
82000	-12313.46653391203
82500	-12242.221321529209
83000	-12151.72076525734
