Sample	likelihood
0	-11505.492374158875
500	-11490.255769938014
1000	-11509.683521899513
1500	-11560.929041088815
2000	-11507.173386576624
2500	-11490.483060797571
3000	-11519.45261312984
3500	-11509.306417220083
4000	-11557.961471897654
4500	-11534.30592836401
5000	-11514.24964766776
5500	-11547.137609660616
6000	-11562.33775782936
6500	-11524.894439249974
7000	-11520.594155758628
7500	-11519.747611509392
8000	-11505.72647606621
8500	-11511.542437896273
9000	-11546.980197599929
9500	-11574.20196358531
10000	-11518.233529580799
10500	-11536.625885485244
11000	-11527.963028883303
11500	-11511.66880621328
12000	-11522.219661137828
12500	-11535.294461795487
13000	-11517.115494165671
13500	-11548.117585389064
14000	-11507.288203646713
14500	-11513.061826224231
15000	-11499.41230210602
15500	-11519.434988556142
16000	-11517.547376124225
16500	-11535.906722361326
17000	-11538.050338385894
17500	-11522.244964898895
18000	-11538.559322475847
18500	-11525.154253349896
19000	-11541.718328852989
19500	-11557.878635448711
20000	-11518.193434320714
20500	-11534.413830263235
21000	-11534.694467214407
21500	-11513.370257008697
22000	-11560.130017088066
22500	-11583.3733616416
23000	-11552.811946623886
23500	-11535.015522797486
24000	-11532.176111120614
24500	-11560.215297993516
25000	-11578.922200267507
25500	-11553.26524950548
26000	-11529.484298913148
26500	-11538.888735536679
27000	-11531.251851138826
27500	-11552.220818739319
28000	-11533.85220440728
28500	-11532.471196696992
29000	-11521.821113375063
29500	-11512.284390201565
30000	-11551.563338057254
30500	-11522.253362406189
31000	-11501.950416113337
31500	-11518.934520707313
32000	-11568.464942520632
32500	-11519.606937720975
33000	-11504.145940897864
33500	-11516.408515688001
34000	-11506.352632804648
34500	-11519.21056616458
35000	-11504.235848240645
35500	-11509.921423458241
36000	-11553.194978545653
36500	-11525.530341924616
37000	-11501.649221795047
37500	-11560.145186934264
38000	-11512.724291222887
38500	-11564.242158959454
39000	-11529.578382753021
39500	-11546.122908588146
40000	-11525.742184016352
40500	-11560.296833777553
41000	-11513.111774651055
41500	-11532.91245223351
42000	-11572.37375521203
42500	-11550.964440270516
43000	-11567.543371116883
43500	-11526.562313849796
44000	-11501.222219483445
44500	-11510.62599577803
45000	-11572.12925081754
45500	-11537.869562805392
46000	-11596.233580059315
46500	-11552.900947651979
47000	-11531.051457965686
47500	-11573.457307468698
48000	-11565.716262257052
48500	-11525.715705565704
49000	-11532.529676803526
49500	-11523.755639110792
50000	-11526.10309360172
50500	-11524.669773622627
51000	-11527.197427408486
51500	-11531.772139916262
52000	-11530.571783349707
52500	-11540.7010695412
53000	-11580.025657738426
53500	-11539.136564557348
54000	-11528.031700719674
54500	-11517.946799042646
55000	-11564.417652660666
55500	-11524.772740938637
56000	-11531.189860109525
56500	-11539.362840468257
57000	-11545.067380848306
57500	-11535.409172975755
58000	-11536.82499858544
58500	-11558.072072732099
59000	-11553.321786532668
59500	-11558.244641535812
60000	-11514.998225900275
60500	-11537.03436445333
61000	-11512.720082041396
61500	-11520.591644033748
62000	-11546.644470304904
62500	-11507.243070295162
63000	-11551.121205212505
63500	-11499.887886189617
64000	-11513.204321162233
64500	-11580.2721565554
65000	-11518.246531684352
65500	-11505.692896581462
66000	-11536.876952662855
66500	-11530.77336649211
67000	-11579.11604923895
67500	-11541.77825645367
68000	-11496.255726259811
68500	-11526.87238392808
69000	-11520.459660270135
69500	-11533.11026718265
70000	-11533.275323666934
70500	-11545.895119254465
71000	-11526.527638094145
71500	-11509.9419347857
72000	-11545.58002071227
72500	-11561.98542820672
73000	-11554.783034741742
73500	-11550.043605894565
74000	-11533.957625922774
74500	-11512.488530836166
75000	-11507.231441485743
75500	-11573.75943817486
76000	-11526.520570172692
76500	-11548.281704862222
77000	-11524.092444961836
77500	-11524.672915882176
78000	-11541.956753755363
78500	-11515.240807043572
79000	-11543.269436376117
79500	-11504.827005052517
80000	-11535.699857173593
80500	-11520.34621568582
81000	-11512.78661153621
81500	-11501.150754005565
82000	-11551.930397260661
82500	-11585.381720334542
83000	-11572.178454011395
83500	-11583.02462081411
84000	-11578.818114405984
84500	-11581.137066740805
85000	-11558.724668366967
85500	-11601.1478855352
86000	-11544.09118510427
86500	-11554.951000973968
87000	-11522.514216990403
87500	-11511.712575565958
88000	-11508.666776871016
88500	-11544.75622728635
89000	-11527.191936528588
89500	-11513.343841605065
90000	-11518.343964663212
90500	-11495.958081778508
91000	-11540.488262130542
91500	-11516.70387651156
92000	-11573.924996692665
92500	-11508.722843762816
93000	-11520.265304783645
93500	-11523.015826440393
94000	-11498.495108246636
94500	-11521.012509620477
95000	-11506.817163258249
95500	-11520.67479134907
96000	-11504.62311854844
96500	-11520.66598221821
97000	-11511.200239271238
97500	-11518.331029430556
98000	-11542.545185728231
98500	-11543.195335323506
99000	-11528.353861346062
99500	-11526.341644910364
100000	-11550.257220293719
100500	-11604.593464931233
101000	-11546.442364767821
101500	-11555.3276743628
102000	-11562.256820748276
102500	-11527.750943957995
103000	-11535.600292252815
103500	-11538.475308330957
104000	-11520.72016973016
104500	-11536.228039165511
105000	-11531.47529932553
105500	-11528.778998744874
106000	-11543.749737476935
106500	-11533.5447082644
107000	-11514.627229159078
107500	-11511.82514372281
108000	-11555.904329691717
108500	-11542.683394702213
109000	-11545.22369833254
109500	-11521.301249860837
110000	-11509.884424386597
110500	-11511.368376789054
111000	-11507.810538148147
111500	-11515.912032301909
112000	-11525.04662190991
112500	-11538.903113253195
113000	-11515.111594956656
113500	-11497.13464870047
114000	-11496.579052811147
114500	-11547.171483420612
115000	-11543.343868852045
115500	-11565.681674170735
116000	-11558.941921046908
116500	-11528.317407722365
117000	-11572.86494581704
117500	-11547.645798597412
118000	-11510.193609352844
118500	-11519.555708354808
119000	-11541.010585347849
119500	-11514.582523535943
120000	-11506.41296781599
120500	-11518.404943375834
121000	-11517.156174362393
121500	-11542.904087212999
122000	-11542.247361779746
122500	-11557.267553429796
123000	-11514.100243560097
123500	-11526.438895548816
124000	-11488.517059533815
124500	-11523.37301689715
125000	-11511.651101374004
125500	-11501.283016309422
126000	-11514.749885567442
126500	-11538.325408181754
127000	-11527.009196753426
127500	-11543.686785170059
128000	-11533.972094905112
128500	-11508.01858519353
129000	-11522.25541431826
129500	-11542.05110396061
130000	-11525.056466658254
130500	-11542.05025885862
131000	-11551.27730084542
131500	-11560.33855882203
132000	-11520.390162813284
132500	-11534.50310135796
133000	-11567.586589043845
133500	-11535.026388841557
134000	-11532.581785484643
134500	-11538.654515713068
135000	-11543.59920713133
135500	-11552.752295052609
136000	-11504.083441305313
136500	-11517.171715175267
137000	-11538.336011806026
137500	-11521.71509642044
138000	-11528.17320126388
138500	-11541.563767665024
139000	-11549.742486184801
139500	-11499.69577299683
140000	-11523.672793812422
140500	-11519.785921856334
141000	-11561.606322004622
141500	-11535.550768584784
142000	-11556.647130541984
142500	-11510.749990025375
143000	-11501.820879781939
143500	-11510.332261341693
144000	-11499.194580577107
144500	-11531.158948831431
145000	-11547.07123885635
145500	-11519.582833728644
146000	-11539.44495423025
146500	-11561.467399767886
147000	-11515.28248363194
147500	-11540.710656140805
148000	-11546.265756169396
148500	-11516.583250706552
149000	-11537.369539083937
149500	-11564.936167668848
150000	-11614.567655798686
150500	-11571.084795076014
151000	-11520.775382277388
