Sample	likelihood
0	-11929.456943798767
500	-11830.593624466612
1000	-11888.68084131648
1500	-11893.466996114445
2000	-11917.910975822955
2500	-11828.819391076117
3000	-11946.250075966034
3500	-12065.912618566312
4000	-12060.86664074971
4500	-11999.976786264366
5000	-12012.42333127547
5500	-11867.405163667549
6000	-11928.234084663056
6500	-11858.761941376744
7000	-11815.546155052007
7500	-11946.133400092644
8000	-12040.426249074213
8500	-11942.224763439066
9000	-11890.04228775258
9500	-12023.099977679203
10000	-12350.376620303767
10500	-12314.702272398079
11000	-12319.716520930426
11500	-12180.121432488675
12000	-12125.648840467375
12500	-12107.740240843135
13000	-12100.841203449458
13500	-12220.40532227837
14000	-12044.202181713887
14500	-12010.91614406087
15000	-12091.830230173826
15500	-11978.49125097849
16000	-12006.978231453739
16500	-11869.646895955206
17000	-11969.22422145156
17500	-11925.381343530407
18000	-12027.063265323199
18500	-12026.744294840853
19000	-11963.689688147719
19500	-11960.911115905854
20000	-11884.272185753412
20500	-11992.786136307835
21000	-11994.190243911042
21500	-11972.898552541732
22000	-12008.534537062857
22500	-12018.391704065736
23000	-11884.73049774591
23500	-11791.94942635936
24000	-12078.786012756871
24500	-11841.423862559732
25000	-11924.475526291806
25500	-11998.57247599211
26000	-12245.051347400862
26500	-12113.687722083878
27000	-12167.272248571224
27500	-12017.665807943444
28000	-11917.04013179219
28500	-11836.394015408658
29000	-11936.491352676268
29500	-11974.516294830162
30000	-12088.339560900908
30500	-11921.036725267511
31000	-11943.164445745742
31500	-11885.554862318812
32000	-12012.503296946716
32500	-12050.232408137494
33000	-11999.499299511666
33500	-12237.396597342151
34000	-11895.138111877966
34500	-11990.290740689949
35000	-11997.418507795723
35500	-11955.98766299147
36000	-12073.82986788135
36500	-11864.133490547418
37000	-12141.04789682337
37500	-12289.111832966308
38000	-12151.260315526946
38500	-12118.381484818918
39000	-12251.877173191759
39500	-11984.737336630262
40000	-11933.800833670706
40500	-11879.152150806325
41000	-12153.923566642177
41500	-12066.616694594632
42000	-11986.91852238645
42500	-12116.174115865893
43000	-12158.649398043397
43500	-12168.78947980475
44000	-12229.749668502818
44500	-11877.776986208972
45000	-12023.837117297915
45500	-12017.687300203894
46000	-11881.427347745619
46500	-11979.51252436264
47000	-11790.066309899177
47500	-11824.299771949856
48000	-11986.519820407326
48500	-11888.179121809313
49000	-11850.563998311276
49500	-11865.597715615157
50000	-12005.225945572422
50500	-12157.351602968723
51000	-11762.86550212816
51500	-11954.66179634616
52000	-11923.862788536644
52500	-11815.836747212217
53000	-11910.73346890047
53500	-11938.0067173202
54000	-12044.140235398792
54500	-11889.044449731751
55000	-11938.836657599282
55500	-11852.834517784342
56000	-11817.124579347983
56500	-11861.009095459913
57000	-11876.859515867402
57500	-12157.77122387971
58000	-11969.151396276518
58500	-11909.418396191722
59000	-12004.089595577132
59500	-11837.173505111758
60000	-11971.395137998563
60500	-12094.29716364352
61000	-12159.114914941483
61500	-12261.13768859685
62000	-11943.164172761977
62500	-11986.446152787517
63000	-11988.482663805547
63500	-11958.640059953843
64000	-12042.793898061796
64500	-12101.352019200443
65000	-12203.168744660095
65500	-12045.810883218212
66000	-12002.05830363329
66500	-12158.757619122624
67000	-12549.206338196582
67500	-12237.125657078255
68000	-12138.942175383732
68500	-12020.444007689628
69000	-12019.766017215128
69500	-11976.342141868723
70000	-11864.277084427735
70500	-12056.639954189293
71000	-12166.23339126867
71500	-12140.695054026426
72000	-12015.05391161771
72500	-12217.082753801822
73000	-11978.76798451304
73500	-12593.52041648498
74000	-12104.82367166337
74500	-12104.03094546239
75000	-11942.991915457696
75500	-11924.722745535975
76000	-12184.465342119993
76500	-12219.999957969992
77000	-12010.280161659364
77500	-11998.377115755757
78000	-12148.96394200777
78500	-12011.002480678411
79000	-11998.11118224002
79500	-12031.698089233696
80000	-11999.160045146875
80500	-12074.510492726822
81000	-12094.083489495519
81500	-12113.205273598143
82000	-12135.222607028129
82500	-12152.863779051706
83000	-12060.724778518712
83500	-12081.33855923863
84000	-11963.749503164403
84500	-12130.80471035997
85000	-12081.044608801489
85500	-11941.68780255564
86000	-12003.860270923715
86500	-12202.027577043307
87000	-11947.311914714213
87500	-11896.332722471174
88000	-12164.133415817245
88500	-12004.905991045649
89000	-12124.355039501723
89500	-12241.209557316046
90000	-12117.28721267504
90500	-12043.660499403632
91000	-12183.764383489985
91500	-12194.271031934311
92000	-12032.878724643166
92500	-12306.883332339019
93000	-12246.58769525068
93500	-12190.193522928304
94000	-12198.069390672104
94500	-12073.55349617895
95000	-11853.778129762253
95500	-11905.17648887722
96000	-11919.457403905722
96500	-12082.58951242254
97000	-12222.436230728554
97500	-12137.501064455639
98000	-12102.79141226379
98500	-12361.648417523307
99000	-12601.605440995445
99500	-12327.452623394807
100000	-12275.55419244204
100500	-12374.813757662412
101000	-12177.194241741276
101500	-12204.924443338436
102000	-12180.203548817382
102500	-12174.971028496237
103000	-12316.079111575073
103500	-12101.907648204604
104000	-12105.35624568954
104500	-12079.936190530194
105000	-11796.555767917227
105500	-11890.346052162124
106000	-12157.987160637582
106500	-12242.105221114643
107000	-12239.931559749723
107500	-12009.013118348368
108000	-12001.31904194277
108500	-11864.118374097276
109000	-11903.99094257898
109500	-11813.53634849725
110000	-11821.37154278042
110500	-11937.470345051814
111000	-11857.938670726418
111500	-12037.86768519894
112000	-12182.630063109029
112500	-11892.449304234382
113000	-11973.547250571077
113500	-12070.423175649355
114000	-11890.825621834254
114500	-11843.281736375517
115000	-11896.007911871864
115500	-11740.117067252977
116000	-11827.701664016919
116500	-11916.172040970478
117000	-11862.311513036213
117500	-12029.9195760962
118000	-11984.708802851752
118500	-11932.689026004717
119000	-11921.299494617653
119500	-12126.525578949007
120000	-12254.361424254315
120500	-12213.373432156928
121000	-11993.55727242509
121500	-12118.214788666473
122000	-12051.818042682826
122500	-11970.266918301146
123000	-12026.316182982648
123500	-12011.987235312447
124000	-11802.294197927462
124500	-12017.203347728666
125000	-12119.719666276056
125500	-12020.215577311763
126000	-12138.381361699327
126500	-12342.948669784037
127000	-11893.848293131916
127500	-11893.95763597533
128000	-11885.169813700722
128500	-11920.004536668175
129000	-12001.66973012848
129500	-11890.092390423655
130000	-11890.989217565175
130500	-11958.091610792379
131000	-11977.626103966122
131500	-12173.763556510525
132000	-12419.22435706478
132500	-12128.25093804343
133000	-11975.691406168673
133500	-12088.90335923596
134000	-11917.616556772993
134500	-12074.825423406684
135000	-12157.680640004875
135500	-11853.193685841616
136000	-12134.663646582545
136500	-11969.167350591617
137000	-11942.058657073801
137500	-12044.928258040993
138000	-11978.013682906816
138500	-12138.74529099287
139000	-12158.553542649808
139500	-12119.674602090658
140000	-12145.22892581707
140500	-12104.585618322377
141000	-12103.784234115146
141500	-12202.353221380828
142000	-12419.413377019418
142500	-12138.804474426579
143000	-11955.523910877973
143500	-12022.384986526597
144000	-12161.855168617592
144500	-12073.134061404182
145000	-12032.425359030456
145500	-12044.671595442243
146000	-12217.955815779002
146500	-12206.48626562588
147000	-12077.769707590338
147500	-12288.482362660403
148000	-12439.174148477146
148500	-12280.561948655833
149000	-12216.763893137599
149500	-12258.408676351419
150000	-12405.377089177273
150500	-12310.895120937033
151000	-11891.316754111836
151500	-12019.149035812488
152000	-12041.79304741431
152500	-12083.645581617495
153000	-12005.894161394088
153500	-12180.772339116907
154000	-12061.920238950812
154500	-12072.225463900377
155000	-12114.143802950497
155500	-11942.834432786403
156000	-12201.264348881012
156500	-12017.584192608912
157000	-11871.655693480378
157500	-12017.336247651318
158000	-12023.595497328613
158500	-11997.90861083087
159000	-12049.508968477503
159500	-11912.395757742217
160000	-11963.555187965243
160500	-11920.107077252518
161000	-12002.556949766486
161500	-12066.866659243353
162000	-11950.816209682134
162500	-12010.616490233431
163000	-12008.48284953743
163500	-12009.394183976021
164000	-11889.965047902017
164500	-12141.04947368927
165000	-12085.668947380102
165500	-12047.127806209024
166000	-12153.80673503521
166500	-12257.46565775805
167000	-12078.848518009952
167500	-11962.714417085679
168000	-11989.32243727665
168500	-12405.288645703422
169000	-11967.326116050805
169500	-12196.68044753166
170000	-11836.885466158901
170500	-11928.01165628426
171000	-12052.649961022365
171500	-12007.072815791067
172000	-12050.067495450587
172500	-12017.025031151044
173000	-12282.238267435188
173500	-12243.337687452222
174000	-12438.279778658849
174500	-12214.08656699359
175000	-12349.76266226988
175500	-12299.489184702581
176000	-12195.97923641188
176500	-12337.379073339203
177000	-12158.824817942577
177500	-11883.870766647064
178000	-12125.015298882663
178500	-11941.520790177285
179000	-11970.62034708962
179500	-12000.512531532517
180000	-11965.83756478354
180500	-11920.256041643797
181000	-11920.94485260414
181500	-11867.216376811824
182000	-11975.434227844364
182500	-11892.480706036697
183000	-11964.8712172078
183500	-11873.238196085784
184000	-11936.503651659325
184500	-12025.195228217652
185000	-12073.052508017214
