Sample	likelihood
0	-11471.182909169125
500	-11481.844899559957
1000	-11464.831873130035
1500	-11478.15824469291
2000	-11475.021627341157
2500	-11473.64256515539
3000	-11467.219486412389
3500	-11470.363205757583
4000	-11471.772841844779
4500	-11470.474844629523
5000	-11468.47901570828
5500	-11477.844001038155
6000	-11474.152933491909
6500	-11468.338328492353
7000	-11468.449833905675
7500	-11480.648463172269
8000	-11478.26964265308
8500	-11475.153011964047
9000	-11474.107276539638
9500	-11484.099153446718
10000	-11475.727057903505
10500	-11478.043580605025
11000	-11474.543940852442
11500	-11477.372651964919
12000	-11481.091325664456
12500	-11471.87152170257
13000	-11479.518728507926
13500	-11481.57573816182
14000	-11467.883363816543
14500	-11484.234550235997
15000	-11474.513395813989
15500	-11475.961114777245
16000	-11476.479340778631
16500	-11482.143706011886
17000	-11469.982679831035
17500	-11481.263133009736
18000	-11475.973729539804
18500	-11474.762493251907
19000	-11483.883776729008
19500	-11482.092461914192
20000	-11485.766150435638
20500	-11480.288700189272
21000	-11477.153400400051
21500	-11476.023449373208
22000	-11471.453264260012
22500	-11470.133861524495
23000	-11474.106024213781
23500	-11475.40150462462
24000	-11473.324197257632
24500	-11473.755008125061
25000	-11483.955489662838
25500	-11475.487549686814
26000	-11480.142523847031
26500	-11478.67910163986
27000	-11474.42414388438
27500	-11474.879235231816
28000	-11478.756630393656
28500	-11472.467606650225
29000	-11473.926137654087
29500	-11475.062393547156
30000	-11472.114843736936
30500	-11477.02416548749
31000	-11473.185745106148
31500	-11468.92060796286
32000	-11468.495041645523
32500	-11481.562409903376
33000	-11470.265532516805
33500	-11473.99636554993
34000	-11477.079884163562
34500	-11466.84441028136
35000	-11475.42566458392
35500	-11466.822695009216
36000	-11471.904277255986
36500	-11477.931838023858
37000	-11475.756099870388
37500	-11477.005190611713
38000	-11472.16243968612
38500	-11479.001253464494
39000	-11476.113368220482
39500	-11467.376289024749
40000	-11473.373752484316
40500	-11482.23244370919
41000	-11477.92010421927
41500	-11473.019936412844
42000	-11468.035968274771
42500	-11466.033306847374
43000	-11473.991006129252
43500	-11471.299975735481
44000	-11481.552045427905
44500	-11468.301956671236
45000	-11470.227304068285
45500	-11477.994089341846
46000	-11475.613384802971
46500	-11478.483095452153
47000	-11480.47339153576
47500	-11478.853830398712
48000	-11486.478633052515
48500	-11478.978000582569
49000	-11473.824942393621
49500	-11477.428051584793
50000	-11479.86971248873
50500	-11481.2202719323
51000	-11486.26613300227
51500	-11487.02990785105
52000	-11479.538202509531
52500	-11476.253528749789
53000	-11477.772832429424
53500	-11475.734973251323
54000	-11476.192278281103
54500	-11478.579800682775
55000	-11475.454775167105
55500	-11481.041338940839
56000	-11477.176958844766
56500	-11476.410033419448
57000	-11478.064373811174
57500	-11481.058590450823
58000	-11476.080939579791
58500	-11477.003662493355
59000	-11468.98176476963
59500	-11480.316613358633
60000	-11476.488046852119
60500	-11474.672816998393
61000	-11478.46660261878
61500	-11477.35387326843
62000	-11474.87963523978
62500	-11481.373393260965
63000	-11475.677451521748
63500	-11474.10514599996
64000	-11477.675491210195
64500	-11476.612727613103
65000	-11487.151482618727
65500	-11475.051940047942
66000	-11480.268565957163
66500	-11481.08233976591
67000	-11474.258535324645
67500	-11473.332212411266
68000	-11476.279833421855
68500	-11481.2584572434
69000	-11473.23297264693
69500	-11472.290209083681
70000	-11472.620469853011
70500	-11471.990309158193
71000	-11471.199072965715
71500	-11481.66577492583
72000	-11477.815753540204
72500	-11468.306423020465
73000	-11465.33035253892
73500	-11473.94147824191
74000	-11463.155384110012
74500	-11470.833682278986
75000	-11470.126018773544
75500	-11469.085547293505
76000	-11472.291782782104
76500	-11479.358542906686
77000	-11468.929209824522
77500	-11476.699568387208
78000	-11477.932125713858
78500	-11467.364773947034
79000	-11484.150304821187
79500	-11480.614817663169
80000	-11480.763194369481
80500	-11474.236082844527
81000	-11475.384173844519
81500	-11476.100774369514
82000	-11483.291530654164
82500	-11477.550354454026
83000	-11471.040276354617
83500	-11478.721513791841
84000	-11472.575319504735
84500	-11472.511112463273
85000	-11482.426616303472
85500	-11488.783127510427
86000	-11473.180596326172
86500	-11471.9088717218
87000	-11463.99684671319
87500	-11474.219671926236
88000	-11481.410500195512
88500	-11476.398232437512
89000	-11484.696465150395
89500	-11487.824125908452
90000	-11479.51386756274
90500	-11472.841861871397
91000	-11478.923626465405
91500	-11486.38366806742
92000	-11470.039449576963
92500	-11481.348752796457
93000	-11489.39224827502
93500	-11477.392229280475
94000	-11478.238903979749
