Sample	likelihood
0	-13146.400385527731
500	-13327.136558980856
1000	-12750.510927009253
1500	-12955.100457358238
2000	-13605.803284440914
2500	-13524.66059721091
3000	-13716.292753634028
3500	-13749.174224952729
4000	-13781.798994665483
4500	-13750.991145543918
5000	-13342.468680140986
5500	-13248.85647563171
6000	-12766.176349810523
6500	-13170.03538554873
7000	-13337.037529229998
7500	-13583.510650056107
8000	-13948.297655096532
8500	-13343.220172278872
9000	-13084.00716846258
9500	-13115.682844815434
10000	-13259.891074124163
10500	-13674.928290760326
11000	-13985.876018379557
11500	-13171.76449021915
12000	-13201.473105904244
12500	-13178.387773457673
13000	-13393.72562329494
13500	-13708.780987284286
14000	-13765.512640686222
14500	-13169.32507592793
15000	-13045.003978552544
15500	-13712.241628190455
16000	-13673.417268834122
16500	-13589.905324634767
17000	-13523.636552140839
17500	-13309.896465941805
18000	-13471.529016315177
18500	-14070.46483711804
19000	-13173.318575919133
19500	-12996.933329347466
20000	-13355.305386745891
20500	-13044.471447006843
21000	-13276.064750725194
21500	-13059.484145058621
22000	-13294.48226650692
22500	-13588.12774772
23000	-13571.903937562542
23500	-13535.54541458133
24000	-14144.542951826053
24500	-13133.800510128143
25000	-13399.3933304559
25500	-13608.331385021269
26000	-14346.046100828657
26500	-13780.560316382174
27000	-14053.875061018512
27500	-13379.05706165919
28000	-13456.826649804483
28500	-13372.057444696487
29000	-13199.950755699181
29500	-13715.031455299575
30000	-14052.62747695637
30500	-13393.289687411021
31000	-12978.944023247497
31500	-12971.329348072913
32000	-13876.503258571383
32500	-13831.732686813271
33000	-13356.946563812675
33500	-13631.14313269321
34000	-14594.349265183217
34500	-13825.71476434096
35000	-14523.016331935596
35500	-13558.746912730758
36000	-13744.44402041894
36500	-13464.456070340832
37000	-13400.713788817115
37500	-13472.975225774615
38000	-13301.36248772329
38500	-13228.723245015435
39000	-13183.47896228883
39500	-13317.303362128028
40000	-14287.766725080928
40500	-13810.839465494946
41000	-13735.547218556247
41500	-13920.29524459013
42000	-13947.211907205294
42500	-14113.184727905462
43000	-13921.528614155053
43500	-13543.373485201313
44000	-13766.572732166194
44500	-13704.943714308376
45000	-13939.427411333156
45500	-13887.680857125324
46000	-14121.905251518432
46500	-13744.086333033247
