Sample	likelihood
0	-12556.776071877235
500	-12683.215867724362
1000	-12057.860356929432
1500	-12143.50896443515
2000	-12461.813189943541
2500	-13095.363238968112
3000	-12692.785672699383
3500	-13157.623841027113
4000	-13006.207218505486
4500	-12762.980920787231
5000	-12466.28470816995
5500	-12646.593116261416
6000	-13144.137679663225
6500	-12651.73240561475
7000	-12852.028585041307
7500	-12847.95959582352
8000	-12966.806555120196
8500	-13452.70234738553
9000	-13069.082474349063
9500	-13193.761436165836
10000	-13402.408047812523
10500	-12867.554257492046
11000	-12676.984229070014
11500	-13062.29820822185
12000	-12685.051583485676
12500	-12426.605492771116
13000	-12177.04828969654
13500	-12583.412924429253
14000	-12699.023485659469
14500	-12812.728391239014
15000	-12487.889103639474
15500	-13009.760074403874
16000	-12973.69935100771
16500	-12811.357136222154
17000	-13395.186043148842
17500	-13050.776274294425
18000	-12910.773744206002
18500	-12794.63738782654
19000	-12949.123817912656
19500	-13109.757230966356
20000	-12414.383962676335
20500	-12450.650951681353
21000	-12130.678151033992
21500	-12465.285980670888
22000	-12927.958100198857
22500	-13797.259021537564
23000	-14798.054032869295
23500	-13254.224617340335
24000	-12699.049255526923
24500	-12250.483787093319
25000	-12526.716468494824
25500	-12544.944415357239
26000	-12057.926197605584
26500	-12558.906238806658
27000	-12463.336865470734
27500	-13361.825869582519
28000	-12517.903606440137
28500	-12459.141774388578
29000	-12975.270419863782
29500	-12549.427016155525
30000	-12999.832500209066
30500	-13136.270254831346
31000	-13171.126223812937
31500	-12824.006437607024
32000	-14062.031064368308
32500	-12885.937030494888
33000	-12502.175987708166
33500	-12561.048191012835
34000	-12337.800539667422
34500	-12016.679309113706
35000	-12552.01506448206
35500	-12509.739989703336
36000	-12339.85644310981
36500	-12437.550908094536
37000	-12724.605271203724
37500	-12703.453093858774
38000	-12129.714829357239
38500	-12374.729206667489
39000	-13010.841956476268
39500	-12612.060039762573
40000	-12561.926091360661
40500	-12792.772987829818
41000	-13531.19878744014
41500	-13551.021283372727
42000	-13642.815199118155
42500	-13174.479513490325
43000	-13269.699308795509
43500	-13353.256981828119
44000	-13012.178085495023
44500	-12742.08050636087
45000	-12774.512082227864
45500	-12883.583069971359
46000	-13097.394595494618
46500	-13056.890580718247
47000	-12983.201399734191
47500	-13891.812161325155
48000	-13714.647750589813
48500	-13693.855572457225
49000	-13740.799267407157
49500	-13480.04852759387
50000	-13428.893660352263
50500	-12876.118526150138
51000	-12424.218990632302
51500	-12426.368111086254
52000	-12490.911083737668
52500	-13362.724112222795
53000	-13346.523071164993
53500	-12881.77858387891
54000	-12350.564490981056
54500	-12319.6435815529
55000	-12715.787545783238
55500	-12722.554753576296
56000	-12296.828910246926
56500	-13132.173587440344
57000	-13086.036841599738
57500	-12909.434311106252
58000	-12362.7999938397
58500	-12049.675697992128
59000	-12065.829349595704
59500	-12011.161613964237
60000	-12573.216066059376
60500	-13181.912733530591
61000	-12807.7624135869
61500	-12674.183486929453
62000	-12695.53088431209
62500	-12249.06548235838
63000	-12137.962204250178
63500	-12212.834111519975
64000	-13087.36330999543
64500	-13050.727340554802
65000	-12616.406073679538
65500	-13345.382179525644
66000	-13179.985869258577
66500	-13052.76115888072
67000	-13296.368356508554
67500	-13669.97605465182
68000	-13795.202374228696
68500	-13517.331915708377
69000	-13976.38072263294
69500	-13419.84762179332
70000	-13352.45171167094
70500	-13147.222160286497
71000	-13495.745664808519
71500	-13267.889352325854
72000	-12462.810611046489
72500	-12609.141047602589
73000	-13273.336748413421
73500	-12873.141969119833
74000	-13581.444676415456
74500	-13010.14507503327
75000	-12521.957866534702
75500	-12819.797578048781
76000	-12815.609439681299
76500	-13301.9378142894
77000	-12936.464882869708
77500	-13267.206391726844
78000	-12903.373272459388
78500	-12825.718217522865
79000	-12561.186088591452
79500	-12695.709315079228
80000	-11986.522616044675
80500	-11998.441560400359
81000	-12518.313838404167
81500	-12198.620277013164
82000	-12552.00124845847
