Sample	likelihood
0	-25459.81169502725
500	-25493.045357295538
1000	-23658.782250836182
1500	-23150.515174140673
2000	-24862.76219730859
2500	-25111.4101857543
3000	-26815.57916274311
3500	-30782.66859276223
4000	-29663.146267249347
4500	-30949.012897147255
5000	-30100.90048844338
5500	-31841.98520882236
6000	-32922.091108258544
6500	-31752.903275623863
7000	-31559.909580388798
7500	-32646.641831260895
8000	-30207.130453852144
8500	-29681.929406428786
9000	-29396.63582919752
9500	-29626.645689671455
10000	-30770.590726582046
10500	-30830.263283236236
11000	-29941.293862975257
11500	-30159.480554746922
12000	-30858.289826909644
12500	-30796.5264404032
13000	-31213.391389059274
13500	-30095.21418534295
14000	-29444.36389966366
14500	-30871.459050478952
15000	-31608.348192653357
15500	-26944.439510025815
16000	-27546.296934604685
16500	-29508.431503129603
17000	-26918.958624146424
17500	-30018.781147594553
18000	-29775.019359243113
18500	-29387.648379999242
19000	-26526.34573094098
19500	-28352.35463755108
20000	-26819.280580549024
20500	-22520.29842836595
21000	-29122.66667838734
21500	-29066.295922489517
22000	-29045.219996069565
22500	-26658.60495346364
23000	-26659.471072413253
23500	-27770.908606277393
24000	-26479.805586456077
24500	-27022.708074030215
25000	-26892.934879072276
25500	-27326.253360012153
26000	-24338.412318798404
26500	-26025.705126254717
27000	-26123.501665011212
27500	-25202.329869089528
28000	-25428.47734714284
28500	-20507.19658439916
29000	-25075.045132052925
29500	-25230.397821055336
30000	-25143.70587459236
30500	-25669.835098913238
31000	-24118.64928922431
31500	-24776.268687814492
32000	-24532.55633681705
32500	-25516.414937087055
33000	-30756.809590779896
33500	-30824.60292960757
34000	-30852.06550512552
34500	-30827.43588308925
35000	-30756.076341422147
35500	-30140.17897390349
36000	-30687.418399543818
36500	-32646.18939486698
37000	-32726.595393164094
37500	-31273.790379383496
38000	-29818.536998667736
38500	-24669.137992064887
39000	-32159.634811382766
39500	-32468.261469623387
40000	-28686.190593463685
40500	-27099.43856677459
41000	-27399.671693087017
41500	-30966.399413622432
42000	-31450.54663087039
42500	-30525.983141116296
43000	-34327.170906679596
43500	-34395.90245305292
44000	-35548.17643096717
44500	-35803.633792230816
45000	-32503.872081709647
45500	-32478.315633264043
46000	-27900.69543781757
46500	-29739.550398145857
47000	-23329.359663765183
47500	-24257.715568195115
48000	-25444.44431469207
48500	-23024.848330072025
49000	-23412.008134068612
49500	-29498.313538113318
50000	-25322.568163091597
50500	-25707.883271694223
51000	-25790.73542972485
51500	-25401.176876317175
52000	-23175.25698845553
52500	-44231.02077435114
53000	-35529.31186126142
53500	-35033.528649353546
54000	-35528.96781469435
54500	-31401.241446239485
55000	-39891.98731356396
55500	-44877.279974226185
56000	-44421.60317605293
56500	-44917.81363024893
57000	-42734.30330636443
57500	-29116.091067627232
58000	-26498.96116804
58500	-29380.05499220834
59000	-29174.888112176068
59500	-24043.37100376968
60000	-23896.139701023472
60500	-24011.04787256739
61000	-25254.144906362468
61500	-23628.20482445277
62000	-20457.466353530664
62500	-24777.86645161882
63000	-25400.372390417007
63500	-22952.967069037466
64000	-27025.00846211393
64500	-26735.11228418058
65000	-27058.868280219085
65500	-27119.813988310834
66000	-25231.02578291414
66500	-25370.137830127944
67000	-25209.091450622273
67500	-29391.82554709862
68000	-27548.041263815772
68500	-25374.456389360348
69000	-25374.4563893602
69500	-30765.513324243813
70000	-30463.204010493915
70500	-35980.55014114199
71000	-24307.578448939512
71500	-25877.14955888866
72000	-33752.061111127514
72500	-29555.383126862627
73000	-33761.881849527344
73500	-30459.425189373924
74000	-39552.62321977878
74500	-35258.046454209885
75000	-24517.59850797124
75500	-24517.597894919083
76000	-24517.58126918648
76500	-24517.600562450054
77000	-24500.315469531182
77500	-26314.62396277365
78000	-23809.163711052188
78500	-24174.24786153117
79000	-23542.724176766857
79500	-24331.63783429265
80000	-24355.44390805863
80500	-23447.63436418028
81000	-22671.68445703006
81500	-21416.917348780313
82000	-25066.809259526704
82500	-24644.25661040676
83000	-29843.967949019658
83500	-29629.252555879288
84000	-34142.956972776854
84500	-30350.034920542403
85000	-35183.12748408697
85500	-33361.66502515333
86000	-33869.843379524485
86500	-35114.863275450494
87000	-32848.51259586854
87500	-28498.002137147818
88000	-28251.68470092605
88500	-28149.85181344801
89000	-28495.4103721519
89500	-28505.724327734508
90000	-27892.11317235409
90500	-28505.72509874603
91000	-28320.56114556731
91500	-33564.98152627327
92000	-30037.42817729351
92500	-29982.170223613426
93000	-29768.70195325488
93500	-29209.49556311703
94000	-28024.957793626512
94500	-28251.367861554198
95000	-30213.32531118001
95500	-28337.778576433535
96000	-30145.277684169054
96500	-29723.79699337022
97000	-28622.808757518284
97500	-30027.723648779356
98000	-29282.98525536459
98500	-30386.780074784496
99000	-30065.822753664746
99500	-27117.435724472474
100000	-28104.32047654924
100500	-31693.078854566917
101000	-31693.078584325303
101500	-31415.625437632494
102000	-27636.722131542105
102500	-30098.87593365157
103000	-29178.70008674564
103500	-30104.84467800604
104000	-29998.207106019916
104500	-42858.474412982854
105000	-38393.26375725669
105500	-38428.52215832798
106000	-46902.81484533081
106500	-40780.46082804403
107000	-43978.1870753295
107500	-31981.305110731813
108000	-44190.63953480066
108500	-41667.991267176236
109000	-44019.25579249297
109500	-43286.18703465657
110000	-44067.51795970047
110500	-44250.368073849524
111000	-36271.98944390702
111500	-36647.57870352922
112000	-35377.96532326962
112500	-35416.42776723197
113000	-35415.39536881389
113500	-35156.95459506781
114000	-35416.34800138981
114500	-35416.17258416203
115000	-35015.28054042347
115500	-35416.40121574142
116000	-42010.922735486536
116500	-41731.26473217212
117000	-39906.57698836582
117500	-33612.551283976565
118000	-32038.84260375713
118500	-32149.185217046426
119000	-33569.78286621481
119500	-33730.46362227613
120000	-33567.91667569261
120500	-31559.823997504747
121000	-31608.176516611362
121500	-29004.534646663033
122000	-28791.81745058714
122500	-27983.962032457574
123000	-28875.900786083912
123500	-27059.761748139637
124000	-27635.2815719206
124500	-32699.34217277093
125000	-24934.332648321284
125500	-24928.891202083436
126000	-24255.252997975964
126500	-24344.444702969933
127000	-22592.411546155316
127500	-24037.051819945933
128000	-24197.902300419977
128500	-20415.943640460337
129000	-24197.902300386228
129500	-23579.923149809347
130000	-24073.57433648761
130500	-22161.53246872878
131000	-21861.300163737233
131500	-23953.913316832935
132000	-24307.276724001338
132500	-24326.682998754815
133000	-24308.20024408612
133500	-24155.225039982586
134000	-24328.003022142337
134500	-23188.719040688484
135000	-23582.713729342697
135500	-23767.6345866545
136000	-26484.778360307395
136500	-26294.396490886076
137000	-26473.019406768617
137500	-26485.34934978526
138000	-24848.836571311196
138500	-26485.566843322515
139000	-26223.75600166206
139500	-26246.55743847472
140000	-24921.174906405016
140500	-25118.282373958915
141000	-24092.609651339466
141500	-21971.74838027637
142000	-24967.287332672964
142500	-24836.90473330976
143000	-24179.264714255525
143500	-22978.120051493934
144000	-25201.852635182626
144500	-25024.043072294426
145000	-24765.14058897726
145500	-22932.801919648584
146000	-26045.59183953709
146500	-27480.67316140215
147000	-21517.646037919054
147500	-25795.424104887697
148000	-27435.796976667134
148500	-24903.798089522716
149000	-25353.12843001725
149500	-25186.878899591906
150000	-22722.176676368184
150500	-24993.75723669949
151000	-28816.303805570435
151500	-27459.181470202813
152000	-28771.74314689558
152500	-28175.82231828533
153000	-29069.50991008287
153500	-28817.720380134797
154000	-28817.221170278932
154500	-33271.807505227356
155000	-27228.919200361142
155500	-27726.032448480277
156000	-23289.256013585815
156500	-23139.871112351273
157000	-23614.40572499647
157500	-21738.78891577881
158000	-22858.15055720225
158500	-22696.5407848271
159000	-21639.03698783138
159500	-22705.8422885176
160000	-22709.268094415966
160500	-22166.943836069015
161000	-23061.462045529766
161500	-22403.201815508182
162000	-22482.135899392262
162500	-25272.777961786076
163000	-27376.991442817976
163500	-30471.336122465236
164000	-28537.385923330974
164500	-30124.303941286587
165000	-29632.258512175536
165500	-31586.064376504357
166000	-31157.610934226905
166500	-28832.9979266782
167000	-29071.58488765883
167500	-38317.07755646216
168000	-31930.790044960868
168500	-36996.25782950781
169000	-31375.46370690566
169500	-23123.539871905163
170000	-22191.5043468192
170500	-21937.24248123833
171000	-23034.74131789477
171500	-21574.33756340023
172000	-23807.03098001922
172500	-29499.62472104653
173000	-29343.9053974218
173500	-28470.162067998506
174000	-28792.94711988125
174500	-29493.192607696157
175000	-29295.417510998992
175500	-30520.96784721756
176000	-30523.157950431425
176500	-30523.1317086309
177000	-27429.963546127008
177500	-21377.207792528778
178000	-29083.788028954878
178500	-30163.079928576033
179000	-28520.805680919657
179500	-30169.65414014849
180000	-28824.444210811325
180500	-29890.41057724887
181000	-20901.309876363084
181500	-20584.48388967188
182000	-21958.334433371663
182500	-23397.13544058724
183000	-22255.673962065008
183500	-19878.026905784733
184000	-21667.6671275944
184500	-22694.832989326307
185000	-21615.48989785715
185500	-21085.4688751681
186000	-23828.527885016494
186500	-25249.403697342957
187000	-25890.6881198593
187500	-24235.782468620466
188000	-21845.19070017424
188500	-22147.876956509885
189000	-24996.89600373136
189500	-24758.197355219785
190000	-22371.310927423077
190500	-25747.960908192978
191000	-23914.24127679049
191500	-25701.555344883494
192000	-25529.314592368835
192500	-24897.040762753215
193000	-22203.009303632196
193500	-24136.30183366559
194000	-23796.865591950696
194500	-22481.5225145232
195000	-22950.715671659455
195500	-24521.8637094995
196000	-21258.49444761414
196500	-20534.66853976216
197000	-20080.369951411303
197500	-20549.71386642081
198000	-19597.84744015716
198500	-21619.430134887265
199000	-21596.92278980367
199500	-21619.43082529511
200000	-21619.430819774723
200500	-21439.691551713524
201000	-21439.692442319596
201500	-19419.064089294658
202000	-19905.09677587472
202500	-19862.57872994182
203000	-20123.6217456182
203500	-20124.636848628707
204000	-20124.636848628707
204500	-20124.63684862862
205000	-20124.636848628714
205500	-20073.918031076428
206000	-20124.636848628714
206500	-20102.710765511558
207000	-25158.083978164123
207500	-25377.14037703189
208000	-25377.539106250904
208500	-20200.172720616087
209000	-20800.518435649705
209500	-20475.198756657966
210000	-21829.81270974488
210500	-32162.559542384457
211000	-39930.14675912098
211500	-37729.849371011755
212000	-40899.481160460295
212500	-39701.51933795647
213000	-40075.81401528745
213500	-29379.587862207998
214000	-25235.821822106052
214500	-26775.570309208913
215000	-30632.248671086705
