Sample	likelihood
0	-32977.161056724064
500	-29428.25509880231
1000	-31582.597258860813
1500	-30477.51487357903
2000	-33575.96794683233
2500	-19134.418392988227
3000	-21045.278420893294
3500	-22840.397705639374
4000	-22095.020318930623
4500	-21377.512649244898
5000	-23050.02686799061
5500	-22406.200131133177
6000	-20900.974418865953
6500	-20704.94329794904
7000	-19085.823931020685
7500	-20238.77826576528
8000	-20340.90000605827
8500	-21159.290063253567
9000	-20249.56454011377
9500	-20778.982912170515
10000	-19562.869021123286
10500	-21444.717168979532
11000	-21205.039285845807
11500	-20114.328234645367
12000	-21720.442957040505
12500	-22284.35551074307
13000	-21933.097042033092
13500	-21199.916507951177
14000	-20086.36798566853
14500	-19197.69007356469
15000	-20715.976380668963
15500	-21088.888115728594
16000	-21120.317890365604
16500	-19283.583129864848
17000	-26645.66961198326
17500	-25136.000901253447
18000	-29790.7588597506
18500	-34470.922360020144
19000	-36363.715669428006
19500	-18801.7155449401
20000	-18196.857576054696
20500	-31145.924298735325
21000	-20931.374757064947
21500	-18912.74352915827
22000	-22281.311835898377
22500	-26303.077295236264
23000	-29532.199909942767
23500	-18805.732509845897
24000	-18942.976273011267
24500	-21037.208035118518
25000	-20862.04130461358
25500	-21122.364260002185
26000	-21269.72798406694
26500	-24535.595567030286
27000	-20709.90677620769
27500	-20080.478129092735
28000	-21387.912179721523
28500	-24882.25549893807
29000	-22408.02463628372
29500	-20177.487834419164
30000	-21312.954639502055
30500	-25544.254384017313
31000	-19075.915113395633
31500	-23319.347794124275
32000	-36981.68035192312
32500	-25949.06711606611
33000	-28136.992091572974
33500	-21264.2700199858
34000	-20640.496742638446
34500	-18969.091189707076
35000	-25334.18724770788
35500	-29106.93116902612
36000	-42057.80194841706
36500	-28682.65239077453
37000	-33101.089538066124
37500	-24619.173650612975
38000	-19323.894062171104
38500	-27005.599842723324
39000	-38172.81152732197
39500	-19051.127742040022
40000	-25394.5560754739
40500	-22187.976189482353
41000	-19489.86706730636
41500	-17571.618719312413
42000	-18149.541151099686
42500	-21708.56195695317
43000	-19338.854873920718
43500	-24695.11901775449
44000	-24402.813764755323
44500	-22487.203124514035
45000	-18086.2985501041
45500	-22271.89538848372
46000	-33584.35306031543
46500	-22731.711826306804
47000	-26367.103461348885
47500	-34177.359349656384
48000	-32420.512050549954
48500	-22092.47059908267
49000	-21122.691414043828
49500	-18430.117993606975
50000	-28691.59410830215
50500	-21044.48352667595
51000	-20090.43989131161
51500	-20981.20849372693
52000	-21399.628216335434
52500	-22110.248207720782
53000	-25086.239975762728
53500	-22883.123320180955
54000	-31469.733376997774
54500	-40239.54685807171
55000	-32461.722970027062
55500	-25906.678285644757
56000	-34503.311085324676
56500	-27425.865244360026
57000	-26479.07056692044
57500	-38219.38510567073
58000	-30790.11715605227
58500	-28062.861381463325
59000	-25582.65887477427
59500	-26754.992821697335
60000	-23402.06504303607
60500	-19213.36830409783
61000	-22131.585736927158
61500	-20347.49246854184
62000	-23741.254759872998
62500	-21803.280337497272
63000	-19893.701464478316
63500	-21376.912331189644
64000	-22723.87636861389
64500	-22522.60994586184
65000	-19912.25636860692
65500	-21547.970438168366
66000	-21313.604268483574
66500	-18861.452125172065
67000	-22754.48070893281
67500	-34721.07680436422
68000	-33969.44957169996
68500	-24939.616900976038
69000	-35905.2539227756
69500	-50285.58390682532
70000	-54151.05160292262
70500	-34382.701960787206
71000	-45631.94162289895
71500	-46508.58862977009
72000	-43675.45993818781
72500	-44180.818359321376
73000	-39728.29380437718
73500	-27906.57309645299
74000	-24047.484194935227
74500	-28215.787174351946
75000	-19418.5421714628
75500	-20829.362105496635
76000	-26928.087105956154
76500	-32675.896977239336
77000	-36561.25281487305
77500	-30456.069165773173
78000	-35758.00433252672
78500	-29423.50320613443
79000	-29131.947902080752
79500	-27025.604538288684
80000	-20584.01891197714
80500	-21378.369011049832
81000	-20058.93698352334
81500	-19536.688999868507
82000	-20172.018163049706
82500	-21318.35525805555
83000	-21328.998630395065
83500	-22134.288621780903
84000	-19022.98104392067
84500	-22983.849777879608
