Sample	likelihood
0	-11138.90887647121
500	-10614.820737198204
1000	-10361.613118431691
1500	-9173.0428157555
2000	-12445.72239917059
2500	-9674.806624337196
3000	-10089.83160177708
3500	-11239.290319989615
4000	-10475.682697205508
4500	-9796.410368451025
5000	-11018.405442836274
5500	-12255.879668045272
6000	-10420.19961239248
6500	-10202.244060185807
7000	-12148.3861366981
7500	-12664.21073972638
8000	-10483.344876154082
8500	-11826.944873407272
9000	-11860.59864508045
9500	-13422.890746034314
10000	-13313.79947952799
10500	-12963.67556742589
11000	-14427.908641280661
11500	-14913.54767094738
12000	-13873.847572333314
12500	-12213.35653388827
13000	-11786.551244475757
13500	-11262.71592798896
14000	-12880.896912890043
14500	-11305.502920147974
15000	-12202.16833197178
15500	-9253.218943322467
16000	-11030.242262639451
16500	-10636.654358622389
17000	-11686.179729108035
17500	-11576.904666164035
18000	-10017.450148103619
18500	-9703.30560404148
19000	-10842.192195213143
19500	-11898.784933773803
20000	-11626.278993864904
20500	-10558.915639033201
21000	-9838.910458434284
21500	-11233.184355557703
22000	-12043.53913258296
22500	-11259.827700395157
23000	-12329.263686849754
23500	-10686.37970724192
24000	-11549.14969943783
24500	-12051.670957191476
25000	-16037.284770034978
25500	-12475.108457030385
26000	-23716.16384961406
26500	-19098.028838866485
27000	-13350.316913938432
27500	-12109.344190809015
28000	-12252.45706508128
28500	-12270.26120269697
29000	-10790.086033096562
29500	-10407.143160075615
30000	-11023.870763269786
30500	-11581.847145943262
31000	-12987.889828383648
31500	-32207.269787455924
32000	-53827.684284670955
32500	-17446.308857297423
33000	-31444.722984333264
33500	-16203.637745880813
34000	-13340.293658729168
34500	-11196.685172150887
35000	-15245.253045524196
35500	-18837.200209988292
36000	-17773.17409899945
36500	-27643.94194619751
37000	-17546.078963056432
37500	-13280.744452147761
38000	-17143.27584200339
38500	-14415.633765780945
39000	-18312.929725733084
39500	-13038.307920362227
40000	-13773.594244479069
40500	-19791.318095681327
41000	-21441.16684967891
41500	-16637.082726857025
42000	-12143.453765080987
42500	-10186.636802327612
43000	-11228.248407040697
43500	-11473.735401905724
44000	-10880.284088574666
44500	-10877.496524423757
45000	-11005.274243067879
45500	-11033.893777828724
46000	-11370.333020039727
46500	-10494.710714742349
47000	-10348.554626197558
47500	-11560.851413919472
48000	-11633.261124857114
48500	-11349.008240729234
49000	-12917.342714566923
49500	-14030.107681667936
50000	-14929.624725667614
50500	-12347.323095546588
51000	-12037.390671793784
51500	-12130.133633051424
52000	-12291.981449470994
52500	-13674.838091308944
53000	-14601.668802391956
53500	-13725.969949962091
54000	-12494.276207478599
54500	-13965.42578063269
55000	-11017.844245705279
55500	-12772.177071731434
56000	-12957.635038632188
56500	-14363.365786478093
57000	-13667.728538470417
57500	-10467.263396699735
58000	-11250.845309121703
58500	-12787.814474996578
59000	-10809.13918718342
59500	-12398.500121685442
60000	-11163.605206101654
60500	-11860.621977832108
61000	-13524.04317889718
61500	-12423.26519108768
62000	-13419.928759204722
62500	-13994.866009870519
63000	-13201.652971021695
63500	-12309.764594785353
64000	-11477.943269378502
64500	-12039.950800993607
65000	-11484.748648978224
65500	-11637.21584293259
66000	-12073.202155596708
66500	-12110.218527166437
67000	-11411.174150367535
67500	-12110.52360540598
68000	-13903.439372616618
68500	-12917.708030047474
69000	-14094.603789516075
69500	-13441.661696087776
70000	-13372.105891520958
70500	-12020.403083587124
71000	-11301.009653799618
71500	-11823.862831461991
72000	-12117.005436650152
72500	-11651.171670332538
73000	-16500.432621590116
73500	-16082.10239083889
74000	-21130.37036375642
74500	-14402.724678671999
75000	-15595.224016581837
75500	-15461.904768631503
76000	-15643.83009576169
76500	-13065.890479948863
