Sample	likelihood
0	-6370.266318195696
500	-6383.789253767233
1000	-6384.391208936521
1500	-6406.165930213919
2000	-6451.685649414735
2500	-6433.656903925719
3000	-6421.245711673183
3500	-6429.731390411131
4000	-6463.152417496524
4500	-6447.309685277208
5000	-6458.6487279292205
5500	-6468.583122489103
6000	-6469.334962300687
6500	-6451.148558245353
7000	-6448.098948041528
7500	-6434.745713875747
8000	-6419.854287439568
8500	-6428.505463528813
9000	-6432.807092970812
9500	-6415.4112054596535
10000	-6434.816035673118
10500	-6419.263495076334
11000	-6432.7536793820755
11500	-6430.986184924652
12000	-6450.041724158099
12500	-6427.773454029531
13000	-6430.254374888633
13500	-6407.514969665959
14000	-6409.789773002168
14500	-6426.9366096094345
15000	-6419.508101844492
15500	-6397.635293566188
16000	-6434.415771249997
16500	-6434.826153387482
17000	-6413.24707511919
17500	-6407.213578046268
18000	-6411.216158825562
18500	-6436.801864751254
19000	-6399.5433526112265
19500	-6452.62873893533
20000	-6409.864820715076
20500	-6390.435684048756
21000	-6402.152492023851
21500	-6429.015187187474
22000	-6404.543013346154
22500	-6421.506127449681
23000	-6419.094619418093
23500	-6423.797668508873
24000	-6436.35229945086
24500	-6456.479508705935
25000	-6394.939471958523
25500	-6422.194325923421
26000	-6384.299368170251
26500	-6432.174779446553
27000	-6419.294533008743
27500	-6397.702843931657
28000	-6405.694714689546
28500	-6364.644228331237
29000	-6375.526507610773
29500	-6387.257701999715
30000	-6348.682767758825
30500	-6404.98703429929
31000	-6376.9868821065975
31500	-6382.12770600429
32000	-6412.90052243489
32500	-6416.999562621358
33000	-6367.032520968001
33500	-6397.557600521408
34000	-6430.428403146054
34500	-6407.098374053185
35000	-6424.105019042815
35500	-6408.730056540217
36000	-6395.948163793243
36500	-6429.081636469148
37000	-6476.239752745986
37500	-6454.7762565568255
38000	-6432.825508856615
38500	-6444.390367859089
39000	-6444.653782145752
39500	-6404.68082942453
40000	-6426.374270214389
40500	-6463.00447632786
41000	-6454.348763418635
41500	-6469.843980119886
42000	-6398.005737228883
42500	-6394.0586808022645
43000	-6428.5514557182505
43500	-6414.719778458833
44000	-6433.42548435517
44500	-6449.599792947748
45000	-6407.772512563427
45500	-6431.565889640349
46000	-6417.477790904452
46500	-6405.157508247815
47000	-6393.605133050476
47500	-6425.247078312621
48000	-6420.19266018059
48500	-6410.326148444315
49000	-6407.149017388025
49500	-6461.492742262938
50000	-6389.114208128971
50500	-6401.211009973008
51000	-6391.331022776028
51500	-6409.9630791399
52000	-6417.883465366543
52500	-6433.212806274783
53000	-6396.401680319585
53500	-6379.127403973019
54000	-6455.390448044985
54500	-6401.026973759245
55000	-6396.391496823356
55500	-6391.5057039203775
56000	-6411.218996472881
56500	-6410.050533861835
57000	-6462.181441422638
57500	-6427.431196759638
58000	-6462.20153155731
58500	-6440.815130275798
59000	-6428.883232190365
59500	-6451.8419263558535
60000	-6412.023640935201
60500	-6433.774504057895
61000	-6441.4607807963575
61500	-6412.313744721459
62000	-6454.740068764426
62500	-6459.046865484542
63000	-6423.338041827206
63500	-6434.139898653924
64000	-6433.838351203427
64500	-6404.488371331323
65000	-6426.820573540009
65500	-6410.81699066273
66000	-6438.276454927633
66500	-6426.224801702527
67000	-6395.699596352134
67500	-6399.737783035977
68000	-6393.594854114283
68500	-6408.483005816075
69000	-6396.607034561989
69500	-6399.152784248626
70000	-6400.809083830879
70500	-6475.672926955461
71000	-6506.1041676476025
71500	-6459.029080246022
72000	-6431.587250667323
72500	-6440.689773451537
73000	-6439.707272927824
