Sample	likelihood
0	-7786.048106894559
500	-7126.664917373972
1000	-7216.298966573779
1500	-7323.147440792499
2000	-7464.798947676604
2500	-7301.972945083349
3000	-7661.171551698606
3500	-7739.275872309936
4000	-7122.267748703282
4500	-7195.0143763929145
5000	-7672.565359348711
5500	-8538.586937419846
6000	-7756.251840766163
6500	-7922.331754874818
7000	-7949.2515946855965
7500	-8226.344408014242
8000	-8398.788656238807
8500	-8249.864496185355
9000	-8517.695541152749
9500	-8243.497296248086
10000	-8208.362666671173
10500	-8883.300863553519
11000	-8414.306418711732
11500	-8658.264648084343
12000	-8044.341462785774
12500	-8331.608359965381
13000	-8510.149922240855
13500	-8048.698414622793
14000	-8597.10934340088
14500	-8803.475142293808
15000	-8047.699671642435
15500	-7723.081673802967
16000	-8324.501754685347
16500	-7906.561903406738
17000	-8246.99907109538
17500	-8667.870303854463
18000	-8363.141775345102
18500	-8154.691885908125
19000	-7730.015679978101
19500	-7743.24282052299
20000	-8118.988264502105
20500	-8428.855404901624
21000	-8636.401739706542
21500	-8385.215751315656
22000	-8644.603148446435
22500	-8597.25216472413
23000	-8337.704277052542
23500	-8091.381924637014
24000	-7651.027497474525
24500	-7997.042576387595
25000	-8320.76515009299
25500	-8683.383516437554
26000	-9020.200655823215
26500	-8288.083357986961
27000	-8486.910254996246
27500	-8309.190131654195
28000	-7936.3023772808465
28500	-7798.130713842753
29000	-8176.848571555526
29500	-7702.982242178846
30000	-8343.270664299544
30500	-8106.282665054429
31000	-8312.566730563729
31500	-7866.896208571497
32000	-6937.2369229831265
32500	-7203.361284263356
33000	-7194.240237771761
33500	-7672.99484639868
34000	-7446.123300822253
34500	-7547.7632151750295
35000	-8459.128338902528
35500	-8196.567833602092
36000	-8208.681317671259
36500	-7690.255626711695
37000	-8635.816510156166
37500	-8314.179759735449
38000	-8434.627008483729
38500	-8679.740496537997
39000	-8073.313574825842
39500	-7610.869721253312
40000	-7830.832012914683
40500	-7977.680777273073
41000	-8514.438818718652
41500	-8012.614245950822
42000	-8304.997298108683
42500	-8548.923970669686
43000	-8595.464358838792
43500	-7961.943572351914
44000	-8169.008340511755
44500	-7506.755421033227
45000	-8105.133782475054
45500	-7769.247887607982
46000	-8336.270642451702
46500	-8622.318525153936
47000	-8520.830346910769
47500	-8334.969807602145
48000	-8473.897584304716
48500	-7977.627841071277
49000	-7835.054417236885
49500	-8292.86812038813
50000	-7598.330963032175
50500	-8084.079069008722
51000	-8130.166089147723
51500	-8424.51145033321
52000	-7669.597179199529
52500	-7571.323825194146
53000	-7085.47265367863
53500	-7502.827644908625
54000	-7260.675603483292
54500	-7222.2690852475
55000	-8542.749263654081
55500	-8101.605938855659
56000	-8070.950003000362
56500	-7553.2121181411485
57000	-8170.508834481257
57500	-8458.62023488127
58000	-9165.959926953417
58500	-9410.34894953385
59000	-9349.46778583394
59500	-8891.55059269664
60000	-8468.722495724474
60500	-8210.5980544249
61000	-8013.168140657441
61500	-8384.699459945012
62000	-8704.089245950976
62500	-8005.185912487023
63000	-8481.469188683976
63500	-8438.192162290901
64000	-9232.689966451826
64500	-8874.686574798334
65000	-8892.29332025511
65500	-8778.873134547319
66000	-8722.294489837292
66500	-7718.352241775949
67000	-8433.183030778622
67500	-7805.778147578111
68000	-7352.004517522164
68500	-7443.288312982122
69000	-7704.660899010957
69500	-7310.741900319632
70000	-7651.717560058874
70500	-7750.564359771265
71000	-7331.84048020761
71500	-8069.746769647337
72000	-7901.143973746025
72500	-8124.826863410084
73000	-7545.58189553423
73500	-8005.681865564213
74000	-8243.218491483123
74500	-8101.8969144039775
75000	-8269.108968060638
75500	-8176.577052451387
76000	-8367.81983517567
76500	-8570.794957427244
77000	-8305.366838156959
77500	-7907.922720956976
78000	-7736.499783011288
78500	-7734.409360832302
79000	-7776.057528459578
79500	-7970.065713594116
80000	-8129.032450938444
80500	-7996.592772378677
81000	-8750.87381602857
81500	-8133.729339673641
82000	-8906.294269578484
82500	-8838.931353215807
83000	-9019.16876943322
83500	-8684.711285550164
84000	-8861.23469049908
84500	-8883.519426998268
85000	-8973.176742289606
85500	-9128.172899393732
86000	-8658.621915118432
86500	-8515.013098593317
87000	-8455.470637447701
