Sample	likelihood
0	-6358.69653927484
500	-6341.501269468225
1000	-6376.96510151929
1500	-6352.412042024009
2000	-6382.507036498868
2500	-6370.780664151475
3000	-6350.369313760046
3500	-6365.558205620737
4000	-6348.117486901185
4500	-6360.408944645997
5000	-6340.526758745751
5500	-6333.641526219873
6000	-6354.499937318408
6500	-6351.080102214823
7000	-6354.252300715306
7500	-6339.229068897044
8000	-6378.464760479773
8500	-6368.5380055906635
9000	-6357.027208841956
9500	-6352.979636097007
10000	-6356.6417027974785
10500	-6358.211538842618
11000	-6361.764921385694
11500	-6363.704440082638
12000	-6348.508867940703
12500	-6361.35892577923
13000	-6334.602045427152
13500	-6351.075356331513
14000	-6336.708925156886
14500	-6339.430982260116
15000	-6372.172336428233
15500	-6354.410897333294
16000	-6356.423949168211
16500	-6355.479062546903
17000	-6350.059854693109
17500	-6356.171296807874
18000	-6358.197839990903
18500	-6384.7826759118825
19000	-6353.136246741965
19500	-6360.1937808396115
20000	-6375.368782721179
20500	-6360.446542721014
21000	-6386.055989123878
21500	-6387.873258831857
22000	-6376.615984607003
22500	-6354.244347405806
23000	-6369.873811024577
23500	-6358.842497763244
24000	-6375.83459511965
24500	-6395.498866020159
25000	-6378.4664539884425
25500	-6350.759845973885
26000	-6360.241566349956
26500	-6348.395395363003
27000	-6351.158143443547
27500	-6351.66498757892
28000	-6368.967664590821
28500	-6352.57493978811
29000	-6350.170722224458
29500	-6346.309252288555
30000	-6355.434871777911
30500	-6350.722451763611
31000	-6352.889780613917
31500	-6349.257857359819
32000	-6371.961922440906
32500	-6357.188589612005
33000	-6358.709419741083
33500	-6363.888454210191
34000	-6345.476155443982
34500	-6368.898245146959
35000	-6333.615499857718
35500	-6358.435761545782
36000	-6345.730226099372
36500	-6384.351868789556
37000	-6357.263267466015
37500	-6350.10494909315
38000	-6358.012259675012
38500	-6358.506796046555
39000	-6366.298616747144
39500	-6361.44167412404
40000	-6359.969773209518
40500	-6356.320388004388
41000	-6364.942997842958
41500	-6363.601593448797
42000	-6383.919144106362
42500	-6363.268166532458
43000	-6353.1661413978445
43500	-6378.332520727589
44000	-6363.84664185828
44500	-6373.009263247447
45000	-6392.200834904944
45500	-6397.557694700787
46000	-6360.512273747503
46500	-6352.641448852348
47000	-6342.4440943185655
47500	-6349.649490746753
48000	-6342.841750830937
48500	-6346.506579183851
49000	-6338.313691015462
49500	-6343.318230157096
50000	-6337.944443252146
50500	-6367.139938079584
51000	-6353.450555092012
51500	-6341.698708854921
52000	-6362.912291809179
52500	-6366.783567984789
53000	-6358.9028163708
53500	-6367.95996889754
54000	-6366.856059099506
54500	-6355.9231311863505
55000	-6336.44867494458
55500	-6360.813412581193
56000	-6339.517411070159
56500	-6338.121388869186
57000	-6350.237862416601
57500	-6345.7917217596505
58000	-6344.327507794485
58500	-6374.101784705823
59000	-6345.452897063184
59500	-6345.63330942928
60000	-6337.562542272738
60500	-6348.499403777326
61000	-6335.867167252829
61500	-6340.663343708069
62000	-6347.442546766492
62500	-6361.709185353527
63000	-6347.331391306877
63500	-6365.55208388537
64000	-6363.286812703409
64500	-6343.66622087977
65000	-6352.2670735734555
65500	-6331.233224806054
66000	-6339.615388820419
66500	-6348.129083580416
67000	-6374.458098786161
67500	-6361.533602764283
68000	-6350.321423008386
68500	-6346.372858122448
69000	-6333.948638327662
69500	-6353.688149058861
70000	-6354.210681464329
70500	-6348.744091625873
71000	-6338.255342688034
71500	-6355.020146510322
72000	-6371.068006912168
72500	-6334.780075172429
73000	-6362.003019367108
73500	-6345.335642304756
74000	-6343.888881257201
74500	-6352.200375335212
75000	-6352.379714902735
75500	-6354.70867988258
76000	-6338.991661625331
76500	-6347.111253749957
77000	-6364.270361380732
77500	-6346.396887031097
78000	-6350.979595618987
