Sample	likelihood
0	-6932.751001485942
500	-7142.2766438043345
1000	-7278.610869864914
1500	-7243.9495915463895
2000	-7151.486525605364
2500	-7207.958588750264
3000	-7010.317048039852
3500	-7074.648041305215
4000	-7163.843495818601
4500	-7418.519692831525
5000	-7406.988290471861
5500	-7242.104839459639
6000	-7075.24419545055
6500	-7012.699645771425
7000	-7141.274602494282
7500	-7398.85309833997
8000	-7123.179827578428
8500	-7151.798035444922
9000	-6950.761958694353
9500	-7449.25633759759
10000	-7432.43921749419
10500	-6881.06999494513
11000	-6907.926310706755
11500	-7020.769765588732
12000	-6986.222199987098
12500	-7009.892961698631
13000	-6861.8704269545815
13500	-7483.995676112063
14000	-7081.569607361002
14500	-7433.189397602545
15000	-7347.634082951796
15500	-7245.960393826177
16000	-7234.334195359819
16500	-6834.034480536408
17000	-7006.44067452698
17500	-6830.387506180442
18000	-7021.658871489642
18500	-7197.122324435614
19000	-6908.223476048166
19500	-7167.407235570376
20000	-7119.673956404793
20500	-7073.573942050647
21000	-7087.2246942123475
21500	-7189.636177052952
22000	-7558.701298000581
22500	-7702.597424897687
23000	-8222.959333581266
23500	-7662.003059731978
24000	-7458.959946413358
24500	-7390.842363215688
25000	-7218.790128946647
25500	-7040.66188153123
26000	-7191.412171216109
26500	-7637.736525409204
27000	-7640.5939743776435
27500	-7577.932561910834
28000	-6976.321770189555
28500	-7152.349435784382
29000	-7664.594754966398
29500	-7174.495719997619
30000	-7652.819688939603
30500	-7107.599333531871
31000	-7315.790599691361
31500	-7221.0182139616145
32000	-7549.50102884795
32500	-7712.711700309402
33000	-7099.729195444209
33500	-7173.197625420535
34000	-7673.6936902192465
34500	-7372.385948908755
35000	-7664.900355273243
35500	-8265.667965394394
36000	-8057.955178084596
36500	-7641.1421552741285
37000	-7414.064063606672
37500	-7084.745867507158
38000	-7561.470528486722
38500	-7009.5617661906435
39000	-7208.931262525549
39500	-7833.304263055565
40000	-7035.198131881171
40500	-7085.912333130872
41000	-7149.933302862011
41500	-7132.337859340552
42000	-7344.212145811487
42500	-7574.620343721527
43000	-7436.798696120023
43500	-7182.263906396202
44000	-7627.383063622218
44500	-7938.855391160507
45000	-7770.3315483689585
45500	-7438.458702382368
46000	-7940.393387845286
46500	-7595.64052681557
47000	-7130.513477627479
47500	-7424.025999548047
48000	-7247.721324156783
48500	-7710.981947802707
49000	-7894.898347747936
49500	-7775.862751578335
50000	-7369.342221917678
50500	-7404.353249010908
51000	-7283.886861387642
51500	-8205.042279811181
52000	-7855.698348353418
52500	-8487.036251129612
53000	-7660.468534080747
53500	-7724.670138136401
54000	-8319.40276650634
54500	-8491.426581178466
55000	-7861.811883793956
55500	-7582.440671472166
56000	-8054.76309476006
56500	-8173.55227598603
57000	-7267.391436221354
57500	-7650.937708008406
58000	-7294.414797776988
58500	-7193.418058781292
59000	-7567.95600453228
59500	-7174.255943181511
60000	-7218.563069916677
60500	-7206.990464289706
61000	-7010.5651420619915
61500	-7471.470998186105
62000	-7838.933430780763
62500	-7537.182167284393
63000	-7603.223669609614
63500	-7423.199203957298
64000	-6952.761160591155
64500	-7197.894418502967
65000	-7515.242149010321
65500	-7295.6955148265915
66000	-7480.054535727549
66500	-7672.168548467405
67000	-7098.940342063302
67500	-7507.773699769579
68000	-7179.145670836869
68500	-7269.17465927542
69000	-7127.316711204057
69500	-7284.91437675896
70000	-7206.883602981744
70500	-7281.552463821661
71000	-7403.690900476155
71500	-7248.340691554632
72000	-7731.381458243967
72500	-7317.298344768525
73000	-8179.418407514203
73500	-8049.971165064693
74000	-8331.43997776045
74500	-9106.491501114773
75000	-8049.74284749495
75500	-7319.870521928126
76000	-7082.5515626240085
76500	-7348.84661675692
77000	-7337.217035579044
77500	-7852.713601034587
78000	-7302.533681831974
78500	-8369.243527149085
79000	-8204.05272795117
79500	-8284.982519651765
80000	-8033.575948568993
80500	-8035.8003060077335
81000	-7135.976850730915
81500	-7138.781509565507
82000	-7205.047172754841
82500	-6975.092711889674
83000	-7326.4086636375305
83500	-6904.81538582666
84000	-7424.39325970485
84500	-7030.964955388487
85000	-6949.696781408021
85500	-7923.259966713331
86000	-7559.670575880001
86500	-6888.9690221338105
87000	-7004.895821534317
87500	-7707.544652636616
88000	-7062.4490499130125
88500	-7035.1440057583295
89000	-7324.825626373924
89500	-7297.682606952212
90000	-8013.934241486269
90500	-7477.433884070267
91000	-7589.742337371248
91500	-7697.277054277742
92000	-7736.58521457268
92500	-7684.829314430607
93000	-6814.746582083345
93500	-7124.45792497551
94000	-7218.876353950062
94500	-7786.25884251402
95000	-7400.50677091353
95500	-7621.3021364403985
96000	-7563.235868904216
96500	-7791.563270873551
97000	-7934.192671572607
97500	-7321.85095993761
98000	-6988.021107810315
98500	-7367.872701308624
99000	-7055.734144092779
99500	-7823.057603605512
100000	-6988.253047915351
100500	-7258.057335975811
101000	-7212.672965564377
101500	-7505.802174374212
102000	-7418.355760609374
102500	-7203.049184855914
103000	-7686.731681737805
103500	-7558.975226950475
104000	-7658.077728486196
104500	-7928.000823473985
105000	-7717.43688411134
105500	-7652.82046979854
106000	-7689.627795919448
106500	-7407.140810148985
107000	-7784.927337514171
107500	-8309.101168553776
108000	-7640.870489274188
108500	-7760.965899590475
109000	-7480.599885171812
109500	-7874.771287952266
110000	-7427.029658425137
110500	-7719.085224981999
111000	-7991.585382199255
111500	-8011.5859023870025
112000	-7446.576433426535
112500	-7316.128063775084
113000	-6938.483133041453
113500	-7032.184482073115
114000	-6936.114019934823
114500	-7018.628126731803
115000	-7097.839898882647
115500	-6885.6221283465275
116000	-7160.058134980167
116500	-7179.761762410446
117000	-7110.549353486802
117500	-7295.17209982347
118000	-7254.477883737753
118500	-6996.121242310543
119000	-7450.383317584686
119500	-7860.689156722333
120000	-7478.4850356143415
120500	-7685.909202527312
121000	-7573.637347945388
121500	-7982.209384535952
122000	-7906.812174736794
122500	-7629.883629534707
123000	-8038.442794160516
123500	-7446.292723888304
124000	-7310.765582718506
124500	-7187.935072040123
125000	-7459.248535775978
125500	-7430.651817640785
126000	-7479.188065480122
126500	-7207.155817817134
127000	-7514.474274716131
127500	-7774.339337903306
128000	-7569.262646244564
128500	-7387.805813835852
129000	-7058.651443447562
129500	-7242.653893909524
130000	-7346.768339304887
130500	-7384.33283837189
131000	-7236.914666025803
131500	-7528.435599060951
132000	-7757.171348853058
132500	-7099.436276538703
133000	-7080.272062322907
133500	-7122.605583115988
134000	-7165.887706292684
134500	-7212.743553757473
135000	-6993.288330556161
135500	-7210.385766460742
136000	-7276.629838354465
136500	-7226.707800772905
137000	-7625.376915320892
137500	-7393.855558842202
138000	-7501.585206758363
138500	-7297.886221205579
139000	-7294.873172425908
139500	-7113.537004811741
140000	-6943.498377805973
140500	-7197.325202339389
141000	-7325.988651423538
141500	-7368.998962920882
142000	-7198.107225471057
142500	-7842.379218022286
143000	-7421.108887737166
143500	-7567.965507642892
144000	-7436.904523879205
144500	-7551.91182312347
145000	-7547.782853435795
145500	-7364.951124551692
146000	-7484.184034562748
146500	-7484.367940398739
147000	-7470.579429409389
147500	-7559.833233457237
148000	-7435.9053239539035
148500	-7481.312539464698
149000	-7278.101022931021
149500	-7368.6115343506945
150000	-7239.975202288182
150500	-7643.429525796846
151000	-7307.236500749796
151500	-7262.479617099501
152000	-7641.329445755156
152500	-7099.572083003019
153000	-7296.047482017298
153500	-7256.432105071264
154000	-7447.570892117732
154500	-7556.356815070698
155000	-7291.478159227328
155500	-7570.8111862201595
156000	-7897.3941717558455
156500	-7694.673113481692
157000	-7514.121787488292
157500	-7358.715502310902
158000	-7485.6921793931115
158500	-7202.889412229065
159000	-7175.199405580269
159500	-7193.18596119239
160000	-7140.866128653399
160500	-7495.186320522882
161000	-7377.330426009838
161500	-6977.564336918916
162000	-7377.732267073625
162500	-7184.399367784372
163000	-7120.9400186484945
163500	-6928.440891311079
164000	-7114.938230484496
164500	-7324.95821853906
165000	-7279.106127995698
165500	-7751.327332296047
166000	-7953.141283032853
166500	-7800.507396666466
167000	-7250.683393383302
167500	-7226.798514206873
168000	-7214.13391308186
168500	-7390.052262619664
169000	-7260.298488627829
169500	-7287.032758993288
170000	-7747.415782207063
170500	-7229.107959480114
171000	-7636.704338076273
171500	-8019.814070684346
172000	-7541.159088050342
172500	-7835.244010197466
173000	-7604.123735977423
173500	-7731.107439607389
174000	-8478.107433139388
174500	-7597.104038582242
175000	-7781.070300941503
175500	-7172.244130111393
176000	-7464.360566139641
176500	-7579.002896401935
177000	-7561.808389569707
177500	-7328.772956402747
178000	-7476.3262579371485
178500	-7627.435117856413
179000	-7236.313161111948
179500	-7037.875552875624
180000	-7020.709058327999
180500	-7012.719762675995
181000	-7336.084683729992
181500	-7275.333824759475
182000	-7370.639911563671
182500	-7386.150762411921
183000	-7161.4458397922235
183500	-8339.485417584872
184000	-7397.298385584238
184500	-7444.54462122497
185000	-7195.30408558455
185500	-7157.150358573354
186000	-7412.205081964914
186500	-7327.313472764941
187000	-7335.5289928751745
187500	-7432.62944056781
188000	-7463.81781219112
188500	-7797.075328501798
189000	-7745.098618956207
189500	-7371.2896033553
190000	-7649.162276884497
190500	-7288.785036658545
191000	-7819.342257673363
191500	-7660.747968761275
192000	-7520.927513979836
192500	-7469.497171735
193000	-7275.827121930328
193500	-7447.587930714703
194000	-7422.60362846011
194500	-7096.419646226459
195000	-7370.026054233955
195500	-7385.196465843494
196000	-7540.79465327897
196500	-7460.756955913299
197000	-7618.489059128477
197500	-8277.984788596863
198000	-7587.510476563536
198500	-7645.36531480633
199000	-7776.418859587376
