#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HRTV_M_BEAST" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_M_2019=2019,HRTV-26_T_M_2019=2019,HRTV-056F_T_M_2023=2023,HRTV-404_T_M_2021=2021,HRTV-100_T_M_2022=2022,HRTV-187_T_M_2022=2022,HRTV-432R_T_M_2023=2023,HRTV-504_T_M_2019=2019,HRTV-642T_T_M_2023=2023,KJ740147_H_M_TN_2013=2013,OQ688997.1_H_M_KY_2017=2017,MZ440343_T_M_NY_2018=2018,MZ440346_T_M_NY_2018=2018,NC_024494_H_M_MO_2009=2009,OQ689000.1_H_M_MO_2017=2017,JX005845_H_M_MO_2009=2009,OQ688982.1_T_M_MO_2012=2012,OQ688988.1_T_M_MO_2012=2012,OQ688985.1_T_M_KS_2015=2015,OQ688992.1_H_M_OK_2017=2017">
#                        <taxa id="TaxonSet.HRTV_M_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HRTV_M_BEAST"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="Standard_TPM2uf_frequencies_prior.s:HRTV_M_BEAST" name="distribution">
#            <parameter dimension="4" id="TPM2uffreqParameter.s:HRTV_M_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.3" spec="beast.base.inference.distribution.Dirichlet">
#                <alpha id="Function$Constant.3" spec="beast.base.core.Function$Constant" value="1.0 1.0 1.0 1.0"/>
#            </distr>
#        </prior>
#        <prior id="Standard_TPM2uf_rates_prior.s:HRTV_M_BEAST" name="distribution">
#            <parameter dimension="3" id="TPM2ufrates.s:HRTV_M_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0 1.0 1.0</parameter>
#            <distr id="Dirichlet.2" spec="beast.base.inference.distribution.Dirichlet">
#                <alpha id="Function$Constant.2" spec="beast.base.core.Function$Constant" value="1.0 1.0 1.0"/>
#            </distr>
#        </prior>
#        <prior id="ClockPrior.c:HRTV_M_BEAST" name="distribution">
#            <parameter id="clockRate.c:HRTV_M_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.0028166</parameter>
#            <LogNormal id="LogNormalDistributionModel.3" name="distr">
#                <parameter estimate="false" id="RealParameter.15" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.16" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:HRTV_M_BEAST" name="distribution">
#            <parameter id="gammaShape.s:HRTV_M_BEAST" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">0.269</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="PopSizePrior.t:HRTV_M_BEAST" name="distribution" x="@popSize.t:HRTV_M_BEAST">
#            <Gamma id="Gamma.5" name="distr">
#                <parameter estimate="false" id="RealParameter.11" name="alpha" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.12" name="beta" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@HRTV_M_BEAST" id="treeLikelihood.HRTV_M_BEAST" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HRTV_M_BEAST">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:HRTV_M_BEAST" shape="@gammaShape.s:HRTV_M_BEAST" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HRTV_M_BEAST" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HRTV_M_BEAST" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="Standard_TPM2uf.s:HRTV_M_BEAST" rates="@TPM2ufrates.s:HRTV_M_BEAST" spec="substmodels.nucleotide.TPM2uf">
#                    <frequencies frequencies="@TPM2uffreqParameter.s:HRTV_M_BEAST" id="TPM2ufFreqs.s:HRTV_M_BEAST" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:HRTV_M_BEAST" id="StrictClock.c:HRTV_M_BEAST" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	gammaShape	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	popSize	CoalescentConstant	clockRate
0	-6562.356927705218	-6488.647252427166	-73.70967527805261	-6488.647252427166	24.480095788048423	90.8996063870137	0.3744246095797462	0.28953406806258997	0.18415136212775865	0.2761505922546632	0.25016397755498954	0.33276021309597037	2.520749884068108	0.33276021309597037	0.14648990283589997	2.520749884068108	0.14648990283589997	6.130323469083883	-59.24331451350959	0.0010787844690674606
1000	-6552.068342445151	-6473.985346364917	-78.08299608023347	-6473.985346364917	32.19223341469387	113.49357591782264	0.3744246095797462	0.28104064077743635	0.18415136212775865	0.28464401953981683	0.25016397755498954	0.24987938085180691	2.4042365852755188	0.24987938085180691	0.34588403387265254	2.4042365852755188	0.34588403387265254	7.259605559195836	-63.68259613577819	0.0012115898810770944
2000	-6563.975665667978	-6486.129226660392	-77.84643900758643	-6486.129226660392	32.067113370463424	112.77776223839845	0.5036678298381723	0.28104064077743635	0.18415136212775865	0.28464401953981683	0.25016397755498954	0.168722794722619	2.4853931714047066	0.168722794722619	0.34588403387265254	2.4853931714047066	0.34588403387265254	6.6549078198687255	-63.29243098723732	0.0011403716962249582
3000	-6605.895224091804	-6534.106426167771	-71.788797924033	-6534.106426167771	26.61153565828451	94.7014074379154	0.5036678298381723	0.28104064077743635	0.18415136212775865	0.28464401953981683	0.25016397755498954	0.23444175335061399	2.4853931714047066	0.23444175335061399	0.28016507524465756	2.4853931714047066	0.28016507524465756	7.546508052280647	-57.4124501300073	0.0012940748876637252
4000	-6543.980615997078	-6468.051133581956	-75.9294824151216	-6468.051133581956	29.164235101901554	104.12764427337828	0.33747276841600954	0.28104064077743635	0.18415136212775865	0.28464401953981683	0.25016397755498954	0.3327530001426431	2.4853931714047066	0.3327530001426431	0.18185382845262846	2.4853931714047066	0.18185382845262846	8.069112714763415	-61.18186200860265	0.0011857229768752003
5000	-6571.893250992204	-6499.6561022718515	-72.23714872035293	-6499.6561022718515	29.08122938888151	95.0895456350644	0.33747276841600954	0.28104064077743635	0.18415136212775865	0.28464401953981683	0.25016397755498954	0.4264622143926274	2.4746622542026095	0.4264622143926274	0.09887553140474085	2.4746622542026095	0.09887553140474085	8.069112714763415	-57.133520087217136	0.001084279724957815
6000	-6592.414615854086	-6527.723980929941	-64.69063492414541	-6527.723980929941	30.153124710268976	87.12256672999628	0.33747276841600954	0.28104064077743635	0.1761756335914168	0.29261974807615865	0.25016397755498954	0.43149813230780504	2.3751833129284274	0.43149813230780504	0.19331855476374515	2.3751833129284274	0.19331855476374515	5.6117187912193875	-51.97237418872388	0.001603570627765438
7000	-6545.286137648558	-6477.594011955296	-67.69212569326193	-6477.594011955296	27.478485558139752	85.49647108879944	0.33747276841600954	0.28104064077743635	0.1761756335914168	0.29261974807615865	0.25016397755498954	0.43149813230780504	2.2654820026694678	0.43149813230780504	0.30301986502270484	2.2654820026694678	0.30301986502270484	7.055240352161074	-53.80185984056989	0.0013421086475124298
8000	-6647.3458518683265	-6589.220772281472	-58.125079586854596	-6589.220772281472	25.377520548578712	72.67122300717868	0.13261267244830197	0.28104064077743635	0.1761756335914168	0.29261974807615865	0.25016397755498954	0.43149813230780504	2.2654820026694678	0.43149813230780504	0.30301986502270484	2.2654820026694678	0.30301986502270484	4.553566808000008	-47.065862568458854	0.002186101730591585
9000	-6617.806496182719	-6555.851087396454	-61.95540878626398	-6555.851087396454	24.5763306143565	74.96364847984039	0.13261267244830197	0.3003027907948045	0.1852054293096185	0.2733575980587905	0.24113418183678784	0.43149813230780504	2.404965661780089	0.43149813230780504	0.1635362059120832	2.404965661780089	0.1635362059120832	4.553566808000008	-51.016246519876894	0.002261305121448072
10000	-6592.487470236485	-6524.2672790309325	-68.22019120555292	-6524.2672790309325	29.56043945089573	90.50210429262926	0.13261267244830197	0.3003027907948045	0.1941321527502884	0.2733575980587905	0.23220745839611795	0.30684308206141614	2.404965661780089	0.30684308206141614	0.2881912561584721	2.404965661780089	0.2881912561584721	7.962061162159526	-54.89123408781433	0.0016077510306464384
11000	-6617.601828963338	-6545.071105392671	-72.53072357066804	-6545.071105392671	31.09034844046405	101.46642762794116	0.1447478340234113	0.3003027907948045	0.1941321527502884	0.2733575980587905	0.23220745839611795	0.24741228970567233	2.3716227226001103	0.24741228970567233	0.38096498769419473	2.3716227226001103	0.38096498769419473	9.21168813903663	-58.54706616364459	0.0015395169969444967
12000	-6557.913364472139	-6483.440401161794	-74.47296331034404	-6483.440401161794	29.260485638869994	99.63693760771712	0.25549880905254424	0.3003027907948045	0.1941321527502884	0.2733575980587905	0.23220745839611795	0.24741228970567233	2.3716227226001103	0.24741228970567233	0.38096498769419473	2.3716227226001103	0.38096498769419473	6.33541083609187	-60.09870600373548	0.0010903670737243075
13000	-6612.96869654703	-6538.840471185889	-74.12822536114038	-6538.840471185889	36.805211570114174	116.47968597481488	0.18851244960875552	0.29906005240884037	0.1941321527502884	0.2653795691140832	0.24142822572678935	0.24741228970567233	2.171817154059881	0.24741228970567233	0.5807705562344239	2.171817154059881	0.5807705562344239	6.963570082966553	-60.9830956440889	0.0015550708411455354
14000	-6612.407592579818	-6536.2373991888535	-76.17019339096427	-6536.2373991888535	30.598075996413513	105.01597258053431	0.31140691685919053	0.29906005240884037	0.1941321527502884	0.2653795691140832	0.24142822572678935	0.24741228970567233	2.292018634992048	0.24741228970567233	0.46056907530225727	2.292018634992048	0.46056907530225727	8.485301672651893	-60.244002574048174	9.147647993839725E-4
15000	-6579.474426561158	-6504.164744238426	-75.30968232273234	-6504.164744238426	34.2112640895791	108.1012677736076	0.5467554261484531	0.3136947307207659	0.18604558981910382	0.2653795691140832	0.23488011034604836	0.24741228970567233	2.292018634992048	0.24741228970567233	0.46056907530225727	2.292018634992048	0.46056907530225727	11.00599739402931	-59.21110175158801	0.001190645808348384
