Sample	likelihood
0	-13831.896634770463
500	-12542.999333058002
1000	-11817.742315618318
1500	-11315.098806685042
2000	-12643.710954092287
2500	-11845.877004172135
3000	-11612.794837753783
3500	-11584.963641289487
4000	-12338.866000594686
4500	-12061.511129615676
5000	-12438.965597128798
5500	-12053.681241555483
6000	-12730.548537500203
6500	-10188.78760327123
7000	-11159.109826739066
7500	-10989.525468335474
8000	-10563.364690130082
8500	-10250.030552367269
9000	-11214.05498337221
9500	-11332.092543077946
10000	-10645.71964981238
10500	-11514.22856010145
11000	-12144.58163718053
11500	-12554.06420764287
12000	-12293.34251217051
12500	-11713.564348253387
13000	-11599.68934034578
13500	-11669.461863931212
14000	-11766.598566813627
14500	-12893.706545788458
15000	-13337.397282210499
15500	-12037.971607537858
16000	-14941.612076068963
16500	-12307.849795924209
17000	-12721.706890589814
17500	-14125.971778290259
18000	-11030.095689206273
18500	-10307.043450733285
19000	-10339.694916896075
19500	-11288.165163815778
20000	-10734.42265100477
20500	-9962.458709589904
21000	-10255.047717164172
21500	-10395.180129152013
22000	-11204.600040369889
22500	-11988.480698328769
23000	-12166.410923821339
23500	-11270.880579746909
24000	-11069.254343031009
24500	-11866.954219601084
25000	-12172.450932040763
25500	-11735.334187323673
26000	-12159.660953892086
26500	-10801.176247218418
27000	-13516.93367660614
27500	-12046.91182350781
28000	-22748.15230533992
28500	-18638.391199489535
29000	-16512.448065145545
29500	-11559.313276059696
30000	-11738.98134589672
30500	-18074.044764037815
31000	-12488.4942914322
31500	-13081.9543418408
32000	-11636.343745490261
32500	-11797.96811345836
33000	-14584.26457980741
33500	-12399.630207878008
34000	-11576.782755755112
34500	-11825.142720240003
35000	-11355.931739614176
35500	-19764.549349379064
36000	-11870.087569349458
36500	-12121.96823088485
37000	-18310.124868250652
37500	-14130.182611214052
38000	-12546.291021058127
38500	-25579.52723430398
39000	-16487.312197000127
39500	-13666.692142838338
40000	-11378.987217446847
40500	-19212.145217769877
41000	-19686.326266656302
41500	-15521.727776520705
42000	-13769.788972296305
42500	-13313.286161276872
43000	-12314.159876042744
43500	-14040.027213095571
44000	-12717.774375096398
44500	-14068.46884248112
45000	-13295.975943089474
45500	-13907.965608286426
46000	-20011.87501063578
46500	-13114.643932060631
47000	-16238.438814580337
47500	-26477.757570627462
48000	-19225.855081563885
48500	-14872.05474386275
49000	-13760.276740854872
49500	-12879.330848402382
50000	-13079.844877925429
50500	-12555.723963969562
51000	-12313.659453148366
51500	-13040.776959955916
52000	-13201.450421493199
52500	-13629.256422714494
53000	-16082.985556726066
53500	-29297.984662722945
54000	-38695.4690659638
54500	-38213.36205404525
55000	-24901.40900610924
55500	-14332.415333797113
56000	-14809.940543198984
56500	-19941.08596555706
57000	-16026.219401598957
57500	-18736.613664889577
58000	-11896.402738374763
58500	-14883.69387396324
59000	-14932.02151482556
59500	-22450.65550010354
60000	-15428.551817292591
60500	-22029.348960970772
61000	-13679.571218479317
61500	-15538.618984711049
62000	-16966.617966493024
62500	-15836.850502279587
63000	-16841.342849118813
63500	-20314.95298920283
64000	-20725.644287974188
64500	-11396.351231665905
65000	-11239.08991574465
65500	-11177.54037584281
66000	-12289.371160102319
66500	-14526.207001420753
67000	-12727.580132108713
67500	-17763.846073868404
68000	-18644.360082896794
68500	-13496.282942557164
69000	-12207.844976725555
69500	-18324.96844729679
70000	-19172.532198739675
70500	-16665.310545513603
71000	-19551.61849217799
71500	-17764.356673744915
72000	-16834.619309122296
72500	-13805.484906040305
73000	-17360.404359362186
73500	-17006.99676939595
74000	-15464.134014934089
74500	-20451.906136774236
75000	-11672.275586791257
75500	-12049.095022855365
76000	-15416.74848866473
76500	-12151.68079037761
77000	-13044.370057155003
77500	-12969.998071132835
78000	-13558.78146371161
78500	-32818.58674388231
79000	-18122.67490051884
79500	-13492.206578531437
80000	-19295.075516707857
80500	-15793.700089782069
81000	-18046.428225943393
81500	-15534.31383861121
82000	-20240.779757710658
82500	-19363.24357779774
83000	-17826.65141121699
83500	-21960.087446157333
84000	-25355.924519879005
84500	-14010.254197079927
85000	-14898.990664642391
85500	-13969.74613775201
86000	-14506.045822450953
86500	-19052.19938640422
87000	-22080.342726464452
87500	-17600.389329960442
88000	-22970.975898483666
88500	-15548.995124067938
89000	-15322.583010524524
89500	-19494.515427674512
90000	-17061.36253204473
90500	-29241.098061836805
91000	-19531.243733843017
91500	-15117.575406610502
92000	-13677.200478428249
92500	-13522.164419654155
93000	-24685.04757674386
93500	-20487.310038563715
94000	-16443.049565096884
94500	-14452.864051770748
95000	-18989.034202459407
95500	-14397.533744312024
96000	-16135.695271915163
96500	-17012.294954243232
97000	-13912.510026741436
97500	-17574.97546501086
98000	-19555.28439007155
98500	-15121.995946820525
99000	-18509.970179332515
99500	-13808.834485171876
100000	-18411.19269932366
100500	-18678.381330590153
101000	-14997.681083975545
101500	-25526.456971254596
102000	-11760.311010449319
102500	-21383.736478867777
103000	-14179.262774261892
103500	-14375.367734703586
104000	-11456.126826021653
104500	-12560.293999066094
105000	-11260.5720819813
105500	-12324.876638020278
106000	-12783.232652864423
106500	-12909.037409146962
107000	-12477.219642656024
107500	-12615.445881665395
108000	-11352.199036657878
108500	-11843.271995579926
109000	-12467.73825917577
109500	-11878.25751127259
110000	-13338.879534662368
110500	-11013.0862939768
111000	-11925.8747706299
111500	-12811.601243569228
112000	-12924.75070246961
112500	-12893.377307495182
113000	-15492.658128863408
113500	-16351.44085111658
114000	-15195.365724338013
114500	-12926.143428136098
115000	-15838.776756756903
115500	-15259.69967505977
116000	-18623.31647757221
116500	-17798.99935521147
117000	-15818.330245024823
117500	-13848.138228046839
118000	-14857.61515011917
118500	-15149.962457082953
119000	-12575.552588534276
119500	-13458.761200263241
120000	-14513.969879085676
120500	-15070.868228297157
121000	-15938.6183547401
121500	-14575.80788995441
122000	-15123.259850094604
122500	-16643.11999344596
123000	-14913.153628424467
123500	-15521.418051432573
