Sample	likelihood
0	-6380.693839021181
500	-6393.809016766691
1000	-6389.224629803253
1500	-6370.937441409257
2000	-6370.865093232443
2500	-6390.16707348563
3000	-6353.291566229569
3500	-6373.048749832151
4000	-6360.146068988558
4500	-6358.33351044986
5000	-6375.218075496708
5500	-6363.176404482132
6000	-6371.324498897001
6500	-6363.7736339982375
7000	-6382.056923422351
7500	-6399.317942157435
8000	-6399.717375387118
8500	-6375.007634026035
9000	-6390.851563139991
9500	-6388.143874290681
10000	-6404.6642028389315
10500	-6371.7120420469955
11000	-6390.232779820081
11500	-6401.921652239635
12000	-6387.607306823554
12500	-6398.981764662774
13000	-6397.193970736952
13500	-6416.808427317587
14000	-6406.931204435628
14500	-6400.086725608287
15000	-6415.572014019942
15500	-6416.092594979558
16000	-6397.489078515563
16500	-6375.207704792768
17000	-6373.731923818454
17500	-6396.510562337389
18000	-6411.825303835454
18500	-6385.390352562875
19000	-6371.851832143992
19500	-6396.082481426805
20000	-6405.3529116700065
20500	-6426.9313164772075
21000	-6375.063412385962
21500	-6400.868591339768
22000	-6370.369660083869
22500	-6410.547514135634
23000	-6398.31759037816
23500	-6398.56667230883
24000	-6392.03521728769
24500	-6399.568020909627
25000	-6386.461870729676
25500	-6435.766281592276
26000	-6408.652549506887
26500	-6392.820957318459
27000	-6410.304851240674
27500	-6426.6179888668285
28000	-6399.00384126888
28500	-6436.622372728116
29000	-6379.468180540231
29500	-6381.99048024694
30000	-6443.594172880386
30500	-6399.943126011123
31000	-6385.528010540962
31500	-6383.269799745041
32000	-6411.514176521346
32500	-6390.054797142612
33000	-6392.596726255844
33500	-6407.037696082153
34000	-6399.603792556534
34500	-6411.314030179472
35000	-6413.704504475844
35500	-6415.849359759314
36000	-6394.777343761827
36500	-6421.9160131959225
37000	-6406.264306598149
37500	-6374.687163222519
38000	-6369.558323642102
38500	-6372.846484529794
39000	-6398.388940788054
39500	-6386.7834542075325
40000	-6444.194231318927
40500	-6419.271691153243
41000	-6429.017623341674
41500	-6388.033388995093
42000	-6398.064671503805
42500	-6390.329115663073
43000	-6374.561683347037
43500	-6425.3238630369515
44000	-6402.599165654081
44500	-6417.57715269859
45000	-6389.607564837827
45500	-6366.370544911504
46000	-6411.507113769461
46500	-6395.018545841922
47000	-6416.8092951036815
47500	-6379.732595720679
48000	-6425.10279494053
48500	-6382.0851330191035
49000	-6433.669617541546
49500	-6429.200580072899
50000	-6380.643266672042
50500	-6385.134418593099
51000	-6374.285474504711
51500	-6403.533875105892
52000	-6408.641502427208
52500	-6391.276758497254
53000	-6396.992207978953
53500	-6390.682124272511
54000	-6403.136965536512
54500	-6437.589114520964
55000	-6386.593497280584
55500	-6408.235463227155
56000	-6415.301878020072
56500	-6412.62999607983
57000	-6419.370485955444
57500	-6420.302058398651
58000	-6382.501050316225
58500	-6396.644933654047
59000	-6378.958409205445
59500	-6371.221418605855
60000	-6363.8502365542
60500	-6387.52846333159
61000	-6389.711703161854
61500	-6375.216830945685
62000	-6375.955992394607
62500	-6390.788461550964
63000	-6385.609423416897
63500	-6412.723638949886
64000	-6437.596306212145
64500	-6402.952480410503
65000	-6368.901952342933
65500	-6365.720648909787
66000	-6389.048486952848
66500	-6396.791820486468
67000	-6392.9382131399925
67500	-6406.799024171538
68000	-6396.161701376337
68500	-6369.278223950501
69000	-6397.066396389465
69500	-6378.41411224654
70000	-6391.086209881085
70500	-6425.750070105884
71000	-6423.150444330728
71500	-6401.1192611029355
72000	-6404.329959779264
72500	-6420.210493185789
73000	-6418.621353705169
73500	-6379.612226786449
74000	-6394.932838502813
74500	-6380.124900599504
75000	-6375.697113005519
75500	-6422.807218251894
76000	-6377.792644273317
76500	-6381.134135590004
77000	-6394.6566262297465
77500	-6406.923723268266
78000	-6374.94800219943
78500	-6384.044399742216
79000	-6378.208851517515
79500	-6417.595680780531
80000	-6419.141843347172
80500	-6409.201883331091
81000	-6371.456400356426
81500	-6397.425104857961
82000	-6362.402367251049
82500	-6396.016713895067
83000	-6421.443432580943
83500	-6389.548496616545
84000	-6388.877454372047
84500	-6387.571221756706
85000	-6403.434874363582
85500	-6401.600449901736
86000	-6401.296819823271
86500	-6387.316282578539
87000	-6369.511711982324
87500	-6395.032066476285
88000	-6394.390015881019
88500	-6392.719710336911
89000	-6393.915107982458
89500	-6399.278627186389
90000	-6401.537744349125
90500	-6387.102730066246
91000	-6372.768757335133
91500	-6413.242546186155
92000	-6409.68373627397
92500	-6379.000100794707
93000	-6414.163475347732
93500	-6388.473646505652
94000	-6380.29953252927
94500	-6404.797085578356
95000	-6418.09402718138
95500	-6425.011574972982
96000	-6418.938484602325
96500	-6414.593771605348
97000	-6427.726278338041
97500	-6465.903369677057
98000	-6404.495954721339
98500	-6408.807245389843
99000	-6415.342336373913
99500	-6412.886994217545
100000	-6451.529993714356
100500	-6419.988299538035
101000	-6414.40342986572
101500	-6433.4039612485285
102000	-6407.531557841838
102500	-6419.487296179311
103000	-6384.0900532276455
103500	-6382.891570401641
104000	-6406.3482776834835
104500	-6433.609187174032
105000	-6437.229136880182
105500	-6445.011449679676
106000	-6407.188908615978
106500	-6389.99671820797
107000	-6399.795478245839
107500	-6415.689740696767
108000	-6390.143314139551
108500	-6443.747686979518
109000	-6440.359535380369
109500	-6416.359278090343
110000	-6400.356513113192
110500	-6387.897865375645
111000	-6382.787421284625
111500	-6396.541060828538
112000	-6385.2308018174945
112500	-6363.971233379922
113000	-6376.489129528253
113500	-6373.929140382516
114000	-6394.859158382659
114500	-6380.384372316108
115000	-6366.2091806302515
115500	-6380.555617226425
116000	-6383.956740073715
116500	-6392.990841906371
117000	-6367.710529351823
117500	-6397.381733926712
118000	-6375.449139847756
118500	-6388.5873743362545
119000	-6372.984690196229
119500	-6374.782800673272
120000	-6384.668511134591
120500	-6372.050893288142
121000	-6389.964185802462
121500	-6393.953951375361
122000	-6405.3242544087325
122500	-6373.383567504995
123000	-6381.419636363525
123500	-6384.1562880349775
124000	-6379.470650374012
124500	-6384.7060511603995
125000	-6365.341112558276
125500	-6394.60546300706
126000	-6392.67435520333
126500	-6382.392352922955
127000	-6417.269187701151
127500	-6416.930463605941
128000	-6407.28774203858
128500	-6373.193586618634
129000	-6368.984908466117
129500	-6375.754236956098
130000	-6379.694643409641
130500	-6412.8381470684
