Sample	likelihood
0	-7243.811679547539
500	-7273.163206400573
1000	-7346.912502068453
1500	-7698.621868152203
2000	-7605.977265112191
2500	-7341.287864805301
3000	-7618.515478157257
3500	-7205.553447210755
4000	-7140.953536041649
4500	-7637.4019251619
5000	-7315.861236054813
5500	-7617.019746009381
6000	-7832.230479032189
6500	-7685.242768093506
7000	-6980.277031794949
7500	-7327.824422051375
8000	-7258.789429539027
8500	-7568.552278026935
9000	-6964.49205369191
9500	-7120.40796007814
10000	-7156.55157811146
10500	-7564.318040324565
11000	-7405.261779816787
11500	-7785.213927310554
12000	-7176.336708351944
12500	-7033.893119238308
13000	-7478.377329138252
13500	-7830.850621330172
14000	-7435.69867024716
14500	-7113.004653521635
15000	-7190.617108308102
15500	-7419.1513928998365
16000	-7067.018893776459
16500	-7233.129847868786
17000	-7301.1139041872975
17500	-7366.7392427559225
18000	-7228.891588650179
18500	-7222.739353407029
19000	-7173.876713067735
19500	-7167.117998649791
20000	-6978.679458584064
20500	-6902.656955727582
21000	-6977.190898572424
21500	-7205.089414373339
22000	-7599.866014955116
22500	-7220.337215108923
23000	-7342.030656908128
23500	-7489.651422914698
24000	-7191.062030806727
24500	-7490.424539622747
25000	-7079.0072283530035
25500	-7523.896555183086
26000	-7907.046787616646
26500	-8142.635764510626
27000	-7775.521906674927
27500	-7334.230258016553
28000	-7865.239976714035
28500	-7037.4171028868495
29000	-7381.758258680027
29500	-7179.372958511906
30000	-7152.659161346237
30500	-7585.037691639929
31000	-7461.791150386378
31500	-7374.629172445347
32000	-7818.115423918872
32500	-6981.5429035526995
33000	-7093.915492167104
33500	-7008.6553855059
34000	-7375.971362809223
34500	-7271.913766888291
35000	-7248.863921219281
35500	-6858.483459290806
36000	-7459.252111075718
36500	-7575.147292664862
37000	-7371.258753147593
37500	-6905.735059024956
38000	-7120.187806062567
38500	-6872.284689020722
39000	-7997.009804706381
39500	-7262.242045123859
40000	-6734.967065033404
40500	-7391.606782446944
41000	-7257.6853065796795
41500	-7020.826552040093
42000	-6843.326783248417
42500	-7444.537492653042
43000	-7696.612567002455
43500	-7001.324520744518
44000	-7345.6393754127
44500	-7206.6035213014
45000	-7570.145139016904
45500	-7154.488022643265
46000	-7263.178768507341
46500	-7120.404750792573
47000	-7548.131758193694
47500	-7505.985010226513
48000	-7489.639543056922
48500	-8099.789425916071
49000	-8508.199745058975
49500	-7759.26747078826
50000	-7732.588605618476
50500	-7581.577367060351
51000	-7524.3793410217495
