Sample	likelihood
0	-3462.5903594708057
500	-3445.3355637731825
1000	-3458.143975431506
1500	-3465.2670338807116
2000	-3462.8152454350534
2500	-3459.1102717603612
3000	-3447.046326677362
3500	-3438.3470763139253
4000	-3441.895643074044
4500	-3450.962820993148
5000	-3445.3227184104567
5500	-3462.694406672218
6000	-3446.7199910976974
6500	-3460.5919735652433
7000	-3480.855591426563
7500	-3456.392954559718
8000	-3458.65249862675
8500	-3460.8198959821616
9000	-3440.6709376701488
9500	-3466.3922701488104
10000	-3462.2410785166903
10500	-3475.3347306641494
11000	-3477.4042940611225
11500	-3480.048694036439
12000	-3456.7988052095902
12500	-3462.4560244331724
13000	-3464.4558310956186
13500	-3458.3751639399516
14000	-3445.6386035531937
14500	-3467.7149706366845
15000	-3477.1111906916576
15500	-3490.931329507174
16000	-3477.9353185463883
16500	-3487.796806307429
17000	-3447.650095246402
17500	-3454.259298852778
18000	-3453.7060148705814
18500	-3480.5206122594445
19000	-3478.4084838579834
19500	-3467.546234334998
20000	-3449.9067851658115
20500	-3446.017158419232
21000	-3460.7843134686577
21500	-3488.9611543555357
22000	-3460.6374222769236
22500	-3485.4730859793426
23000	-3476.8120936635605
23500	-3477.212625627484
24000	-3494.0225867790077
24500	-3478.8593610866196
25000	-3469.267050343768
25500	-3485.2566678556077
26000	-3463.1763087510158
26500	-3470.9554163763146
27000	-3484.2048713926115
27500	-3481.419762964608
28000	-3479.0965460104408
28500	-3474.773879426941
29000	-3448.208039651686
29500	-3457.022447103815
30000	-3476.8925690048945
30500	-3447.3333122572853
31000	-3443.670690115417
31500	-3455.576520513539
32000	-3453.389887912112
32500	-3451.3337135851766
33000	-3456.0720055995043
33500	-3458.1148740429508
34000	-3475.7565214201663
34500	-3441.891712173065
35000	-3473.5684576083663
35500	-3479.8142390082776
36000	-3467.15959008498
36500	-3464.074558992541
37000	-3472.6588683498835
37500	-3458.2350175921492
38000	-3473.430513438528
38500	-3443.449611644613
39000	-3479.762744602331
39500	-3464.684674950011
40000	-3443.456795878261
40500	-3452.2794151748735
41000	-3469.6487573665054
41500	-3476.5847843316265
42000	-3488.029647439251
42500	-3497.689156253733
43000	-3485.0399320951715
43500	-3456.711645431836
44000	-3445.3478739867887
44500	-3470.8422308013337
45000	-3478.570988956797
45500	-3462.6389786246064
46000	-3473.3864327329334
46500	-3464.157040123869
47000	-3451.722302141017
47500	-3466.854895141792
48000	-3453.525925934127
48500	-3441.8247843590693
49000	-3435.3664664755015
49500	-3467.9093048296927
50000	-3467.4824837102938
50500	-3481.139658511133
51000	-3457.518307451173
51500	-3472.2474451878365
52000	-3468.748721115623
52500	-3460.0577004291636
53000	-3446.5421923547765
53500	-3451.6446080949263
54000	-3459.97715737144
54500	-3469.472208906887
55000	-3435.7781555438114
55500	-3458.1462815024056
56000	-3449.364083253347
56500	-3446.5173825455736
57000	-3454.05830510136
57500	-3462.8810751917154
58000	-3463.185922124625
58500	-3440.8568597937606
59000	-3457.97498910966
59500	-3454.6664014145736
60000	-3465.119690362396
60500	-3449.935214150934
61000	-3463.004715570416
61500	-3462.6712775821484
62000	-3462.0384183148444
62500	-3453.588472303694
63000	-3462.078329123205
63500	-3453.8670569326423
64000	-3459.1055124082245
64500	-3461.199017193098
65000	-3444.288269995894
65500	-3453.288063937047
66000	-3447.8514523686063
66500	-3463.9415067949258
67000	-3459.848847939023
67500	-3460.321235846221
68000	-3463.172211668329
68500	-3462.2960774317244
69000	-3458.722282490662
69500	-3456.668093608375
70000	-3448.224998853349
70500	-3488.5054136536014
71000	-3491.969194032826
71500	-3448.0401945887115
72000	-3459.2765255444133
72500	-3460.3741442570076
73000	-3464.9478092736426
73500	-3484.3590110177915
74000	-3504.968297083989
74500	-3480.562900237221
75000	-3477.8897098451953
75500	-3469.4127429809078
76000	-3478.7352631939834
76500	-3481.6961233486277
77000	-3486.9639324797467
77500	-3510.5369732727568
78000	-3493.988122584913
78500	-3484.9762928530618
79000	-3461.914302180026
79500	-3464.867152003022
80000	-3443.599087413291
80500	-3461.1650389104916
81000	-3458.2011899806403
81500	-3443.658311699127
82000	-3471.942666445948
82500	-3468.515574165091
83000	-3452.0629442287477
83500	-3437.714817774949
84000	-3474.3402023029666
84500	-3445.3325178606597
85000	-3470.9626418456655
85500	-3462.6817056250834
86000	-3450.564024188819
86500	-3454.970960828299
87000	-3457.2062585688695
87500	-3463.7899970243107
88000	-3451.079575413001
88500	-3441.94742566205
89000	-3454.87570920802
89500	-3455.185953314873
90000	-3472.9915448375896
90500	-3441.8069389401553
91000	-3468.962485069277
91500	-3451.8769994203626
92000	-3446.7084061861196
92500	-3429.1069884566705
93000	-3457.207916684256
93500	-3447.482457371607
94000	-3456.0338987825903
94500	-3454.465326825435
95000	-3446.1727523284208
95500	-3444.8456253113973
96000	-3440.060066983887
96500	-3447.0920662019653
97000	-3471.3556823678664
97500	-3469.166269278697
98000	-3463.935373051981
98500	-3480.4781107196786
99000	-3474.045952751599
99500	-3449.886294915783
100000	-3446.4591165495594
100500	-3465.451037497841
101000	-3485.4617997234673
101500	-3460.0693072135723
102000	-3463.6394139149934
102500	-3461.523183275288
103000	-3464.9897993318464
103500	-3447.813790424253
104000	-3455.0167950720916
104500	-3447.7151811767026
105000	-3473.1439449856507
105500	-3475.1524201183547
106000	-3437.486130727885
106500	-3446.4809384265986
107000	-3438.8374444032033
107500	-3448.8883249078945
108000	-3450.8092473777833
108500	-3441.3748814082182
109000	-3432.65227530377
109500	-3447.5058098914346
110000	-3444.3250138553203
110500	-3464.582748306326
111000	-3475.662246293237
111500	-3453.101156787011
112000	-3445.036363874904
112500	-3453.471326193217
113000	-3450.535986830779
113500	-3460.740337680045
114000	-3448.3922089973535
114500	-3465.316935582446
115000	-3456.335858468566
115500	-3455.8656009447027
116000	-3441.103397934881
116500	-3446.4008624128574
117000	-3466.07416329033
117500	-3466.4960189877456
118000	-3452.775456926005
118500	-3462.8976158320615
119000	-3452.7691309138463
119500	-3446.116115871929
120000	-3456.472787319854
120500	-3452.4589042914554
121000	-3448.8850936156623
121500	-3440.9317718973693
122000	-3461.8794081596798
122500	-3440.872005189415
123000	-3454.6986155945265
123500	-3430.162436187039
124000	-3431.500795932219
124500	-3448.3324589343947
125000	-3481.4061564071844
125500	-3459.988709711625
126000	-3482.1395429857625
126500	-3478.635662261998
127000	-3471.417239353277
127500	-3479.6317481617434
128000	-3494.338942040166
128500	-3483.7646055925215
129000	-3439.9759856748838
129500	-3454.0111985849962
130000	-3450.332485013515
130500	-3466.600029627102
131000	-3472.104663075471
131500	-3468.352469289282
132000	-3446.146881786829
132500	-3452.184113100622
133000	-3440.4436100322414
133500	-3447.8920464863986
134000	-3453.130577209247
134500	-3441.119254010631
135000	-3444.9804617638856
135500	-3443.640396703516
136000	-3464.7579724978577
136500	-3465.5363324563727
137000	-3457.1870449064827
137500	-3473.2470776880623
138000	-3439.3395904810795
138500	-3456.6495993188987
139000	-3446.1290526578614
139500	-3452.8306867621186
140000	-3450.951695334039
140500	-3455.263725948351
141000	-3465.2461480699812
141500	-3473.626200946813
142000	-3461.1050033501815
142500	-3462.2047510738967
143000	-3464.279189368799
143500	-3450.688036569947
144000	-3460.1578654128807
144500	-3478.4900476730304
145000	-3477.5483470025497
145500	-3463.8341447616876
146000	-3476.393543729792
146500	-3461.9396241805453
147000	-3460.207895397193
147500	-3459.1784478128548
148000	-3447.546954849148
148500	-3465.3702174528053
149000	-3480.687142703669
149500	-3456.675938442989
150000	-3489.0799903578322
150500	-3487.6232182531808
151000	-3455.7857666602195
151500	-3468.8989642022907
152000	-3472.4735725210267
152500	-3465.621132768023
153000	-3461.2034978861916
153500	-3442.586103145081
154000	-3431.297404096624
154500	-3455.4807597134177
155000	-3451.590042166493
155500	-3459.767621050475
156000	-3471.529557238445
156500	-3462.1957210610526
157000	-3465.606389540128
157500	-3488.674556716194
158000	-3487.844753863192
158500	-3502.1493133968643
159000	-3515.530813836592
159500	-3503.0571525424903
160000	-3492.9570839520306
160500	-3487.1735599055587
161000	-3445.6102932038016
161500	-3444.926120650956
162000	-3454.1546819716887
162500	-3456.2302416441535
163000	-3463.5532499550736
163500	-3475.5430566900077
164000	-3468.4560734305787
164500	-3470.539633688653
165000	-3453.7674263065805
165500	-3488.339918056953
166000	-3497.2456521898002
166500	-3451.7197545306126
167000	-3462.2753670285965
167500	-3450.7952059197596
168000	-3454.9934071911634
168500	-3452.436036941633
169000	-3454.4607227890556
169500	-3467.405746537925
170000	-3453.3725855458347
170500	-3463.487693632628
171000	-3467.1946786082367
171500	-3455.049580929531
172000	-3468.2546313432754
172500	-3446.764017690922
173000	-3457.1718024626966
173500	-3457.4426003740296
174000	-3468.1468515348492
174500	-3455.8040491385914
175000	-3441.714725541008
175500	-3462.9741423901614
176000	-3477.981714093322
176500	-3434.8329330177244
177000	-3460.480813164891
177500	-3477.33597756857
178000	-3477.7862541388226
178500	-3474.211576391001
179000	-3467.592498173858
179500	-3455.604649285972
180000	-3463.9126968383694
180500	-3460.7121929551363
181000	-3454.5230296762247
181500	-3481.4731238107397
182000	-3464.6315563733137
182500	-3466.522931579544
183000	-3470.03281695914
183500	-3458.7356829239566
184000	-3475.953055474723
184500	-3465.0369409376863
185000	-3453.4421963784134
185500	-3454.3674471326067
186000	-3472.1783497579972
186500	-3449.526867738561
187000	-3468.9679049910537
187500	-3446.000729093787
188000	-3449.8189285114336
188500	-3441.6931838558585
189000	-3479.2494598845196
189500	-3469.476454663333
190000	-3467.995836714961
190500	-3472.173292546899
191000	-3463.2608249636564
191500	-3464.4110948445423
192000	-3477.272658486044
192500	-3451.566406832769
193000	-3451.4189790893515
193500	-3462.89546673502
194000	-3466.082116314851
194500	-3476.7430222889498
195000	-3448.779639794957
195500	-3458.8987345979936
196000	-3463.6593094508403
196500	-3471.0875688040373
197000	-3446.149944150812
197500	-3445.09823936643
198000	-3447.9140160717425
198500	-3453.531166252566
199000	-3469.0162239750143
199500	-3456.4238497716583
200000	-3452.445541455566
200500	-3477.4784995608406
201000	-3473.1392827712198
201500	-3482.297429752613
202000	-3476.5704661368245
202500	-3462.2439604460565
203000	-3458.180391316004
203500	-3448.505005280595
204000	-3461.562325679536
204500	-3463.146067646288
205000	-3463.3605268700053
205500	-3466.206766539611
206000	-3457.8784157983637
206500	-3492.8259555736204
207000	-3462.90565573489
207500	-3463.491684481536
208000	-3467.100794598112
208500	-3464.870845022812
209000	-3479.605932695456
209500	-3444.4562345373847
210000	-3438.618537984612
210500	-3447.255778867949
211000	-3463.864298299334
211500	-3426.3623827615925
212000	-3449.444590734371
212500	-3468.4994675240137
213000	-3445.614040609226
213500	-3444.2163788146927
214000	-3441.446374874588
214500	-3440.860709659843
215000	-3464.3389281621626
215500	-3466.8340810340183
216000	-3454.652927404021
216500	-3488.3627105811856
217000	-3481.83638296434
217500	-3478.902582275149
218000	-3461.572792941249
218500	-3458.784891302877
219000	-3460.646830522218
219500	-3450.6034793930116
220000	-3450.248612536685
220500	-3469.9568238258853
221000	-3458.5545336351224
221500	-3458.006488003029
222000	-3457.0193908925116
222500	-3461.9745198390906
223000	-3446.717468384795
223500	-3468.3483488140073
224000	-3454.7539631908303
224500	-3471.44171197402
225000	-3472.841030858003
225500	-3482.533389699235
226000	-3499.637692091221
226500	-3482.8463268940145
227000	-3446.5266074979586
227500	-3441.9889951347886
228000	-3470.02026497781
228500	-3452.477433134985
229000	-3465.640155496414
229500	-3441.489536117563
230000	-3475.9331134677946
230500	-3432.9875004930645
231000	-3442.1201615683867
231500	-3435.729719104714
232000	-3444.6702602007754
232500	-3454.7273055809096
233000	-3444.7772743287082
233500	-3456.3362683833548
234000	-3457.1102132600445
234500	-3453.40520766449
235000	-3459.1298318257186
235500	-3446.026493945833
236000	-3451.0754771396146
236500	-3445.7040749090197
237000	-3457.573696279726
237500	-3466.9202435585366
238000	-3457.0943573677096
238500	-3450.799973781117
239000	-3473.4556514024857
239500	-3456.362598173566
240000	-3459.9221481019244
240500	-3441.596565299548
241000	-3435.205441215275
241500	-3449.5496754665173
242000	-3486.643013333863
242500	-3471.7488112928054
243000	-3466.4056606606555
243500	-3452.43568989919
244000	-3450.28783293786
244500	-3475.1739286194666
245000	-3471.4615243519497
245500	-3473.8276378535656
246000	-3479.0521425163292
246500	-3492.346048107215
247000	-3492.1545374290463
247500	-3442.8640544948885
248000	-3458.158891768903
248500	-3465.366910683345
249000	-3455.8904639533457
249500	-3451.3428719211797
250000	-3473.3898350420473
250500	-3470.2219765345344
251000	-3440.657302694662
251500	-3449.954412766508
252000	-3449.2410140866386
252500	-3447.8826974458393
253000	-3446.2525723827002
253500	-3436.2667676698024
254000	-3447.2941582356502
254500	-3437.6525358681934
255000	-3454.4500271368734
255500	-3454.3734620146306
256000	-3477.011403787525
256500	-3482.8773831048347
257000	-3479.543579290938
257500	-3462.9906638256234
258000	-3463.063255310271
258500	-3447.5442100450514
259000	-3440.339101422827
259500	-3463.7905267898177
260000	-3484.8962599413353
260500	-3447.3262973799156
261000	-3462.7332888252267
261500	-3446.774950534367
262000	-3465.788202522533
262500	-3458.9211391989083
263000	-3444.2665238282743
263500	-3457.2040821359
264000	-3439.996171679911
264500	-3462.14792562126
265000	-3453.545822733811
265500	-3454.9204318718953
266000	-3441.615539939796
266500	-3456.211002855942
267000	-3447.1137212261483
267500	-3450.9947491679795
268000	-3461.4597344933645
268500	-3447.461443820408
269000	-3465.94312028525
269500	-3455.6978781151493
270000	-3464.2199406463737
270500	-3469.8087587996943
271000	-3457.611134858899
271500	-3447.0016869057376
272000	-3443.948900958533
272500	-3441.1172129282368
273000	-3444.4666152473283
273500	-3462.4840090622633
274000	-3454.5196288434545
274500	-3446.535318460935
275000	-3444.627181107784
275500	-3435.547686935401
276000	-3449.0834880787243
276500	-3453.0391171492442
277000	-3448.3749493282944
277500	-3455.932589148772
278000	-3463.643064989867
278500	-3460.514496781868
279000	-3447.4732863165536
279500	-3448.9090301038723
280000	-3438.2327909792
280500	-3450.1852304527147
281000	-3450.1049031743255
281500	-3455.315824733861
282000	-3448.073898540334
282500	-3446.2086631899683
283000	-3458.5542182370586
283500	-3458.313681150128
284000	-3460.547725733725
284500	-3457.630679975888
285000	-3462.395508523103
285500	-3450.3721459817684
286000	-3454.260417255504
286500	-3455.3705454990263
287000	-3444.390543606792
287500	-3442.1795523981095
288000	-3453.945713930251
288500	-3463.809011253653
289000	-3450.982346317947
289500	-3450.1213117516713
290000	-3440.1587954471156
290500	-3454.3671173572934
291000	-3445.253459747069
291500	-3449.941151641402
292000	-3442.51219260832
