Sample	likelihood
0	-9447.479058857092
500	-9271.196782805222
1000	-9229.240618392423
1500	-9496.377624709194
2000	-9486.356146092834
2500	-9588.179968376284
3000	-9421.36077256736
3500	-10249.648036698614
4000	-9469.443972911506
4500	-9546.511962335877
5000	-9556.406680499194
5500	-10411.075243250963
6000	-9786.367851750967
6500	-9791.16214583926
7000	-8507.583036845721
7500	-8169.701992799966
8000	-9031.765914611735
8500	-8505.751959250398
9000	-8666.702038078767
9500	-9118.296963515064
10000	-8545.653383470497
10500	-9398.564158764837
11000	-10208.889218582175
11500	-10753.791582162079
12000	-10882.456641904782
12500	-10877.792886282397
13000	-11245.033151339181
13500	-11246.719775708923
14000	-11246.691823693083
14500	-11246.609223027059
15000	-11243.474713014943
15500	-10545.792043940175
16000	-10568.978002135862
16500	-10496.587565977412
17000	-8817.759029514205
17500	-10242.8380451254
18000	-10163.51581469521
18500	-10322.384562805135
19000	-9762.862469275124
19500	-10176.999524749428
20000	-9575.68425809965
20500	-10315.93623429447
21000	-10122.256251481143
21500	-10147.434265470909
22000	-10107.621934981253
22500	-8695.107219205367
23000	-8448.34651876077
23500	-8728.562357476942
24000	-6700.327398198373
24500	-6472.990792528104
25000	-6722.119422739361
25500	-6501.549398872157
26000	-6510.784409201011
26500	-6702.895761785986
27000	-6322.064750426695
27500	-6715.371295552993
28000	-8097.904702785843
28500	-5559.563607841821
29000	-5799.191440888452
29500	-5052.556046542563
30000	-5345.145486390215
30500	-6873.103814570977
31000	-5810.386291030173
31500	-6546.788537362696
32000	-5749.193576516704
32500	-7490.165665206836
33000	-6485.280042660721
33500	-5859.3454441583945
34000	-7140.7487241590015
34500	-8391.260601765862
35000	-7837.326108282727
35500	-7709.73577953439
36000	-7868.635088469741
36500	-8180.259338036833
37000	-8171.569907082315
37500	-8020.89494801173
38000	-7020.361783838802
38500	-6630.061559243774
39000	-5957.987542944508
39500	-6400.5755236009945
40000	-5498.286806383268
40500	-5618.052211318762
41000	-6828.914523435519
41500	-6967.583537867741
42000	-6846.426299894358
42500	-6253.814698477338
43000	-7017.75809713398
43500	-6693.746198957859
44000	-6339.853131226966
44500	-6569.755130115394
45000	-6762.603808953263
45500	-6235.475580916489
46000	-4832.696739539774
46500	-5203.107658475329
47000	-5491.400897691077
47500	-6051.418067089445
48000	-5195.013900472534
48500	-5219.963680744201
49000	-4765.653106208763
49500	-5447.1309749597
50000	-5433.856830810889
50500	-6056.356002115369
51000	-5551.01893591757
51500	-6220.127987522152
52000	-5755.880259532084
52500	-5880.677205934719
53000	-5582.259957417219
53500	-5140.640580413326
54000	-5314.53259001912
54500	-5893.57404002339
55000	-5995.856943639974
55500	-6238.79355861233
56000	-6673.045118195362
56500	-6107.479289473922
57000	-7076.119185718656
57500	-6965.039953871526
58000	-7089.560008543145
58500	-6779.049784805818
59000	-6959.494878460058
59500	-6394.565429625583
60000	-6492.981777727166
60500	-5915.433372692725
61000	-6379.796119340333
61500	-6597.345891472067
62000	-6618.65291364779
62500	-7852.803597584536
63000	-7522.20933084233
63500	-7710.656571180247
64000	-7671.382184119408
64500	-7806.1245575683615
65000	-8371.171274874892
65500	-6387.474966248693
66000	-5457.4417492733755
66500	-5389.215694382545
67000	-5713.8539102243985
67500	-5080.329422018185
68000	-7754.1085151173575
68500	-6479.579956751068
69000	-6425.067354149504
69500	-6731.839575226691
70000	-7888.423199343295
70500	-8930.492985732448
71000	-8469.226155804361
71500	-8541.124344905824
72000	-9044.229515981184
72500	-9177.016678422087
73000	-9139.901414832537
73500	-9178.42077418129
74000	-9191.29448074524
74500	-9210.615721189697
75000	-9105.918432561088
75500	-9214.4565334476
76000	-9210.946531699083
76500	-9205.562123163281
77000	-9143.108501359038
77500	-9194.987257565544
78000	-9138.02535371979
78500	-9214.30089150267
79000	-9064.03224271588
79500	-9199.386840335888
80000	-8846.583098342657
80500	-8871.284854734466
81000	-7783.413686082142
81500	-5927.457687871226
82000	-6188.961894178672
82500	-7359.221495124008
83000	-7241.365984448367
83500	-6991.093681578984
84000	-7657.63212337462
84500	-6125.545496737913
85000	-6279.726858925267
85500	-5805.130650363535
86000	-6533.186312538251
86500	-6841.421360695513
87000	-6763.512705358807
87500	-6656.363460429528
88000	-6847.192015196854
88500	-6433.686495063252
89000	-5895.504856463834
89500	-6657.093765961759
90000	-7591.539883476845
90500	-6483.738978171651
