Sample	likelihood
0	-3430.264456043343
500	-3425.82764715178
1000	-3431.6797241775203
1500	-3433.9597077426315
2000	-3432.249959547969
2500	-3431.6599768002857
3000	-3434.559434100863
3500	-3445.0565677634336
4000	-3439.2228301016203
4500	-3438.18495845526
5000	-3447.9066985735303
5500	-3434.0402541929866
6000	-3428.8560762788966
6500	-3424.003010633315
7000	-3426.603670197789
7500	-3432.2930366265846
8000	-3432.319627461518
8500	-3432.218195165246
9000	-3424.295966386019
9500	-3432.3994866049925
10000	-3425.3880970874593
10500	-3423.2565724697806
11000	-3428.5038942265696
11500	-3428.18173467366
12000	-3426.0580549809456
12500	-3429.8098515015918
13000	-3428.32053662413
13500	-3424.434801790447
14000	-3429.217338028891
14500	-3427.3462497561172
15000	-3416.635288787699
15500	-3428.8141537383017
16000	-3425.7654110395583
16500	-3428.92960924495
17000	-3430.1087107083827
17500	-3434.749753832237
18000	-3422.675450577452
18500	-3430.371795596544
19000	-3420.007331772756
19500	-3417.8885393767755
20000	-3426.4660445172144
20500	-3426.2838822222725
21000	-3434.719249205392
21500	-3420.95347773932
22000	-3425.6831994326308
22500	-3420.853826061431
23000	-3421.877190291536
23500	-3429.5244201102855
24000	-3432.434483900566
24500	-3438.011584969878
25000	-3431.7534778721174
25500	-3417.042895568279
26000	-3428.9732267971135
26500	-3424.2885554906293
27000	-3423.774772824394
27500	-3427.995876357496
28000	-3425.8677757150595
28500	-3430.9294434263124
29000	-3426.181601117365
29500	-3420.764557404813
30000	-3428.8130286864953
30500	-3419.7668807831806
31000	-3420.290961920172
31500	-3418.6921394170945
32000	-3428.7619182106178
32500	-3422.6663784733637
33000	-3434.363927837869
33500	-3425.410485433431
34000	-3418.2583070761143
34500	-3422.8784160276573
35000	-3424.9694987611983
35500	-3432.5908139679987
36000	-3428.4044708231577
36500	-3430.4528939792563
37000	-3426.1667953580018
37500	-3428.2498424886717
38000	-3428.373263770979
38500	-3422.662877645932
39000	-3431.971569096751
39500	-3417.9150385593666
40000	-3428.100720623299
40500	-3421.6080968812485
41000	-3436.279021172393
41500	-3433.971585218182
42000	-3421.782883730865
42500	-3438.210810809827
43000	-3431.4737997997654
43500	-3423.811854693269
44000	-3426.835114661008
44500	-3426.6470313991913
45000	-3432.165771416781
45500	-3427.2872954364484
46000	-3429.9293854780867
46500	-3430.4587651275397
47000	-3429.8135387682214
47500	-3426.128894108027
48000	-3427.6432922243807
48500	-3431.855001782577
49000	-3432.03286813192
49500	-3429.7273714814705
50000	-3436.774836605922
50500	-3429.5977227279764
51000	-3419.20245716065
51500	-3420.278339822887
52000	-3426.3408655527182
52500	-3422.040535883725
53000	-3425.7376779682486
53500	-3427.5496009498875
54000	-3427.5788297701743
54500	-3424.044921831775
55000	-3428.2905548839713
55500	-3432.8078622782136
56000	-3423.2243780200774
56500	-3423.8050656630085
57000	-3420.59297291226
57500	-3426.5612821528593
58000	-3429.7332989171214
58500	-3427.723560815659
59000	-3425.3520962089992
59500	-3420.966439030967
60000	-3422.957612124689
60500	-3419.2110671463424
61000	-3427.7803171771707
61500	-3427.6197974811726
62000	-3422.648457504909
62500	-3431.388983529934
63000	-3423.546369331294
63500	-3436.199764546012
