Sample	likelihood
0	-3419.608216636651
500	-3417.1185031166265
1000	-3420.7444235791054
1500	-3422.8214712675867
2000	-3420.4100512916116
2500	-3424.1653364458653
3000	-3425.5970651803364
3500	-3423.4825905996067
4000	-3427.147214293466
4500	-3423.8669245522146
5000	-3423.050287101709
5500	-3426.0906097572024
6000	-3425.767674881944
6500	-3423.80707448869
7000	-3417.89579352825
7500	-3419.4991547943714
8000	-3418.028196227178
8500	-3423.6902158155176
9000	-3422.7794000636472
9500	-3423.4156211603186
10000	-3422.843369452219
10500	-3421.9265444935413
11000	-3417.1421395984885
11500	-3418.699757805533
12000	-3421.8195029012295
12500	-3420.539180404575
13000	-3419.657628496915
13500	-3417.5776873158006
14000	-3417.9798814461656
14500	-3417.5236888930162
15000	-3419.264208133097
15500	-3416.4017455879707
16000	-3423.028928468784
16500	-3424.657024110813
17000	-3421.7140935618513
17500	-3418.8627777456863
18000	-3418.5963999130786
18500	-3418.338189698061
19000	-3419.452311690386
19500	-3416.174030367021
20000	-3415.6914717836203
20500	-3424.615868193379
21000	-3420.5049252196745
21500	-3422.931215021934
22000	-3418.5788601769914
22500	-3426.6426398765375
23000	-3419.961496129932
23500	-3417.471992295842
24000	-3415.7186442284933
24500	-3420.897775972077
25000	-3420.9993328220908
25500	-3416.2132828636536
26000	-3420.952863230301
26500	-3417.4589787331724
27000	-3414.578252377224
27500	-3420.3072402321454
28000	-3412.785764622484
28500	-3418.2297306158016
29000	-3417.343194145624
29500	-3424.646607049225
30000	-3424.5035140956284
30500	-3424.8122129051176
31000	-3416.98246185739
31500	-3416.931325194418
32000	-3417.679346348396
32500	-3417.4697900176784
33000	-3416.763441589551
33500	-3419.130312763338
34000	-3416.267477057275
34500	-3413.8874412454707
35000	-3417.89521091491
35500	-3416.9128400801105
36000	-3416.0420502696425
36500	-3418.1613586148596
37000	-3419.103745088088
37500	-3418.3058720638105
38000	-3422.5252270454916
38500	-3418.9624609889365
39000	-3415.5988020277587
39500	-3419.7100606962235
40000	-3422.710311147654
40500	-3421.5243311170843
41000	-3413.430915474608
41500	-3419.3834794745235
42000	-3412.926707012832
42500	-3416.506503094723
43000	-3415.5159142966254
43500	-3417.1144917170045
44000	-3418.3147898122397
44500	-3417.708002106094
45000	-3417.4484736857885
45500	-3416.336259512028
46000	-3416.0559687293685
46500	-3419.1401930532306
47000	-3417.995415423695
47500	-3414.5834881272513
48000	-3421.047081479081
48500	-3417.8504717092706
49000	-3427.171470758281
49500	-3431.757489899345
50000	-3437.4473024768286
50500	-3422.117521099478
51000	-3425.831934654077
51500	-3419.672627629949
52000	-3421.0336321322716
52500	-3426.167955988416
53000	-3417.2932349719144
53500	-3417.2783316120367
54000	-3425.507441264012
54500	-3419.8017729342587
55000	-3424.68315731504
55500	-3422.0988585942096
56000	-3431.1328855426573
56500	-3423.3144487029476
57000	-3417.4387727073467
57500	-3420.431711327219
58000	-3421.4204823932696
58500	-3423.347181469173
59000	-3418.772469681587
59500	-3426.5843395442885
60000	-3420.5961051686672
60500	-3420.9783030331273
61000	-3419.300472092526
61500	-3415.42752607798
62000	-3419.0219080067836
62500	-3416.994982217422
63000	-3422.2499283508823
63500	-3422.5213038723086
64000	-3422.0060751360284
64500	-3429.4162848432384
65000	-3416.432468352333
65500	-3422.799412719719
66000	-3416.29058414797
66500	-3418.3869100490756
67000	-3413.296347212115
67500	-3424.0014732291233
68000	-3419.2131961894556
68500	-3423.200155751391
69000	-3419.535430922495
69500	-3423.908212749139
70000	-3419.980122812838
70500	-3421.9846941794654
71000	-3417.9492841942097
71500	-3420.0906985089655
72000	-3418.9750452715257
72500	-3419.049819828826
73000	-3418.4532868813817
73500	-3414.872231832209
74000	-3416.6446456874523
74500	-3414.592008019396
75000	-3424.7650873376638
75500	-3417.9267182619205
76000	-3413.910334609425
76500	-3419.6004835366216
77000	-3418.3891921435743
77500	-3421.895755711687
78000	-3414.2270555790324
78500	-3418.498223219694
79000	-3417.7055428837625
79500	-3414.293186721591
80000	-3417.7692878866983
80500	-3426.5906654606265
81000	-3425.721541478086
81500	-3423.0567943904525
82000	-3421.9763298328508
82500	-3420.2664482410723
83000	-3418.920381890443
83500	-3417.73418069702
84000	-3418.639295427391
84500	-3415.4562974079395
85000	-3417.089220916222
85500	-3414.5215049294466
86000	-3416.630208526958
86500	-3419.5175112252728
87000	-3413.3212124836145
87500	-3420.051833218327
88000	-3418.6978747787675
88500	-3421.742604038113
89000	-3423.732383889621
89500	-3427.132955512747
90000	-3425.8371321704653
90500	-3417.799120810088
91000	-3417.759614707875
91500	-3424.8790327197225
92000	-3432.0002329342856
92500	-3421.473615295877
93000	-3419.3453650374904
93500	-3424.6723908220088
94000	-3424.368546308232
94500	-3424.803891636889
95000	-3418.598382197155
95500	-3417.0395555926325
96000	-3416.0458092645977
96500	-3415.427135429538
97000	-3426.675251764547
97500	-3426.5363237684205
98000	-3424.763867073193
98500	-3420.317403598876
99000	-3421.129718049285
99500	-3420.7416580673225
100000	-3423.1798718316663
100500	-3418.7118471109015
101000	-3423.977246502489
101500	-3421.4740278387167
102000	-3418.974397429687
102500	-3422.0818761268665
103000	-3416.439329236001
103500	-3422.218923965878
104000	-3418.4544684368702
104500	-3417.927691216009
105000	-3419.144599673333
105500	-3426.342796701913
106000	-3422.9128576507146
106500	-3417.0437231980495
107000	-3415.966574105969
107500	-3421.437806972148
108000	-3419.29638091573
108500	-3424.387135380618
109000	-3417.0370312293658
109500	-3413.9987179678205
110000	-3425.385023962122
110500	-3431.2018471949154
111000	-3418.682493169597
111500	-3415.9785840752234
112000	-3418.0526335099958
112500	-3417.2967249488165
113000	-3425.6078862038667
113500	-3417.6387936708
114000	-3419.183785414983
114500	-3422.3043953812307
115000	-3422.9902102452916
115500	-3419.8879023693294
116000	-3414.603523248452
116500	-3418.5746159319474
117000	-3415.9857631331033
117500	-3418.9508308260856
118000	-3417.013705481331
118500	-3419.086168344051
119000	-3418.180886867916
119500	-3417.2027380401396
120000	-3419.444516153897
120500	-3415.0557587629114
121000	-3414.9664040879343
121500	-3416.9813675617484
122000	-3421.437979800452
122500	-3420.6505095087346
123000	-3416.8942537688613
123500	-3417.7331402162818
124000	-3421.1765637753606
124500	-3422.8895248039644
125000	-3415.8787095180946
125500	-3416.3526956264977
126000	-3415.996804921416
126500	-3420.5855131796366
127000	-3419.2295332439803
127500	-3420.463333791017
128000	-3412.445627817765
128500	-3415.3369857091307
129000	-3418.5364731587774
129500	-3422.228219385553
130000	-3414.8482954526244
130500	-3414.9444687897744
131000	-3416.8745039301502
131500	-3418.1010469205153
132000	-3420.550291848144
132500	-3427.7941983574688
133000	-3419.9015923659854
133500	-3420.3535116608905
134000	-3418.4627627016907
134500	-3416.4041940768775
135000	-3416.11717284582
135500	-3412.0745429873027
136000	-3420.2340044876155
136500	-3424.3292904995305
137000	-3419.0503357460684
137500	-3417.697386754954
138000	-3426.5141952529707
138500	-3418.9709364938426
139000	-3421.4123848651743
139500	-3420.6667617790463
140000	-3419.136499004172
140500	-3424.497738315755
141000	-3424.042042352811
141500	-3427.538103950515
142000	-3424.0845050212884
142500	-3435.8611479029223
143000	-3427.464062577353
