Sample	likelihood
0	-3747.993622621092
500	-3839.667221092408
1000	-3817.0761653434356
1500	-3745.8220026606286
2000	-3775.0737885372832
2500	-3858.6671250778863
3000	-3841.876142913829
3500	-3829.092540589472
4000	-3819.064806901811
4500	-3880.15573607238
5000	-3916.402936301387
5500	-3918.489513899139
6000	-3924.620451729833
6500	-3946.9634575673654
7000	-3965.8213103484077
7500	-3959.8342488827284
8000	-3944.892776385196
8500	-3904.5200994888714
9000	-3862.426956711775
9500	-3923.3870751234117
10000	-3902.4598453570966
10500	-3861.2111683606036
11000	-3933.4232070164385
11500	-3853.1133048802544
12000	-3857.7709893066317
12500	-3793.503115547295
13000	-3820.0261998797178
13500	-3768.1524913346225
14000	-3771.897318448872
14500	-3763.443510265979
15000	-3875.2861568079093
15500	-3773.4273935807837
16000	-3890.9834651345727
16500	-3814.93388693741
17000	-3685.555951515087
17500	-3699.9024352474607
18000	-3718.1116020704553
18500	-3796.833067852114
19000	-3783.5217738202446
19500	-3807.7740051943524
20000	-3814.6895956565686
20500	-3794.4087667753056
21000	-3942.075496818722
21500	-3908.020972896659
22000	-3827.516059030869
22500	-3840.915575175209
23000	-3883.8641255064604
23500	-3877.118927440721
24000	-3980.998837885827
24500	-3901.809549636666
25000	-3843.51902637232
25500	-3874.1899969784126
26000	-3941.939930235484
26500	-3908.7204928344727
27000	-3919.3302905526307
27500	-3953.988662733076
28000	-3967.893366104003
28500	-3995.8443610411045
29000	-3975.4915104966162
29500	-3851.964281026179
30000	-3890.688232745878
30500	-3898.1858367555733
31000	-3922.5728555295227
31500	-3837.1747741583886
32000	-3916.403143592783
32500	-3871.783313540847
33000	-3918.1602382470955
33500	-3889.4381952180797
34000	-3870.6119758336217
34500	-3838.281878770479
35000	-3812.930402178127
35500	-3949.002427827288
36000	-3887.2155417375625
36500	-3950.713111325551
37000	-3831.3751783106404
37500	-3930.6643850953756
38000	-3910.6137067085647
38500	-3957.984593684496
39000	-3938.0098440255415
39500	-3781.999652626887
40000	-3825.647119437026
40500	-3863.3926922825253
41000	-4062.0109005951595
41500	-3883.9052093777736
42000	-3752.2244694957117
42500	-3726.163436808736
43000	-3863.7218783524377
43500	-3796.270621521132
44000	-3928.313556625198
44500	-3861.4440268860253
45000	-3916.8678857007553
45500	-3929.263290391478
46000	-4022.070165075195
46500	-3894.8861872268067
47000	-3980.045548794106
47500	-3995.3912957531415
48000	-4064.8580518349
48500	-4029.1633138214056
49000	-3853.3934743069044
49500	-3919.4704560502514
50000	-3803.441280183045
50500	-3929.4146794652684
51000	-3934.8499757546247
51500	-3904.270031271357
52000	-3861.3790525835543
52500	-3892.845648731543
53000	-3872.292208595264
53500	-3845.227363149602
54000	-3851.799097246851
54500	-3818.7176465708994
55000	-3839.1263352217175
55500	-3948.1989955386452
56000	-3827.833529611701
56500	-3895.7433178434108
57000	-3862.2746602769075
57500	-3893.1913141943564
58000	-3941.0132271494754
58500	-3884.8801772579727
59000	-3869.1949659552397
59500	-3931.4628441144428
60000	-3962.3260494459505
60500	-4092.2979191057548
61000	-3837.3526035456975
61500	-3937.975354313579
62000	-4029.0202410146208
62500	-3912.3537669784123
63000	-3872.324888938181
63500	-3897.413301510104
64000	-3833.262625639959
64500	-3959.985866321651
65000	-3904.2436257252957
65500	-3829.648619681074
66000	-3831.496137277449
66500	-3862.4844022207403
67000	-3870.6128953475486
67500	-3909.041001294646
68000	-3912.46202494977
68500	-3895.6131601154084
69000	-3845.6581473970605
69500	-3917.8272300019307
70000	-3818.2539495662772
70500	-3903.091083204821
71000	-3941.4533491812813
71500	-3925.194279164216
72000	-3840.301462571453
72500	-3828.0787863191326
73000	-3739.748250996382
73500	-3889.6064470917336
74000	-3868.9761874823857
74500	-3858.8984420330316
75000	-3879.049456828463
75500	-3796.5614973903866
76000	-3876.790872019179
76500	-3903.927445118489
77000	-3859.0372569276055
77500	-3869.7795566360905
78000	-3781.4681363017485
78500	-3684.147765283376
79000	-3747.5783475628045
79500	-3826.2128255661873
80000	-3814.4638131820084
80500	-3786.0064381613042
81000	-3945.7928432431204
81500	-3824.07302817875
82000	-3895.7460853374046
82500	-3904.6310317539924
83000	-3859.381185203562
83500	-3876.696880609079
84000	-3994.917952782951
84500	-3863.4266591145815
85000	-3872.8366741622804
85500	-3868.405055254149
86000	-3846.353421780308
86500	-3912.894632728562
87000	-3860.2412911742204
87500	-3790.65570511705
88000	-3896.779530725168
88500	-3818.157718122164
89000	-3815.349029612481
89500	-3814.9855010021
90000	-3788.4706480439468
90500	-3711.5864394922796
91000	-3710.858595060393
91500	-3877.316582579903
92000	-3783.411853162575
92500	-3794.592835415142
93000	-3766.4732229616534
93500	-3831.820112185755
94000	-3791.9597113779296
94500	-3859.5691425437954
95000	-3831.7470391695792
95500	-3846.987866469321
96000	-3837.693823144879
96500	-3802.2716518748844
97000	-3903.0008050757156
97500	-3932.8760987377923
98000	-3951.216949000175
98500	-3835.7714421363835
99000	-3776.208786183625
99500	-3910.95313573994
100000	-3751.220769469501
100500	-3840.446751365286
101000	-3752.270437226376
101500	-3876.3363701855933
102000	-3789.374858900238
102500	-3910.5664375296874
103000	-3935.3007060121045
103500	-3875.384399884084
104000	-3865.6132050642273
104500	-3779.5599530922186
105000	-3724.0852611178575
105500	-3888.237706690039
106000	-3823.385585201776
106500	-3832.361347958612
107000	-3803.353353098218
107500	-3813.922127850056
108000	-3850.3227640874893
108500	-3772.8399883584307
109000	-3749.8077637692195
109500	-3864.58015808832
110000	-3800.6939555249737
110500	-3783.7444044160356
111000	-3764.043303841854
111500	-3799.4994447376553
112000	-3779.3782991469943
112500	-3713.594283224438
113000	-3724.0349113273496
113500	-3844.994701015809
114000	-3774.876128294
114500	-3907.81037382748
115000	-3774.9975409611893
115500	-3781.4620720139264
116000	-3677.775416950453
116500	-3694.1080374915337
117000	-3658.0019268005644
117500	-3688.5205458106598
118000	-3792.8157341795213
118500	-3783.369642893946
119000	-3793.9824889737624
119500	-3822.8204093554778
120000	-3895.4035152778756
120500	-3879.1584239278236
121000	-3836.5656652448206
121500	-3798.5805922357085
122000	-3820.035353376437
122500	-3843.3436662029776
123000	-3839.1403967896135
123500	-3782.5870806099347
124000	-3926.7256871633135
124500	-3848.4760626053867
125000	-3815.8708939961934
125500	-3814.1534267006386
126000	-3939.6990694582237
126500	-3879.4432673401857
127000	-3931.539308985446
127500	-3856.229059626943
128000	-3722.1279716693775
128500	-3850.1424971997594
129000	-3804.27655131317
129500	-3833.021605394382
130000	-3700.4713752273533
130500	-3802.396586719393
131000	-3757.7722595327236
131500	-3782.2961478288385
132000	-3681.4870403170553
132500	-3758.590872572911
133000	-3701.614121351366
133500	-3929.5044680765022
134000	-3782.8236767234966
134500	-3801.3461952174575
135000	-3878.623664745891
135500	-3891.808452016755
136000	-3873.904091811317
136500	-3895.546756052706
137000	-3774.55932338667
137500	-3875.231168715685
138000	-3783.460452539196
138500	-3765.3328581020996
139000	-3741.6487045046824
139500	-3667.57664827359
140000	-3721.2665114652737
140500	-3708.3342582794876
141000	-3782.2632502228917
141500	-3840.522847570713
142000	-3734.900447488307
142500	-3795.315934183897
143000	-3786.1109140693184
143500	-3728.763086628416
144000	-3732.0150094211917
144500	-3701.4641964878992
145000	-3871.3917720658023
145500	-3846.3729780114613
146000	-3790.713193248736
146500	-3786.302352660186
147000	-3702.9102805717844
147500	-3729.6118491710295
148000	-3816.976686336311
148500	-3799.4756304886528
149000	-3699.5968365355266
149500	-3681.9078969531006
150000	-3770.702706431265
150500	-3741.8979847344845
151000	-3763.974962067477
151500	-3820.0072561927095
152000	-3896.4413487538245
152500	-3750.6365052739025
153000	-3816.1662582695844
153500	-3849.5196996734217
154000	-3804.9900406193783
154500	-3730.984896631898
155000	-3772.982486833302
155500	-3965.7149353467125
156000	-3881.5712517922407
156500	-3881.340945026544
157000	-3848.992593620057
157500	-3861.777573708717
158000	-3945.591117669553
158500	-3910.0956740769416
159000	-3908.266796652459
159500	-3884.2414250665947
160000	-3872.3763390116487
160500	-3894.929746927623
161000	-3832.2948990008817
161500	-3855.5125815285714
162000	-3845.6861401323285
162500	-3953.0617794441036
163000	-3781.702565074636
163500	-3907.0407160948757
164000	-3841.300436612125
164500	-3852.2045102429115
165000	-3863.775941229129
165500	-3891.221026136085
166000	-3783.0572963495624
166500	-3842.9830299916766
167000	-3831.371333311201
167500	-3782.6188320667316
168000	-3894.3528841616926
168500	-3740.400811410951
169000	-3865.399411210419
169500	-3793.8265523909467
170000	-3922.0613434281086
170500	-3837.449200666656
171000	-3879.5014384829005
171500	-3858.7220752331436
172000	-3832.1658191828046
172500	-3942.677959041362
173000	-3914.8760369139027
173500	-3768.822663618081
174000	-3792.8604938295252
174500	-3920.868677015003
175000	-3941.8579876883896
175500	-3995.7874434295613
176000	-3809.9923031963813
176500	-3877.2511510087033
177000	-3914.0102356280577
177500	-3890.815965993307
178000	-3886.366305270317
178500	-3867.6363308070318
179000	-3850.437080855257
179500	-3823.5680801434282
180000	-3877.04237472618
180500	-3991.6779871902404
181000	-3807.7209448499343
181500	-3828.6167200701334
182000	-3886.2947032083707
182500	-3821.4254148094824
183000	-3806.620015193657
183500	-3771.97732269648
184000	-3753.090526396319
184500	-3933.19185543162
185000	-3816.0496922038856
185500	-3817.724407594068
186000	-3843.990649236868
186500	-3773.968112252981
187000	-3868.582157228055
187500	-3846.508521474172
188000	-3837.540545036666
188500	-3848.053784617442
189000	-3849.9533316125876
189500	-3933.9819938010046
190000	-3823.390709102528
190500	-3737.8569314910537
191000	-3799.0357936438754
191500	-3772.647214121381
192000	-3799.1100114184214
192500	-3771.420537289968
193000	-3837.4904928700566
193500	-3951.407609798682
194000	-3864.2693024114137
194500	-3864.4944005225866
195000	-3833.4814774277397
195500	-3828.1970262834584
196000	-3855.87312522519
196500	-3811.150041834064
197000	-3823.6773916605457
197500	-3772.3573878331417
198000	-3820.1885911765007
198500	-3783.1996273233435
199000	-3822.3343449122326
199500	-3719.1041095267383
200000	-3869.350530009614
200500	-3780.3102298179792
201000	-3811.434923270164
201500	-3870.765746561099
202000	-3768.8121291515718
202500	-3791.4369184265647
203000	-3795.120294573387
203500	-3787.2836304202597
204000	-3728.896177706815
204500	-3771.0082252947536
205000	-3778.395423300886
205500	-3786.3589653004206
206000	-3735.9841387957367
206500	-3833.0351161600083
207000	-3809.381174955692
207500	-3819.2362827868096
208000	-3863.3309127697808
208500	-3879.4335243625096
209000	-3828.9904096767823
209500	-3838.420840934736
210000	-3894.6821109000857
210500	-3796.7551167868573
211000	-3755.61323183646
211500	-3815.942522235961
212000	-3808.586882027759
212500	-3892.8195699330836
213000	-3782.835349698568
213500	-3863.37483662834
214000	-3896.917191259735
214500	-3895.894080602863
215000	-3857.0709626270636
215500	-3863.0980116149526
216000	-3853.922568556098
216500	-3800.2495964091704
217000	-3885.346962240145
217500	-3918.185991144213
218000	-3883.250117668377
218500	-3849.0207099244767
219000	-3860.342846898746
219500	-3914.793154519779
220000	-3914.9172746798654
220500	-3795.369329549409
221000	-3861.525523945041
221500	-3826.740519662866
222000	-3807.0146586045807
222500	-3811.5708508250896
223000	-3902.293331913162
223500	-3914.5500166948864
224000	-3876.4102387848966
224500	-3970.5914753919787
225000	-3844.8122089431295
225500	-3825.5451454141244
226000	-3803.143703588674
226500	-3915.5670130136755
227000	-3924.1302109831245
227500	-3926.4470382718655
228000	-3888.1085294080435
228500	-3817.6637255148244
229000	-3870.051791188585
229500	-3898.1924703642712
230000	-3829.217686779305
230500	-3786.441642385753
231000	-3818.191041656897
231500	-3866.107056437148
232000	-3877.2975154808323
232500	-3970.35874183671
233000	-3911.160514225476
233500	-3920.9005733987915
234000	-3853.289498996831
234500	-3831.2672143215755
235000	-3793.918737316047
235500	-3959.544957823617
236000	-3879.229064663774
236500	-3837.5822477974534
237000	-3846.839384975712
237500	-3757.7348757904706
238000	-3671.536072052807
238500	-3716.53422659824
239000	-3870.640642841077
239500	-3629.4912126006475
240000	-3782.4340190245894
240500	-3759.2719388810774
241000	-3635.3819046799017
241500	-3706.274634134359
242000	-3800.567874262099
242500	-3778.886994021582
243000	-3924.0183492320425
243500	-3907.720579327534
244000	-3730.090184541762
244500	-3685.9516768346775
245000	-3715.5634604489874
245500	-3743.2913021942627
246000	-3765.8368260634543
246500	-3698.4152693014453
247000	-3655.714021189559
247500	-3785.1841870237977
248000	-3798.5513954510943
248500	-3762.9436801767383
249000	-3633.547853036304
249500	-3689.336152608038
250000	-3726.246434727996
250500	-3742.816555973512
251000	-3756.134998820322
251500	-3807.0702020364592
252000	-3892.8020064719035
252500	-3805.989134132262
253000	-3909.781375977741
253500	-3815.8395925241402
254000	-3758.1746945863683
254500	-3744.1573603315337
255000	-3756.5161640137767
255500	-3695.9622377082096
256000	-3792.26315770777
256500	-3913.9598580639986
257000	-3786.116416459847
257500	-3738.194140387939
258000	-3862.7188427596448
258500	-3769.505016209068
259000	-3755.3390577424684
259500	-3757.4308973083585
260000	-3865.036960345353
260500	-3808.628536136981
261000	-3848.725524979922
261500	-3881.6100033144844
262000	-3813.068666785382
262500	-3891.9723164783604
263000	-3896.946637175184
263500	-3865.0015717025135
264000	-3853.957700714776
264500	-3828.9113195175946
265000	-3848.706903419217
265500	-3910.2103455880247
266000	-3819.5713475201514
266500	-3905.0659863243895
267000	-3822.052548354875
267500	-3859.7321417214303
268000	-3928.280374334078
268500	-3762.4811106751276
269000	-3751.3747514122106
269500	-3913.4965098813727
270000	-3785.6571210935226
270500	-3854.108960461683
271000	-3874.984141208518
271500	-3781.915477845086
272000	-3775.471433241467
272500	-3850.010191540892
273000	-3877.4538385949645
273500	-3898.0108741332747
274000	-3856.9798062248083
274500	-3862.595056498737
275000	-3924.790328874631
275500	-3936.709750972756
276000	-3847.119989458308
276500	-3918.1644543599623
277000	-3843.892704292011
277500	-3926.2839291964583
278000	-3904.1630424748864
278500	-3857.766586568056
279000	-3917.298865721592
279500	-3954.614634748013
280000	-3928.880564735907
280500	-3866.836168091427
281000	-3863.925151861914
281500	-3864.42878402722
282000	-3865.3212003833496
282500	-3954.848634571817
283000	-3854.66424964751
283500	-3927.357617931123
284000	-3923.399420923314
284500	-3961.2594728700656
285000	-3896.1754191083423
285500	-3876.092591227508
286000	-3857.1664776013063
286500	-3868.3513932005767
287000	-3899.1554551716854
287500	-3897.92159715517
288000	-3820.1988709411185
288500	-3876.5468296977233
289000	-3913.8386493685216
289500	-3855.433356922315
290000	-3816.757964639579
290500	-3718.507881729932
291000	-3747.493996472006
291500	-3889.954629544274
292000	-3819.283940451808
292500	-3836.9065094365574
293000	-3827.255997163941
293500	-3851.3371585605114
294000	-3861.871410896148
294500	-3944.821441550024
295000	-3867.2320961006358
295500	-3850.6483461681028
296000	-4006.4673695822435
296500	-3865.7013612838928
297000	-3801.581242305507
297500	-3800.6739312343357
298000	-3859.4398890323996
298500	-3914.1018111976
299000	-3765.6939958605353
299500	-3849.595471490735
300000	-3900.215483099339
300500	-3926.4723421196813
301000	-3841.7056707845495
301500	-3821.0437744713126
302000	-3849.452409522071
302500	-3802.4033599235445
303000	-3822.318435001848
303500	-3882.674470608145
304000	-3891.8229143410585
304500	-3864.553093530868
305000	-3694.4237513063476
305500	-3749.413432279445
306000	-3861.620706802715
306500	-3848.3155332094984
307000	-3795.3653911028114
307500	-3771.9979399930307
308000	-3841.869668797817
308500	-3849.1972093926224
309000	-3871.8603315067076
309500	-3842.2405028386856
310000	-3899.4114190734617
310500	-3911.489956476992
311000	-3874.7776240756957
311500	-3888.0162689835365
312000	-3862.475411626071
312500	-3908.9006564235283
313000	-3864.2039124665407
313500	-3806.473984652002
314000	-3734.9965561628783
314500	-3708.842923593137
315000	-3831.8103697939628
315500	-3822.878397739256
316000	-3880.1693791812054
316500	-3868.5586478220475
317000	-3807.0534808681227
317500	-3845.463938783142
318000	-3862.978603273636
318500	-3810.010604536932
319000	-3871.7408483641348
319500	-3768.8437130022994
320000	-3736.231061815413
320500	-3869.944983298775
321000	-3842.328789935468
321500	-3933.6785935529383
322000	-3887.8826935212837
322500	-3936.1318248526677
323000	-3899.670875399734
323500	-3969.7173657670455
324000	-3831.774837954582
324500	-3941.221963012434
325000	-3860.8447725040446
325500	-3853.1783858161502
326000	-3852.0828866000634
326500	-3961.232645819918
327000	-3814.569527757879
327500	-3896.478193911757
328000	-3989.669378841036
328500	-3941.276716550814
329000	-3921.144499762749
329500	-3986.7525514107765
330000	-3946.692808143791
330500	-3934.5787770019465
331000	-3795.870894064128
331500	-3865.6139842366147
332000	-3873.8442875894425
332500	-3901.8630265888696
333000	-3925.2541335213273
333500	-3943.1564646243323
334000	-3918.9361534364407
334500	-3885.7797409450104
335000	-3873.207320719355
335500	-3746.3727591797583
336000	-3901.7187592976543
336500	-3781.9808733464242
337000	-3766.048713791193
337500	-3761.102576529814
338000	-3711.3438257331723
338500	-3804.9917194310724
339000	-3808.107178014519
339500	-3742.9548730256706
340000	-3813.17616119068
340500	-3723.8530512505936
341000	-3687.3159499677945
341500	-3830.7963731627615
342000	-3801.225832262314
342500	-3937.0904150957413
343000	-3989.8693567726946
343500	-3963.593477463542
344000	-3758.2035622617395
344500	-3784.971345713659
345000	-3894.4007243515584
345500	-3836.641232241935
346000	-3871.931679393536
346500	-3971.660673429246
347000	-3920.036099787061
347500	-3794.867234895045
348000	-3740.5093347184484
348500	-3817.897072648844
349000	-3747.2045891848047
349500	-3825.500294065245
350000	-3942.9242769357884
350500	-3878.0369989472156
351000	-3833.4119413126555
351500	-3836.753755308108
352000	-3815.209248582158
352500	-3837.284442296134
353000	-3825.6866363526624
353500	-3690.7137945425343
354000	-3856.71162566434
354500	-3827.1945743404985
355000	-3889.5934315774193
355500	-3856.1100276477196
356000	-3751.731576955001
356500	-3796.242191588084
357000	-3733.0297325996767
357500	-3780.2397830044574
358000	-3772.7595713992087
358500	-3714.006994014468
359000	-3800.480704758487
359500	-3664.0897025833024
360000	-3782.509884134739
360500	-3788.8819275047267
361000	-3719.1506887107666
361500	-3814.1244422270247
362000	-3791.242862771808
362500	-3681.258485935373
363000	-3806.2339226077584
363500	-3800.859038130495
364000	-3729.0448624967194
364500	-3800.0667775090733
365000	-3773.811524177519
365500	-3726.5842187533785
366000	-3829.742887809692
366500	-3802.951041559473
367000	-3892.0321306260325
367500	-3918.9855226207947
368000	-3875.5548898414945
368500	-3883.6594991681036
369000	-3823.2215583165657
369500	-3780.85509637353
370000	-3877.3203903088306
370500	-3700.063281497278
371000	-3722.7294248614958
371500	-3751.553614689512
372000	-3760.811094923151
372500	-3853.9659748674226
373000	-3823.4918364352156
373500	-3826.01681947739
374000	-3750.540759342975
374500	-3813.878410918071
375000	-3836.5555507462477
375500	-3854.6052610843553
376000	-3842.615635491607
376500	-3834.173254676329
377000	-3820.9588793618054
377500	-4028.939107319664
378000	-3950.5912721231434
378500	-3876.8406916238223
379000	-3893.800809067418
379500	-3915.9339399677283
380000	-3961.633488096968
380500	-3886.3277415939265
381000	-3870.9619787785505
381500	-3983.236131334204
382000	-3762.0604068783714
382500	-3912.0452049483765
383000	-3791.2950926025947
383500	-3813.6813690110876
384000	-3831.257846733459
384500	-3918.647126483325
385000	-3987.6993098696316
385500	-3797.5596708486014
386000	-3862.196830850698
386500	-3859.8074415264846
387000	-3818.265340042291
387500	-3803.139423945667
388000	-3881.258601770321
388500	-3891.50291686234
389000	-3784.930995307721
389500	-3791.8380699466147
390000	-3824.894753813128
390500	-3726.854396847001
391000	-3786.2555167116666
391500	-3763.7271775283875
392000	-3759.7798252290536
392500	-3799.3937519207225
393000	-3841.220159335768
393500	-3855.861292475328
394000	-3841.3487917476887
394500	-3851.4059260818904
395000	-3799.17383578531
395500	-3767.336520600544
396000	-3748.361829762879
396500	-3904.8854443523974
397000	-3895.258603606284
397500	-3890.986360011168
398000	-3838.265051034635
398500	-3956.8492510527662
399000	-3989.601377256524
399500	-3821.358573250773
400000	-3822.636236694248
400500	-3788.5273713502183
401000	-3832.7075756649956
401500	-3876.3222862955568
402000	-3865.204037023508
402500	-3887.4320976739477
403000	-3936.6770080132196
403500	-3784.4776924634593
404000	-3879.917904796605
404500	-3846.174994701304
405000	-3886.949766326506
405500	-3834.8583945867117
406000	-3974.1448463806782
406500	-3898.2777922900887
407000	-3776.177111911266
407500	-4016.0740801448983
408000	-3885.6205035668045
408500	-3902.431552089212
409000	-3882.950797708782
409500	-3908.5438082659975
410000	-3869.2892104443317
410500	-3862.8115408665535
411000	-3759.570017272485
411500	-3826.1628719641503
412000	-3830.54939564656
412500	-3868.619242310196
413000	-3880.426590798338
413500	-3903.5529564069966
414000	-3915.0993556396807
414500	-3797.572822998806
415000	-3796.5739904849816
415500	-3764.435738619713
416000	-3816.382306952449
416500	-3899.0459229811427
417000	-3812.8461158507175
417500	-3990.2218823703465
418000	-3754.37248284364
418500	-3801.869002057658
419000	-3837.631519726265
419500	-3816.8500078902543
420000	-3806.181112410135
420500	-3818.774547707814
421000	-3820.832978101563
421500	-3875.8717930763287
422000	-3876.0355197485774
422500	-3886.3902452596635
423000	-3901.1771907337343
423500	-3779.3782540884877
424000	-3730.5400538700223
424500	-3740.608627680143
425000	-3721.500974426197
425500	-3686.522773151914
426000	-3710.4816801627835
426500	-3708.6848303251622
427000	-3902.04467541267
427500	-3775.944172152128
428000	-3815.580551076096
428500	-3726.444369862552
429000	-3723.8712941505955
429500	-3831.7238886456735
430000	-3757.0549941952627
430500	-3786.7016010905986
431000	-3815.408788227353
431500	-3894.3355911178614
432000	-3825.5697843461116
432500	-3883.582941155521
433000	-3872.878690712847
433500	-3792.290694029091
434000	-3758.764698384758
434500	-3849.4853817435064
435000	-3786.5179548890724
435500	-3832.3100374582395
436000	-3812.0743888255192
436500	-3804.7597326013524
437000	-3784.7812132969293
437500	-3858.816420436975
438000	-3818.8287255454306
438500	-3828.4349859373215
439000	-3803.4379300418314
439500	-3876.635303237412
440000	-3898.9369689524433
440500	-3932.111842682765
441000	-3743.897916540307
441500	-3765.836867515103
442000	-3732.533616656597
442500	-3838.2974431803955
443000	-3922.593647312419
443500	-3796.8878030306405
444000	-3787.1576674849803
444500	-3748.8551416583755
445000	-3742.8294316324723
445500	-3996.8955633762453
446000	-3835.150778202952
446500	-3801.307326069876
447000	-3802.755030059342
447500	-3782.1706917656684
448000	-3749.0384936928904
448500	-3688.3640271644804
449000	-3814.7737087346813
449500	-3862.64407155933
450000	-3947.112639148699
450500	-3851.3042312116618
451000	-3864.3724423683702
451500	-3782.193558529664
452000	-3840.1591482966255
452500	-3840.1526153560962
453000	-3795.8895465351015
453500	-3897.6127626485077
454000	-3817.914216286241
454500	-3820.102784804496
455000	-3777.451189604161
455500	-3784.959900049497
456000	-3849.029106900788
456500	-3807.417368295809
457000	-3956.6731576948473
