Sample	likelihood
0	-3602.090628730455
500	-3551.199496832601
1000	-3579.772901411014
1500	-3815.8172671871544
2000	-3763.7268425178663
2500	-3653.0490908625825
3000	-3541.18403157267
3500	-3590.197358427165
4000	-3577.152528060539
4500	-3614.098728923659
5000	-3588.701914541581
5500	-3584.7934100768666
6000	-3544.0217486104298
6500	-3572.136479058696
7000	-3611.033429061665
7500	-3559.012249381703
8000	-3593.5137288745427
8500	-3578.0840079444592
9000	-3569.2347673412714
9500	-3646.0932648038024
10000	-3562.9318954116457
10500	-3520.413170335079
11000	-3547.6472175698777
11500	-3539.2510981730384
12000	-3575.8061666451895
12500	-3610.378421877581
13000	-3684.1380181456234
13500	-3845.4475406924275
14000	-3803.6342573433935
14500	-3651.467754696901
15000	-3678.6628411380716
15500	-3734.0022500664377
16000	-3588.926910283836
16500	-3625.8387102989045
17000	-3726.633276776883
17500	-3705.3943486627854
18000	-3650.2562801821873
18500	-3573.940859485726
19000	-3655.4504066684435
19500	-3641.341320715777
20000	-3587.296763751517
20500	-3714.554351502472
21000	-3640.766243457726
21500	-3700.2592310129894
22000	-3641.809257656366
22500	-3734.411419124763
23000	-3586.134871311428
23500	-3724.145278719193
24000	-3855.2185337996107
24500	-3881.4815154375947
25000	-3763.4620104489686
25500	-3802.548943372081
26000	-3732.4289444276174
26500	-3726.8393582027493
27000	-3708.7139890171056
27500	-3688.515076642403
28000	-3704.9494285936125
28500	-3675.5843231863205
29000	-3715.016900230689
29500	-3736.1731776314846
30000	-3619.013851514137
30500	-3741.5550147845042
31000	-3683.239744754664
31500	-3641.1838367353193
32000	-3631.538573487924
32500	-3782.698267320237
33000	-3792.209376907944
33500	-3661.8835678416413
34000	-3607.5065846184966
34500	-3645.587611958738
35000	-3668.417318426116
35500	-3563.461781734431
36000	-3697.539801154765
36500	-3766.959331059534
37000	-3635.737391213499
37500	-3697.4392740562753
38000	-3643.236659160612
38500	-3767.8967976370823
39000	-3719.598543994419
39500	-3641.467621639623
40000	-3613.4688560512136
40500	-3669.8211901448785
41000	-3663.6752933213943
41500	-3608.184621589621
42000	-3632.7017853320963
42500	-3752.3549165545287
43000	-3645.5379210628935
43500	-3651.00043611619
44000	-3715.087676685113
44500	-3569.471198137134
45000	-3609.847188848096
45500	-3730.979023442908
46000	-3852.868169374323
46500	-3624.9970626308273
47000	-3594.1282910223736
47500	-3690.6232101088995
48000	-3622.186163850043
48500	-3673.425759969403
49000	-3657.738439898232
49500	-3613.886863746012
50000	-3708.2842211450748
50500	-3604.2509827571375
51000	-3619.0012128621697
51500	-3724.246638235644
52000	-3613.0632570075086
52500	-3615.974996892606
53000	-3741.256421765865
53500	-3643.641795357846
54000	-3698.2663438779314
54500	-3686.784338558257
55000	-3676.041991891583
55500	-3743.6004116908134
56000	-3736.1382716711364
56500	-3693.0102871173913
57000	-3735.868728492626
57500	-3580.3479086430584
58000	-3603.6739574232256
58500	-3856.9402916458894
59000	-3769.5130836869416
59500	-3697.7507849234194
60000	-3610.132856670941
60500	-3612.588620861464
61000	-3671.1814231158296
61500	-3624.933601670535
62000	-3588.010616797848
62500	-3698.1532557775754
63000	-3775.9404206063427
63500	-3622.7387360310054
64000	-3689.134852768983
64500	-3567.3265101756147
65000	-3583.950600547539
65500	-3591.155356536169
66000	-3647.6909018934
66500	-3711.9523035586767
67000	-3698.403764657658
67500	-3681.7746922576957
68000	-3706.680004696082
68500	-3684.637273756406
69000	-3681.214743083062
69500	-3641.403269813874
70000	-3608.381096311228
70500	-3769.462213746225
71000	-3665.098209786011
71500	-3614.882847677322
72000	-3690.8390789402783
72500	-3647.752795417201
73000	-3608.1071695759715
73500	-3569.740594793302
74000	-3524.4203868795757
74500	-3677.0010805413394
75000	-3633.0147881384232
75500	-3652.1894504497827
76000	-3606.571914056507
76500	-3650.0888937026407
