#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HRTV_S_BEAST" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="">
#                        <taxa id="TaxonSet.HRTV_S_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HRTV_S_BEAST"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="Standard_TPM3_rates_prior.s:HRTV_S_BEAST" name="distribution">
#            <parameter dimension="3" id="TPM3rates.s:HRTV_S_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0 1.0 1.0</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <alpha id="Function$Constant.0" spec="beast.base.core.Function$Constant" value="1.0 1.0 1.0"/>
#            </distr>
#        </prior>
#        <prior id="ClockPrior.c:HRTV_S_BEAST" name="distribution">
#            <parameter id="clockRate.c:HRTV_S_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.0016226</parameter>
#            <LogNormal id="LogNormalDistributionModel.2" name="distr">
#                <parameter estimate="false" id="RealParameter.14" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.15" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:HRTV_S_BEAST" name="distribution" x="@popSize.t:HRTV_S_BEAST">
#            <Gamma id="Gamma.5" name="distr">
#                <parameter estimate="false" id="RealParameter.12" name="alpha" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.13" name="beta" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="PropInvariantPrior.s:HRTV_S_BEAST" name="distribution">
#            <parameter id="proportionInvariant.s:HRTV_S_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.769</parameter>
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@HRTV_S_BEAST" id="treeLikelihood.HRTV_S_BEAST" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HRTV_S_BEAST">
#            <siteModel id="SiteModel.s:HRTV_S_BEAST" proportionInvariant="@proportionInvariant.s:HRTV_S_BEAST" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HRTV_S_BEAST" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HRTV_S_BEAST" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <substModel id="Standard_TPM3.s:HRTV_S_BEAST" rates="@TPM3rates.s:HRTV_S_BEAST" spec="substmodels.nucleotide.TPM3"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:HRTV_S_BEAST" id="StrictClock.c:HRTV_S_BEAST" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	proportionInvariant	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	popSize	CoalescentConstant	clockRate
0	-3432.3870859724666	-3422.748427922376	-9.638658050090811	-3422.748427922376	0.5880259861724466	2.8261233844794282	0.7664475086485846	0.03432475061771956	2.4987946069479903	0.4668806424342783	0.03432475061771956	2.4987946069479903	0.4668806424342783	0.3654003731215962	-4.296010589314452	0.04399173091814317
1000	-3430.3881625470085	-3422.52347801083	-7.864684536178739	-3422.52347801083	0.4270974685214831	2.473004203580569	0.7664475086485846	0.03432475061771956	2.4987946069479903	0.4668806424342783	0.03432475061771956	2.4987946069479903	0.4668806424342783	0.47608047399183895	-2.6889199443560563	0.04287473306258549
2000	-3448.2980533292357	-3427.337190571542	-20.960862757693707	-3427.337190571542	1.0656213175364122	4.9946584834508965	0.7664475086485846	0.03432475061771956	2.4987946069479903	0.4668806424342783	0.03432475061771956	2.4987946069479903	0.4668806424342783	1.0340731415084743	-15.140794238614784	0.023160422501501618
3000	-3435.606016657594	-3419.9273786178837	-15.678638039710286	-3419.9273786178837	0.8752222090506213	4.015714364199133	0.7664475086485846	0.03432475061771956	2.5548083041333642	0.41086694524890455	0.03432475061771956	2.5548083041333642	0.41086694524890455	0.6595421967029387	-9.938702212709916	0.027499798204778506
4000	-3432.4243313693696	-3419.9565609249303	-12.467770444439171	-3419.9565609249303	0.5877466279041764	3.055334926003505	0.7664475086485846	0.07438353093188335	2.4790423905603975	0.4465740785077076	0.07438353093188335	2.4790423905603975	0.4465740785077076	0.4475289401611274	-6.591154435270674	0.029663954145016776
5000	-3430.541486185133	-3416.8811231927034	-13.6603629924297	-3416.8811231927034	0.547634127609818	3.027597405470282	0.7664475086485846	0.07438353093188335	2.529147084035655	0.39646938503245005	0.07438353093188335	2.529147084035655	0.39646938503245005	0.7229480119873027	-8.323188988005374	0.032993006606571285
6000	-3402.691439219382	-3418.9578764030202	16.266437183638164	-3418.9578764030202	0.11548682753845049	0.6373211130068114	0.7664475086485846	0.07438353093188335	2.529147084035655	0.39646938503245005	0.07438353093188335	2.529147084035655	0.39646938503245005	0.12108311050700561	20.992168252960404	0.16325936009423084
7000	-3392.035434837781	-3421.1482250787963	29.112790241015404	-3421.1482250787963	0.07156062476542385	0.3487001555833152	0.7664475086485846	0.14935224492697824	2.547983381601668	0.30266437347134245	0.14935224492697824	2.547983381601668	0.30266437347134245	0.0852563453582268	33.755400734299315	0.3414431872236815
8000	-3392.359906561521	-3419.9262154587045	27.56630889718388	-3419.9262154587045	0.08215693153631794	0.3882106959256772	0.7664475086485846	0.14935224492697824	2.547983381601668	0.30266437347134245	0.14935224492697824	2.547983381601668	0.30266437347134245	0.07848212528192171	32.4736769429911	0.22768214939449402
9000	-3396.7399312496955	-3430.1563626728303	33.41643142313458	-3430.1563626728303	0.05913496551009483	0.27034378626810895	0.7664475086485846	0.05209362664148917	2.645241999887157	0.30266437347134245	0.05209362664148917	2.645241999887157	0.30266437347134245	0.0513445485192791	38.554051337439994	0.3364858353371505
10000	-3406.100246954747	-3427.613933290382	21.51368633563538	-3427.613933290382	0.1346110667402967	0.5549312377068151	0.7664475086485846	0.05209362664148917	2.645241999887157	0.30266437347134245	0.05209362664148917	2.645241999887157	0.30266437347134245	0.06287610676391453	26.784572615783084	0.18147901337144226
11000	-3408.633618899734	-3418.2012108246563	9.567591924922521	-3418.2012108246563	0.19328631636926624	0.9798890934766491	0.7664475086485846	0.09764734418313362	2.5536496260398454	0.3487030297770097	0.09764734418313362	2.5536496260398454	0.3487030297770097	0.19892148322189965	14.370850581180719	0.09433397664854559
12000	-3405.04843027392	-3420.4034847306116	15.355054456691539	-3420.4034847306116	0.11726694708033718	0.667056887153221	0.7664475086485846	0.09764734418313362	2.478225917599875	0.4241267382169803	0.09764734418313362	2.478225917599875	0.4241267382169803	0.1666294938524329	19.910132631808924	0.1407262942448943
13000	-3433.0202525541304	-3423.4471553319177	-9.573097222212924	-3423.4471553319177	0.44549086624476064	2.5592106341511474	0.7664475086485846	0.09764734418313362	2.478225917599875	0.4241267382169803	0.09764734418313362	2.478225917599875	0.4241267382169803	0.586081610149917	-4.516821363064729	0.042022190177404044
