Sample	likelihood
0	-3433.2933840084047
500	-3430.6956168326756
1000	-3425.3061843612873
1500	-3425.8841982666618
2000	-3425.860761109532
2500	-3427.540353505411
3000	-3427.863472076626
3500	-3424.2980994768427
4000	-3425.53634986222
4500	-3429.5556148210626
5000	-3428.341117898465
5500	-3427.530962706864
6000	-3432.0411662998795
6500	-3431.955523489775
7000	-3426.139884938398
7500	-3432.764027641562
8000	-3420.8062193870055
8500	-3424.4093696354876
9000	-3424.2792554010543
9500	-3421.993840252999
10000	-3420.1831115903988
10500	-3426.9121036056767
11000	-3423.8942413245422
11500	-3422.0739742696737
12000	-3421.8601719404196
12500	-3420.1165860997858
13000	-3419.9644216700926
13500	-3420.0176605473475
14000	-3426.586667246508
14500	-3422.894320065503
15000	-3420.0037325734534
15500	-3422.2340819346796
16000	-3422.518520562076
16500	-3431.550431910836
17000	-3430.017927094198
17500	-3421.361166188972
18000	-3418.5609563590187
18500	-3423.9417363116545
19000	-3425.018609855846
19500	-3426.961782315215
20000	-3424.308997765302
20500	-3428.6927743902484
21000	-3426.8965916992397
21500	-3427.8370670476766
22000	-3422.418156877005
22500	-3428.9574248896743
23000	-3424.8598425697205
23500	-3426.123837659945
24000	-3426.0613509352443
24500	-3425.29567084881
25000	-3428.971843014115
25500	-3426.6801181576525
26000	-3428.6553386714263
26500	-3425.8193369597952
27000	-3421.600207432061
27500	-3426.3816050876508
28000	-3426.8393170689947
28500	-3424.88160258201
29000	-3422.594204165963
29500	-3428.447102342189
30000	-3427.6092758561863
30500	-3433.3899819871326
31000	-3433.669066211266
31500	-3422.9978026546555
32000	-3428.2103283696406
32500	-3429.6881705552623
33000	-3433.35908757198
33500	-3428.497978592496
34000	-3425.810684594462
34500	-3428.2579127458116
35000	-3428.732288558132
35500	-3425.923772639498
36000	-3422.5475154368173
36500	-3430.936197417665
37000	-3424.606785514122
37500	-3420.8614478612776
38000	-3421.130626979163
38500	-3421.2099619736437
39000	-3425.4269624160615
39500	-3420.869118249032
40000	-3426.3144082102267
40500	-3416.208042080456
41000	-3423.9678962648263
41500	-3423.898607691706
42000	-3428.2311927608753
42500	-3422.1684275477437
43000	-3423.7027783042963
43500	-3418.496474355657
44000	-3421.8440083299224
44500	-3425.6223984193393
45000	-3419.241238556522
45500	-3443.287345309537
46000	-3427.621283037004
46500	-3429.198521717396
47000	-3420.7372338391024
47500	-3427.544496952136
48000	-3429.167587312132
