#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HRTV_S_BEAST" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="">
#                        <taxa id="TaxonSet.HRTV_S_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HRTV_S_BEAST"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="Standard_TPM3_rates_prior.s:HRTV_S_BEAST" name="distribution">
#            <parameter dimension="3" id="TPM3rates.s:HRTV_S_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0 1.0 1.0</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <alpha id="Function$Constant.0" spec="beast.base.core.Function$Constant" value="1.0 1.0 1.0"/>
#            </distr>
#        </prior>
#        <prior id="ClockPrior.c:HRTV_S_BEAST" name="distribution">
#            <parameter id="clockRate.c:HRTV_S_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.0016226</parameter>
#            <LogNormal id="LogNormalDistributionModel.2" name="distr">
#                <parameter estimate="false" id="RealParameter.14" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.15" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:HRTV_S_BEAST" name="distribution" x="@popSize.t:HRTV_S_BEAST">
#            <LogNormal id="LogNormalDistributionModel.3" name="distr">
#                <parameter estimate="false" id="RealParameter.16" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.17" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PropInvariantPrior.s:HRTV_S_BEAST" name="distribution">
#            <parameter id="proportionInvariant.s:HRTV_S_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.769</parameter>
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@HRTV_S_BEAST" id="treeLikelihood.HRTV_S_BEAST" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HRTV_S_BEAST">
#            <siteModel id="SiteModel.s:HRTV_S_BEAST" proportionInvariant="@proportionInvariant.s:HRTV_S_BEAST" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HRTV_S_BEAST" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HRTV_S_BEAST" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <substModel id="Standard_TPM3.s:HRTV_S_BEAST" rates="@TPM3rates.s:HRTV_S_BEAST" spec="substmodels.nucleotide.TPM3"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:HRTV_S_BEAST" id="StrictClock.c:HRTV_S_BEAST" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	proportionInvariant	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	popSize	CoalescentConstant	clockRate
0	-9863.054314749817	-9830.395688045004	-32.65862670481315	-9830.395688045004	2.4836432141774987	10.729981083853865	4.6984699373761076E-11	0.7286490099923122	0.2933768417664857	1.9779741482412085	0.7286490099923122	0.2933768417664857	1.9779741482412085	1.9368849685241702	-30.075103371038047	0.35008567085722014
1000	-6607.543353669806	-6616.173022555098	8.629668885292503	-6616.173022555098	0.3152390473745597	1.3247959021564764	2.087618135188682E-11	0.5889313769595262	0.2933768417664857	2.1176917812739946	0.5889313769595262	0.2933768417664857	2.1176917812739946	0.2833962013094604	10.830682980806042	0.454323359454304
2000	-6763.039226492047	-6789.947108641965	26.907882149917544	-6789.947108641965	0.16954872820023534	0.5264851514990726	1.6487939636498458E-11	0.5889313769595262	0.053823404852439735	2.357245218188041	0.5889313769595262	0.053823404852439735	2.357245218188041	0.059952758456145006	34.96203613111686	0.01395463801332221
3000	-6794.702077084726	-6819.973301100139	25.271224015413633	-6819.973301100139	0.14767385515690196	0.4852110365108152	5.1187548736514235E-12	0.7340813986165411	0.053823404852439735	2.212095196531026	0.7340813986165411	0.053823404852439735	2.212095196531026	0.08017901234444817	34.520070257569664	0.007529442589985537
4000	-9000.20386038963	-9119.639126830492	119.4352664408608	-9119.639126830492	3.0698949742023144E-4	0.0011456642523946245	9.934997346644294E-12	0.6673017204364198	0.053823404852439735	2.278874874711147	0.6673017204364198	0.053823404852439735	2.278874874711147	1.468276378583693E-4	149.15529162679564	0.007954017838125561
5000	-8935.814924974515	-9030.116908887414	94.30198391289848	-9030.116908887414	7.800733347337939E-4	0.003906499519059502	9.934997346644294E-12	0.6673017204364198	0.053823404852439735	2.278874874711147	0.6673017204364198	0.053823404852439735	2.278874874711147	0.001166670381046707	115.76321990129065	0.005016108828668098
6000	-8838.263010634086	-8938.267952596168	100.00494196208217	-8938.267952596168	9.249735897058301E-4	0.00350048735759527	9.934997346644294E-12	0.5320231521689669	0.16563430126256745	2.302342546568472	0.5320231521689669	0.16563430126256745	2.302342546568472	4.645963913104698E-4	124.10498692151623	0.007816904116962849
7000	-7924.944065894415	-7999.448111243873	74.50404534945886	-7999.448111243873	0.0016526700202372346	0.012886742032235868	9.934997346644294E-12	0.5320231521689669	0.16563430126256745	2.302342546568472	0.5320231521689669	0.16563430126256745	2.302342546568472	0.00395234145015651	90.25908645909634	0.008011350385464914
8000	-8327.176722522216	-8410.904170196429	83.72744767421258	-8410.904170196429	0.0015666794351080027	0.008798735330104402	1.8394926760515507E-11	0.674430707079013	0.023226746352521394	2.302342546568472	0.674430707079013	0.023226746352521394	2.302342546568472	0.0019896170337983365	97.94373623498163	0.04838386304635046
9000	-7830.916560077863	-7918.605941346504	87.6893812686399	-7918.605941346504	0.0014070323890125246	0.007421432682196966	1.8394926760515507E-11	0.5752076956147364	0.122449757816798	2.302342546568472	0.5752076956147364	0.122449757816798	2.302342546568472	0.002687272323143196	100.74327538883493	0.05169209279844126
10000	-7491.556375042604	-7571.540784818039	79.98440977543602	-7571.540784818039	0.0033868065353461936	0.014944553223750613	1.8394926760515507E-11	0.5229054771246491	0.122449757816798	2.3546447650585596	0.5229054771246491	0.122449757816798	2.3546447650585596	0.0037406827838722513	91.32973964629487	0.07999537516210277
11000	-7513.111548148734	-7594.910149289407	81.79860114067316	-7594.910149289407	0.0029276422390501974	0.014486264923773872	1.8394926760515507E-11	0.5364163190387808	0.122449757816798	2.341133923144428	0.5364163190387808	0.122449757816798	2.341133923144428	0.0027656236024522925	94.00819906567382	0.08944811628434408
12000	-7547.519072588846	-7624.433416333949	76.91434374510283	-7624.433416333949	0.0023523418621051837	0.015424552949858323	1.8394926760515507E-11	0.5364163190387808	0.122449757816798	2.341133923144428	0.5364163190387808	0.122449757816798	2.341133923144428	0.002730840687479039	89.09092806311597	0.09550117056744052
13000	-7958.538046543223	-8028.294033628726	69.75598708550277	-8028.294033628726	0.0063482759592517115	0.030542551807611226	7.836575287507932E-12	0.536954875030538	0.12191120182504081	2.341133923144428	0.536954875030538	0.12191120182504081	2.341133923144428	0.0046582066432655994	80.66782952398577	0.06584508106122053
14000	-7189.94155772073	-7231.704290923476	41.76273320274591	-7231.704290923476	0.05739983687249339	0.2232438695951126	7.836575287507932E-12	0.536954875030538	0.016076592651362104	2.446968532318107	0.536954875030538	0.016076592651362104	2.446968532318107	0.0266090546407852	47.74068036671416	0.10216389303043476
