Sample	likelihood
0	-3471.0969784878084
500	-3465.973667176128
1000	-3478.762341635404
1500	-3452.0954582719814
2000	-3459.475515268849
2500	-3452.625425651937
3000	-3456.8465112264685
3500	-3457.682851058985
4000	-3454.3224043171144
4500	-3467.151680009666
5000	-3479.4611289854442
5500	-3477.7498500139354
6000	-3483.76402422668
6500	-3470.659669019825
7000	-3467.636394199359
7500	-3481.9971686552417
8000	-3473.289637488406
8500	-3461.427396309681
9000	-3457.5197248185445
9500	-3449.9509303489167
10000	-3468.722505367343
10500	-3456.0813340705477
11000	-3465.369394220523
11500	-3456.265650713396
12000	-3458.2966180245066
12500	-3454.1776831705915
13000	-3451.528108846466
13500	-3448.5790384245943
14000	-3447.137859100156
14500	-3454.43904732264
15000	-3475.952068670733
15500	-3447.2169954331257
16000	-3461.113216386494
16500	-3453.050150003914
17000	-3466.677507613368
17500	-3453.9288405754824
18000	-3432.968002896381
18500	-3439.742823354826
19000	-3445.5750806281226
19500	-3450.6231197485763
20000	-3428.5268997106505
20500	-3440.1914212253987
21000	-3437.0088696427024
21500	-3486.7841891133903
22000	-3493.144137116269
22500	-3456.8198557863116
23000	-3468.4277801074722
23500	-3451.0663076774986
24000	-3452.1052765926283
24500	-3444.146364832114
25000	-3457.7113296881757
25500	-3449.0142114081573
26000	-3437.3023542547867
26500	-3434.8629716239316
27000	-3436.7158351505714
27500	-3446.225060112091
28000	-3421.164391308277
28500	-3435.139395406984
29000	-3443.87048060931
29500	-3440.8225189601335
30000	-3438.902819177941
30500	-3449.6898926991607
31000	-3446.1422393961802
31500	-3438.3637329138032
32000	-3451.6410876081804
32500	-3458.0070863608817
33000	-3458.942832745546
33500	-3476.4126632798466
34000	-3451.0854327121747
34500	-3457.256519740796
35000	-3443.855066549079
35500	-3440.0209461808076
36000	-3446.6646501167565
36500	-3457.26697307912
37000	-3444.124046508424
37500	-3451.23928512379
38000	-3436.048757175971
38500	-3440.1030537238944
39000	-3436.9055563564125
39500	-3440.2069472348817
40000	-3447.464415190268
40500	-3452.741033175866
41000	-3467.6169011758484
41500	-3462.9391367088883
42000	-3441.620418539033
42500	-3443.430096087285
43000	-3449.5188257196837
43500	-3446.870268721193
44000	-3444.0717731961727
44500	-3448.9913441967524
45000	-3451.018181507508
45500	-3443.2079624600174
46000	-3450.503311254877
46500	-3453.7113249247636
47000	-3462.148495110252
47500	-3436.9602683162293
48000	-3438.5042575953657
48500	-3439.719253618581
49000	-3449.137588419253
49500	-3452.273712432627
50000	-3443.7964146014406
50500	-3450.3177317959767
51000	-3466.557978813428
51500	-3458.6076183263267
52000	-3442.6948397071146
52500	-3458.2813387307206
53000	-3453.190864344843
53500	-3453.8129671888732
54000	-3444.1031176296156
54500	-3451.817964562442
55000	-3445.143452106489
55500	-3448.237188809358
56000	-3460.4126765662763
56500	-3449.3123336937624
57000	-3455.8256780218544
57500	-3467.0309508630994
58000	-3464.663844052358
58500	-3459.0888974997943
59000	-3446.212386266359
59500	-3431.677692425991
60000	-3450.5334053528572
60500	-3463.377662828896
61000	-3446.247023427987
61500	-3441.45196380824
62000	-3444.9362312237586
62500	-3442.9846564914137
63000	-3435.028477237048
63500	-3455.775252791287
64000	-3461.0416953967174
64500	-3445.2811372923693
65000	-3454.6010511639447
65500	-3449.5655787252767
66000	-3442.276319999974
66500	-3441.2751567234745
67000	-3450.5794884845564
67500	-3446.7380244961473
68000	-3453.596867377485
68500	-3454.2396278128485
69000	-3454.128288905917
69500	-3451.5496446887214
70000	-3475.9038854517685
70500	-3456.6915446096327
71000	-3454.988451382715
71500	-3451.0666654457364
72000	-3450.7633967605807
72500	-3453.1033799334946
73000	-3446.040861081655
73500	-3474.62780981361
74000	-3444.5342756786517
74500	-3434.4500867641377
75000	-3431.6850377663427
75500	-3451.514678873432
76000	-3439.436983619653
76500	-3434.5627775955504
77000	-3446.0539747641214
77500	-3455.5711858731056
78000	-3445.832808746548
78500	-3447.5988627067427
79000	-3446.7973113634966
79500	-3449.330709661085
80000	-3444.222158243242
80500	-3438.527015514847
81000	-3446.2581798565443
81500	-3457.1397464521447
82000	-3443.189829367486
82500	-3453.061741897713
83000	-3437.8846345817396
83500	-3443.71166047153
84000	-3431.8106271909924
84500	-3438.9539893340616
85000	-3449.8511437005227
85500	-3441.6011392831247
86000	-3437.42526704211
86500	-3453.124088326244
87000	-3441.269034371902
87500	-3435.329492901866
88000	-3439.6145972938443
88500	-3447.4428647097443
89000	-3448.433161943849
89500	-3462.1937121347437
90000	-3450.3153127628552
90500	-3464.1328020725928
91000	-3462.6920456418593
91500	-3455.443364326152
92000	-3453.748803487431
92500	-3445.1039486491845
93000	-3463.4641145705355
93500	-3443.7012558994497
94000	-3447.9343180852247
94500	-3438.126543701008
95000	-3447.9445262890313
95500	-3465.3766483994023
96000	-3463.163942532256
96500	-3472.6203565654914
97000	-3479.77837901042
97500	-3448.169920779245
98000	-3452.0344034651084
98500	-3431.7309919818954
99000	-3430.5788256056176
99500	-3440.8221537811564
100000	-3443.791654535869
100500	-3439.9673694101334
101000	-3450.3620383307534
101500	-3439.909348077785
102000	-3462.154743868496
102500	-3449.132198786895
103000	-3446.1482328379143
103500	-3437.8451996361173
104000	-3448.259636537368
104500	-3434.87184068733
105000	-3449.9528617281103
105500	-3444.2438625447594
106000	-3461.400795218096
106500	-3445.3531291080653
107000	-3446.838346253244
107500	-3441.218076166169
108000	-3451.382912025147
108500	-3440.49241696447
109000	-3452.546240532155
109500	-3478.3401334388423
110000	-3455.006421625949
110500	-3446.063113331538
111000	-3455.816449911574
111500	-3443.4242271314706
112000	-3441.8285408027928
112500	-3439.943205077882
113000	-3469.705622892473
113500	-3451.2187098386476
114000	-3463.2574953146295
114500	-3471.9330612437107
115000	-3435.2234857199314
115500	-3456.856242898498
116000	-3443.9429471434123
116500	-3452.368780548752
117000	-3461.5379785337095
117500	-3473.4869858191087
118000	-3457.4439368308804
118500	-3445.2084047598437
119000	-3463.388716636855
119500	-3439.493570798527
120000	-3477.83984429939
120500	-3475.6759405595544
121000	-3455.8174774500376
121500	-3441.6196593168265
122000	-3457.7979660010933
122500	-3465.905945315304
123000	-3462.0152230411477
123500	-3447.719183420271
124000	-3456.069807100532
124500	-3449.4099488472284
125000	-3449.9349345584083
125500	-3458.127597545263
126000	-3458.038729114835
126500	-3438.878413847297
127000	-3436.9107938246852
127500	-3443.222414321552
128000	-3453.005613835447
128500	-3457.3527628519837
129000	-3450.3011000345136
129500	-3450.088222647514
130000	-3444.726930370843
130500	-3449.924131021894
131000	-3436.5099496921443
131500	-3425.419587409029
132000	-3438.103834982122
132500	-3471.7697138698863
133000	-3454.460379793268
133500	-3443.551388378805
134000	-3437.380254091569
134500	-3433.963657626059
135000	-3446.810882328646
135500	-3453.0600787283097
136000	-3447.445965137174
136500	-3445.405511808385
137000	-3468.77172269096
137500	-3441.1339964174276
138000	-3442.690699516111
138500	-3439.106213612574
139000	-3459.309003426953
139500	-3437.683274489531
140000	-3454.38616122514
140500	-3439.8147553629383
141000	-3451.9737958076016
141500	-3453.620920858784
142000	-3447.5288378616783
142500	-3448.54763317681
143000	-3437.191764171823
143500	-3449.9218618274035
144000	-3446.8087891173955
144500	-3451.718107456139
145000	-3437.8537192596755
145500	-3452.2941572165664
146000	-3441.240751088505
146500	-3455.189725483925
147000	-3453.6039835932747
147500	-3455.723333004581
