Sample	likelihood
0	-3422.3893721460026
500	-3416.8515349333898
1000	-3416.819595698169
1500	-3417.8588158108937
2000	-3422.1920834426564
2500	-3422.069404083837
3000	-3421.8814773427016
3500	-3420.4362696939556
4000	-3419.7714914591343
4500	-3426.564559718417
5000	-3420.1177486817037
5500	-3424.2999585391067
6000	-3424.3791595324706
6500	-3424.3029588227455
7000	-3424.6072041989814
7500	-3424.8066673796297
8000	-3434.3435282875134
8500	-3424.702997033922
9000	-3429.6894007779856
9500	-3423.6391005431274
10000	-3419.596394393766
10500	-3427.23851213222
11000	-3422.405791962357
11500	-3426.1981623752945
12000	-3428.1753557106776
12500	-3424.4545297035284
13000	-3423.763472396895
13500	-3422.4824556633425
14000	-3427.0649966393316
14500	-3426.734219242072
15000	-3423.567974175737
15500	-3420.9114828179004
16000	-3420.757536940585
16500	-3420.7575786578245
17000	-3420.264634647486
17500	-3416.981155818599
18000	-3417.774222799229
18500	-3418.093525261806
19000	-3423.172374653709
19500	-3424.453672341675
20000	-3421.1168807778504
20500	-3430.6089992549123
21000	-3429.3797849114394
21500	-3427.407925740913
22000	-3427.9011493688063
22500	-3426.4254931397936
23000	-3418.312517333721
23500	-3422.7185924350497
24000	-3416.38164619979
24500	-3426.034489952929
25000	-3419.300116037196
25500	-3419.4607662664307
26000	-3419.937582856553
26500	-3421.144940194147
27000	-3426.4204562041127
27500	-3424.3451550738237
28000	-3420.7175165953895
28500	-3425.7651531524093
29000	-3421.111226447576
29500	-3419.84356921045
30000	-3418.927890251526
30500	-3426.11324146783
31000	-3419.9829372537683
31500	-3416.9506306402573
32000	-3425.708500803559
32500	-3422.1404123811094
33000	-3421.501223336234
33500	-3415.580806836711
34000	-3415.8925727837295
34500	-3416.888773817396
35000	-3418.0029395831143
35500	-3415.5868903955943
36000	-3414.724043576427
36500	-3417.91624172596
37000	-3420.5254130360827
37500	-3416.9206814864756
38000	-3418.2211936047306
38500	-3414.7724096274956
39000	-3419.496971975644
39500	-3413.2356895407074
40000	-3412.3279969687187
40500	-3417.2944237663373
41000	-3418.4077422612145
41500	-3416.4921654567515
42000	-3418.675617349518
42500	-3417.741463015393
43000	-3419.9142159339685
43500	-3415.223742113744
44000	-3419.7881317876613
44500	-3417.3926686690684
45000	-3426.6746954525884
45500	-3420.8971489628407
46000	-3421.5036850754746
46500	-3418.648701788939
47000	-3422.65993538306
47500	-3421.1965339397675
48000	-3423.9581549086115
48500	-3422.209207222746
49000	-3425.2733423976606
49500	-3421.890608251018
50000	-3421.497277993456
50500	-3421.391660470825
51000	-3424.3396607287996
51500	-3418.197403496002
52000	-3427.6977547795395
52500	-3418.643282681159
53000	-3423.80488349694
53500	-3419.6203349424104
54000	-3422.156378438234
54500	-3422.5950558244444
55000	-3420.814142298994
55500	-3416.7257552056053
56000	-3420.1749999233107
56500	-3430.9532423810597
57000	-3422.878349391078
57500	-3420.359031799332
58000	-3414.0914880579558
58500	-3418.6643485304185
59000	-3421.780320100378
59500	-3423.352335151364
60000	-3427.9697948716166
60500	-3419.401634204272
61000	-3420.5884448688926
61500	-3418.825879349038
62000	-3429.167033324336
62500	-3420.549214298933
63000	-3415.76953564169
63500	-3419.179057938731
64000	-3429.1459632507167
64500	-3422.8394280541415
65000	-3418.182460292084
65500	-3426.8829243218875
66000	-3419.4394159440426
66500	-3423.0565450339554
67000	-3421.6638202957843
67500	-3417.418674034467
68000	-3426.1609540962336
68500	-3420.484086918082
69000	-3419.3050590585553
69500	-3422.7177146095783
70000	-3419.575012890874
70500	-3420.7711144912214
71000	-3415.670137629149
71500	-3416.9089662683664
72000	-3418.7388317540217
72500	-3415.873009064447
73000	-3427.8350803205053
73500	-3422.0002828482056
74000	-3424.3652753989186
74500	-3415.930037263025
75000	-3420.773873687801
75500	-3416.1441144409955
76000	-3419.2463962593406
76500	-3425.8399244102748
77000	-3418.4958915645443
77500	-3411.783005920937
78000	-3418.298905731406
78500	-3417.507081883525
79000	-3419.2310177438108
79500	-3425.831135722549
80000	-3419.766970025287
80500	-3414.2943385087956
81000	-3416.0823079278966
81500	-3421.6853963366293
82000	-3418.282674406449
82500	-3417.998936323466
83000	-3421.7170079552834
83500	-3427.2746780973425
84000	-3416.9789791205844
84500	-3416.7432518965356
85000	-3419.094720110116
85500	-3424.44131121077
86000	-3417.44340476325
86500	-3415.4330712396263
87000	-3420.406997007213
87500	-3417.9106281405107
88000	-3425.9557203877757
88500	-3418.2672541337583
89000	-3422.422059277768
89500	-3423.1565255505593
90000	-3421.7472130418387
90500	-3421.0107645452586
91000	-3422.4102897689804
91500	-3421.4427780247715
92000	-3418.414931395998
92500	-3418.13267452335
93000	-3417.564902118155
93500	-3416.163874675259
94000	-3417.750179540689
94500	-3425.988777080005
95000	-3414.589669177647
95500	-3421.6014864398553
96000	-3420.545844399905
96500	-3420.629851688386
97000	-3417.711701129383
97500	-3419.2021232031043
98000	-3415.371490565756
98500	-3415.567365553245
99000	-3420.121263756905
99500	-3417.290100584678
100000	-3422.943372556785
100500	-3415.9916731956973
101000	-3419.252189621371
101500	-3416.059722455984
102000	-3416.5239379116792
102500	-3420.512493160278
103000	-3418.591727483068
103500	-3419.516287473268
104000	-3419.3600434237665
104500	-3417.243081598617
105000	-3418.796292270692
105500	-3422.4042838989876
106000	-3416.2253430837004
106500	-3414.4248974338325
107000	-3420.137812456232
107500	-3419.7681913005104
108000	-3418.516353953579
108500	-3414.966658489621
109000	-3415.0643769541493
109500	-3415.4764398215866
110000	-3416.9013880457014
110500	-3416.637244912798
111000	-3418.9497959593223
111500	-3419.754541736131
112000	-3411.8793025297186
112500	-3416.6029203884755
113000	-3419.332147328972
113500	-3414.76056032783
114000	-3422.3555518090316
114500	-3421.765893344365
115000	-3418.346861685529
115500	-3417.6789811109334
116000	-3416.635631799269
116500	-3417.522028080477
117000	-3416.9948652942003
117500	-3424.5459143888147
118000	-3416.1143303583312
118500	-3418.9071149100464
119000	-3417.1425703001505
119500	-3423.3116264805653
120000	-3417.198590499489
120500	-3417.5631040899752
121000	-3419.06763346831
121500	-3416.2711354176527
122000	-3424.705789220771
122500	-3416.69240248349
123000	-3415.2259281520337
123500	-3420.637159140552
124000	-3419.126878121838
124500	-3419.8830023915466
125000	-3427.8780606566274
125500	-3422.7682529328144
126000	-3417.324000892532
126500	-3416.685648241118
127000	-3415.041847285809
127500	-3424.1836241693145
128000	-3424.141457489507
128500	-3420.0475122069056
129000	-3424.7113136641356
129500	-3418.4697981205527
130000	-3430.5616463216757
130500	-3421.8635142779453
131000	-3420.4677228585283
131500	-3424.922082170529
132000	-3420.504846729492
132500	-3420.052952876663
133000	-3421.7158433766494
133500	-3422.268483274368
134000	-3433.0280301466305
134500	-3428.4969016758196
135000	-3420.099968354483
135500	-3419.589939829294
136000	-3425.9650371163602
136500	-3422.0449186899655
137000	-3427.4297217523363
137500	-3417.8657088677346
138000	-3417.233083217077
138500	-3419.7267282494536
139000	-3418.0306915232277
139500	-3425.542584243731
140000	-3420.109375630453
140500	-3420.890184278264
141000	-3416.3096585692915
141500	-3428.6766273719186
142000	-3424.562381488864
142500	-3416.342090209713
143000	-3427.620519511376
143500	-3417.7866743525674
144000	-3420.6721857994476
144500	-3420.9128376172425
145000	-3424.0204222372377
145500	-3424.746741736737
146000	-3424.450569215836
146500	-3423.0166052704335
147000	-3421.762326196162
147500	-3423.4420514471494
148000	-3434.27194854512
148500	-3429.261094574514
149000	-3425.1844830993223
149500	-3424.436411625392
150000	-3420.1014923058688
150500	-3422.2267236005446
151000	-3428.7409059217753
151500	-3425.7157247010327
152000	-3417.7758273348604
152500	-3419.8712310938927
153000	-3424.419954052974
153500	-3424.196394546754
154000	-3419.923703741233
154500	-3417.5577772905763
155000	-3418.6545125809716
155500	-3420.9135312090016
156000	-3420.4046915948666
156500	-3420.9157912928317
157000	-3423.209063255364
157500	-3421.158748492098
158000	-3416.6647155686805
158500	-3418.3993016984286
159000	-3418.5893233713814
159500	-3414.816794914495
160000	-3419.7498903593782
160500	-3414.100920408938
161000	-3420.913707230158
161500	-3421.29828006552
162000	-3423.5032618828013
162500	-3417.5611373278516
163000	-3419.0347127225787
163500	-3419.3991902224834
164000	-3419.430449089557
164500	-3425.8963827128878
165000	-3416.546896073372
165500	-3427.7396225711263
166000	-3423.4843886717817
166500	-3411.677002661692
167000	-3411.798361645205
167500	-3415.4253864638495
168000	-3415.5927113268162
168500	-3420.6119422004335
169000	-3414.5895331984093
169500	-3419.6887197836577
170000	-3423.2631596124324
170500	-3414.9777430400127
171000	-3417.2613367009662
171500	-3420.494323275288
172000	-3416.9924125590046
172500	-3419.3700098202326
173000	-3418.248208982379
173500	-3414.549588642691
174000	-3416.750364450394
174500	-3415.38986033819
175000	-3416.504584403994
175500	-3422.500349454205
176000	-3419.377220817682
176500	-3417.642383327533
177000	-3417.025259194045
177500	-3419.5134517108386
178000	-3419.8727651264026
178500	-3421.7178186819638
179000	-3422.599414679044
179500	-3424.551054827904
180000	-3413.704564181501
180500	-3425.8766544204295
181000	-3421.0228344233947
181500	-3423.364156686934
182000	-3422.26678871454
182500	-3420.108179714419
183000	-3416.7790312019138
183500	-3416.361000760572
184000	-3421.3872643139935
184500	-3416.402221458873
185000	-3415.151568336001
185500	-3419.1252594602142
186000	-3420.6692261070198
186500	-3419.602539571494
187000	-3419.1613340023027
187500	-3417.5600539609213
188000	-3417.4658909730133
188500	-3424.0884814485885
189000	-3420.92759578008
189500	-3420.697084428813
190000	-3420.0824790524102
190500	-3418.446826977431
191000	-3420.196103634184
191500	-3414.705912532604
192000	-3412.811030669811
192500	-3420.924158479774
193000	-3414.8817022626936
193500	-3415.863938899898
194000	-3421.7049049192515
194500	-3418.796026373866
195000	-3420.5598286899526
195500	-3421.4997841604677
196000	-3421.082797295087
196500	-3416.276399725223
197000	-3414.9874922452254
197500	-3419.111777437788
198000	-3416.268433788287
198500	-3423.5380377257025
199000	-3416.1008524228255
199500	-3421.0696107041863
200000	-3419.75783849792
200500	-3422.3171956873334
201000	-3418.4955534380415
201500	-3422.1542626847236
202000	-3425.6213604179497
202500	-3420.4711850312005
203000	-3423.2894105099394
203500	-3418.5304843111244
204000	-3416.4875396103853
204500	-3419.842158765808
205000	-3419.2895883538954
205500	-3421.735492109649
206000	-3422.9155202797415
206500	-3421.6618665756573
207000	-3420.2758827625858
207500	-3424.31615204258
208000	-3412.878061506931
208500	-3413.9103683675594
209000	-3413.234981724956
209500	-3415.5129315136655
210000	-3421.392430464761
210500	-3415.957990278808
211000	-3421.3911341487483
211500	-3418.4160071582724
212000	-3413.7933525436606
212500	-3417.560239468087
213000	-3419.9503654051714
213500	-3421.393666118422
214000	-3414.7993332661563
214500	-3422.729775321115
215000	-3419.0424382569095
215500	-3414.8605989099715
216000	-3421.9773233317405
216500	-3417.7513283639682
217000	-3413.67299179445
217500	-3418.1800775494
218000	-3418.7354079311485
218500	-3417.9841330241757
219000	-3422.034642303249
219500	-3417.0106989538353
220000	-3419.2149174557544
220500	-3413.2079171773894
221000	-3415.7571694606845
221500	-3418.106111683368
222000	-3416.2567692571947
222500	-3415.3107058081177
223000	-3418.4770470240182
223500	-3415.6971924245327
224000	-3419.922896227647
224500	-3423.201409066139
225000	-3425.7034137387736
225500	-3426.525628125601
226000	-3422.3144164836076
226500	-3419.2398941044808
227000	-3423.813805546551
227500	-3416.196938568205
228000	-3425.9628820001667
228500	-3423.650344079754
229000	-3413.487616666732
229500	-3415.9476398081033
230000	-3416.8072894415754
230500	-3422.787154133688
231000	-3418.5628528236953
231500	-3423.668259106799
232000	-3413.3289908491815
232500	-3419.342256077175
233000	-3419.2165006736823
233500	-3417.0850999547633
234000	-3418.369581184362
234500	-3417.984947908128
235000	-3419.268360986341
235500	-3425.6350097444606
236000	-3419.5216732569143
236500	-3431.5501359042
237000	-3418.399583483148
237500	-3422.8869083950817
238000	-3416.4121262269923
238500	-3424.4042490159036
239000	-3428.924020948864
239500	-3417.426703465574
240000	-3418.766850937891
240500	-3420.446407228762
241000	-3422.3474044784157
241500	-3420.768754556234
242000	-3417.1162282707687
242500	-3416.3375014539815
243000	-3428.8543893583296
243500	-3422.0683191844896
244000	-3419.5826841140897
244500	-3417.9191388127297
245000	-3416.9628173103724
245500	-3413.710767736044
246000	-3419.36973477049
246500	-3415.7538274447456
247000	-3423.143394047425
247500	-3420.841314642409
248000	-3421.7028824417566
248500	-3422.1226853798853
249000	-3424.4286414505295
249500	-3419.561828932226
250000	-3422.2405360694706
250500	-3420.5066317375044
251000	-3424.3994387522794
251500	-3423.3315005543695
252000	-3418.5991125047144
252500	-3424.5846135294996
253000	-3421.8629227907227
253500	-3432.3745775823827
254000	-3434.603765468385
254500	-3418.7775026993013
255000	-3418.2108352495306
255500	-3415.3227301484494
256000	-3423.179197656069
