Sample	likelihood
0	-3430.3431711446856
500	-3431.6000086332865
1000	-3432.5258136858574
1500	-3436.301807659153
2000	-3441.254438335535
2500	-3440.445231497612
3000	-3438.72788895038
3500	-3437.1758719310023
4000	-3429.2114517574905
4500	-3429.6747751722537
5000	-3427.3199841647943
5500	-3429.5133274143936
6000	-3439.0298712470544
6500	-3438.521598278265
7000	-3440.251619790774
7500	-3429.708218547225
8000	-3440.9562405021693
8500	-3421.732565222514
9000	-3436.426819966471
9500	-3454.4038310226624
10000	-3437.5005723195495
10500	-3432.1170454985913
11000	-3423.640313664355
11500	-3432.52446797415
12000	-3429.786461256386
12500	-3425.2216964637787
13000	-3439.0529022107435
13500	-3446.405968952343
14000	-3427.4966782076026
14500	-3434.700316697342
15000	-3432.098413258923
15500	-3429.526773642434
16000	-3445.6561998255097
16500	-3437.8513872102703
17000	-3429.1041034470695
17500	-3445.885564538127
18000	-3439.472600807477
18500	-3416.6242808048028
19000	-3438.1677779445604
19500	-3422.5618447791235
20000	-3422.7646614654245
20500	-3422.22990847533
21000	-3431.2661906314243
21500	-3424.9053837200404
22000	-3430.1297333910793
22500	-3427.08892846112
23000	-3436.7907428467897
23500	-3427.335453103906
24000	-3436.895948334465
24500	-3426.3922920187943
25000	-3431.622291241216
25500	-3427.0309678267386
26000	-3432.018005723951
26500	-3428.3827642822594
27000	-3434.891240577267
27500	-3431.398151803122
28000	-3440.958149153552
28500	-3441.0825668331054
29000	-3436.922970351365
29500	-3426.991357697358
30000	-3444.236200112808
30500	-3434.8671680361117
31000	-3431.8085950307222
31500	-3434.684353626478
32000	-3439.4659930736257
32500	-3437.375500602514
33000	-3427.9622949180252
33500	-3429.382478740994
34000	-3435.2867002022053
34500	-3431.45455014827
35000	-3427.7387326292874
35500	-3432.09265022719
36000	-3433.9522680526306
36500	-3431.075778701119
37000	-3419.732413798668
37500	-3426.3215125755883
38000	-3426.489333693624
38500	-3441.0703474304355
39000	-3434.2125991500457
39500	-3440.9215830648855
40000	-3428.8684120652515
40500	-3430.587955496643
41000	-3432.5222536752067
41500	-3429.4360950939995
42000	-3433.0056725992563
42500	-3427.628520938266
43000	-3426.5075647780945
43500	-3428.5755221727454
44000	-3429.9371960919448
44500	-3435.350234656279
45000	-3430.064600257053
45500	-3428.7910562490065
46000	-3421.758931173956
46500	-3421.0348750773906
47000	-3419.893054035529
47500	-3431.114012747402
48000	-3430.5407252811324
48500	-3432.762536032239
49000	-3437.003480639654
49500	-3430.0138081572145
50000	-3436.215987545424
50500	-3434.978621283658
51000	-3443.4546792845563
51500	-3432.035185799124
52000	-3435.861169992456
52500	-3439.780745253302
53000	-3436.78358601607
53500	-3430.5260154381454
54000	-3440.9806919871703
54500	-3427.4657437194633
55000	-3427.1885521646886
55500	-3427.7820688064216
56000	-3433.6933579152387
56500	-3428.005374272506
57000	-3434.0909470652296
57500	-3427.081894366059
58000	-3428.443141640143
58500	-3442.8022625373924
59000	-3434.8979973694013
59500	-3442.344621600922
60000	-3434.7651149735866
60500	-3435.723853710892
61000	-3439.3170059856807
61500	-3427.2792768251966
62000	-3431.348431440999
62500	-3440.507393628531
63000	-3446.679510698976
63500	-3437.0393980856984
64000	-3429.387318182048
64500	-3444.9791570624375
65000	-3438.2374285774963
65500	-3431.5395325400605
66000	-3433.032889666203
66500	-3441.1634109731394
67000	-3448.500276106143
67500	-3433.160089877878
68000	-3442.682789656838
68500	-3445.1104935371386
69000	-3430.066385611373
69500	-3440.088519047103
70000	-3431.252018965773
70500	-3425.058889047502
71000	-3431.772990901216
71500	-3428.7488330861725
72000	-3429.2230104258897
72500	-3433.398325281246
73000	-3439.2744118562905
73500	-3432.4826492139687
74000	-3435.388259132384
74500	-3436.0766657737254
75000	-3445.3557497235834
75500	-3439.394353106036
76000	-3440.5003167193327
76500	-3442.618245564067
77000	-3439.977571153937
77500	-3430.967608730395
78000	-3428.8249918137826
78500	-3432.0871883246427
79000	-3431.8581591902594
79500	-3439.910129814611
80000	-3435.3282411943196
80500	-3440.8016956864867
81000	-3447.2711250754237
81500	-3440.8288342726114
82000	-3441.8001604259134
82500	-3443.4589172363826
83000	-3438.4649237242043
83500	-3433.119236637628
84000	-3429.746325241638
84500	-3428.385788808962
85000	-3427.2783882871727
85500	-3425.1424459911696
86000	-3432.508065624196
86500	-3431.7178329658195
87000	-3424.254441651612
87500	-3425.586653199673
88000	-3434.44550892422
88500	-3437.769669501156
89000	-3445.1760720763177
89500	-3447.513076886249
90000	-3442.799692184996
90500	-3441.2616734408102
91000	-3453.293842922619
91500	-3455.6082987053896
92000	-3441.2254402004014
92500	-3437.3716218178592
93000	-3439.8137999704286
93500	-3432.9476163288978
94000	-3432.3985602069456
94500	-3434.1259525685205
95000	-3437.2923060994585
95500	-3435.1764067731906
96000	-3435.925769368228
96500	-3434.9636792192236
97000	-3436.3408987422804
97500	-3428.0592225113087
98000	-3430.871379519023
98500	-3434.928032736253
99000	-3435.4532340035926
99500	-3439.845944014098
100000	-3435.964071498727
100500	-3442.142662455568
101000	-3429.9835895494402
101500	-3438.1300075662352
102000	-3445.6366756391863
102500	-3444.1685589216872
103000	-3431.249433851272
103500	-3438.2079934521544
104000	-3441.286092542901
104500	-3428.969486255332
105000	-3429.725576378824
105500	-3425.6953815146912
106000	-3442.1073896002035
106500	-3430.4975535916305
107000	-3434.60188005144
107500	-3427.124286388173
108000	-3437.475118728821
108500	-3435.573914881083
109000	-3434.564521818592
109500	-3427.975486769423
110000	-3436.872588116135
110500	-3429.495203563717
111000	-3421.570764082343
111500	-3429.5775253690404
112000	-3439.5504960898334
112500	-3433.654922610401
113000	-3426.1761830401774
113500	-3437.6366728460553
114000	-3440.0474914622787
114500	-3443.0229364847773
115000	-3429.835979602244
115500	-3424.22051339667
116000	-3441.6151011359743
116500	-3439.937654877276
117000	-3440.9862114780467
117500	-3437.5098508864703
118000	-3431.407246381214
118500	-3435.531911705176
119000	-3431.365613528971
119500	-3434.6614885913305
120000	-3434.779687205463
120500	-3437.3606992600276
121000	-3437.131107653288
121500	-3440.799315930152
122000	-3435.0081386386364
122500	-3447.5348134564215
123000	-3435.993873172546
123500	-3430.1459161465086
124000	-3435.0349386982884
124500	-3437.624344855769
125000	-3441.5785595212583
125500	-3450.347650319377
126000	-3437.6630517763615
126500	-3428.332487755373
127000	-3436.495982168722
127500	-3428.4383083495013
128000	-3443.596870780279
128500	-3438.3616040665547
129000	-3434.919020450913
129500	-3433.805151882664
130000	-3430.8515594093333
130500	-3435.276888938739
131000	-3426.4169329548877
131500	-3432.2531587944304
132000	-3430.9897383922503
132500	-3426.2506871379956
133000	-3425.26547605667
133500	-3429.2015210723252
134000	-3432.190101372033
134500	-3423.8060298280225
135000	-3439.643966045283
135500	-3436.909638507043
136000	-3427.3745400272546
136500	-3434.0321378896506
137000	-3431.1603272378225
137500	-3437.245079563336
138000	-3441.3532867758468
138500	-3437.8003516533813
139000	-3438.5307135482394
139500	-3434.0183939173025
140000	-3432.5340144632837
140500	-3439.332405899677
141000	-3436.227995020504
141500	-3435.8041674753244
142000	-3436.237862762275
142500	-3446.831122375045
143000	-3435.4893984164582
143500	-3435.8272459010577
144000	-3443.0444433880625
144500	-3441.3569948301783
145000	-3431.926604034803
145500	-3436.724482611092
146000	-3436.2974175298664
146500	-3430.1509972681356
147000	-3435.1425473604095
147500	-3434.9687656345964
148000	-3434.5621245850275
148500	-3438.392731023033
149000	-3436.9364666747997
149500	-3435.1889284481767
150000	-3429.6428426234734
150500	-3436.5312838351483
151000	-3434.086871498096
151500	-3436.45748477786
152000	-3445.5675282846664
152500	-3439.51715722107
153000	-3441.0785090703453
153500	-3433.5038905482015
154000	-3439.23014826411
154500	-3446.8014625852074
155000	-3432.168976116294
155500	-3447.7618575204715
156000	-3434.386232402208
156500	-3426.6681820754943
157000	-3427.801520693079
157500	-3431.759888463649
158000	-3431.4428955589583
158500	-3441.77876925208
159000	-3435.50642957383
159500	-3430.8063923607992
160000	-3432.3965062011025
160500	-3436.580132084536
161000	-3427.534187003317
161500	-3429.7633098961546
162000	-3442.681695027077
162500	-3439.5950629287922
163000	-3455.3229866783013
163500	-3446.9909748243795
164000	-3448.7969849301194
164500	-3437.5052319271376
165000	-3433.2113901112757
165500	-3439.882142934012
166000	-3420.9942313782835
166500	-3436.5263702735815
167000	-3428.9608456057626
167500	-3440.2777773277444
168000	-3437.368430687133
168500	-3431.414682580911
169000	-3428.871650081923
169500	-3428.1360583626733
170000	-3425.9999826089734
170500	-3441.3679577044045
171000	-3437.414831387573
171500	-3436.706533105208
172000	-3434.85202999392
172500	-3427.1545046361607
173000	-3432.0639521786184
173500	-3433.2221735687394
174000	-3442.7582647721565
174500	-3428.757994960373
175000	-3439.0072312345073
175500	-3423.5833029844102
176000	-3417.232501052828
176500	-3427.218354152714
177000	-3431.8332010198715
177500	-3433.0879477977924
178000	-3441.8706227219086
178500	-3439.5816720971047
179000	-3431.8734114183526
179500	-3442.157903124369
180000	-3442.7449040224924
180500	-3429.9133027221737
181000	-3436.8812864363385
181500	-3428.735995757554
182000	-3437.7761883896405
182500	-3431.6943797599374
183000	-3425.6556980526807
183500	-3432.232251032799
184000	-3426.7931709833165
184500	-3434.900544546724
185000	-3440.9346782747934
185500	-3432.110029419046
186000	-3434.933632865401
186500	-3435.039185571173
187000	-3444.510921577667
187500	-3435.256610741682
188000	-3441.1231587843004
188500	-3431.1311650368057
189000	-3431.2474481125278
189500	-3437.034736006744
190000	-3427.464869700084
190500	-3436.6691966371354
191000	-3434.127889824353
191500	-3447.693065651383
192000	-3440.676331836253
192500	-3435.3442853829292
193000	-3433.4934853914137
193500	-3431.006729544052
194000	-3430.1638106027526
194500	-3441.466569404938
195000	-3435.4901081145363
195500	-3432.5077241042827
196000	-3445.6232429899924
196500	-3428.3037791769157
197000	-3424.159123559984
197500	-3429.0491596753814
198000	-3433.7384773216886
198500	-3432.354773305992
199000	-3427.2362676056946
199500	-3429.035143376045
200000	-3428.47415132485
200500	-3439.2854519381062
201000	-3428.730019926293
201500	-3437.1482815875156
202000	-3427.6177846146147
202500	-3429.3436384386882
203000	-3431.0862794728673
203500	-3433.658228561391
204000	-3455.470612763339
204500	-3431.465992131872
205000	-3446.772794984842
205500	-3433.3992922379034
206000	-3430.6812374561196
206500	-3419.8991516254514
207000	-3434.153919787377
207500	-3439.518430146854
208000	-3429.3898139173752
208500	-3435.757646605349
209000	-3424.8654184393827
209500	-3437.9571986603014
210000	-3435.7056749785756
210500	-3438.1765749854017
211000	-3429.2706374271424
211500	-3431.681873728804
212000	-3429.199640203595
212500	-3435.2539351975283
213000	-3433.7353449688394
213500	-3433.466708985764
214000	-3436.992090383637
214500	-3434.0333262146914
215000	-3445.424935631185
