Sample	likelihood
0	-4057.426590175646
500	-4039.6686200616678
1000	-4013.0357825022074
1500	-3989.7518248364827
2000	-4075.1462418489427
2500	-4086.1392601985085
3000	-4060.8516684489423
3500	-4132.524545163265
4000	-4120.726503178999
4500	-4129.807662191879
5000	-4180.850525789909
5500	-4088.4262488952604
6000	-4111.427217766508
6500	-4037.440215208917
7000	-3984.249869150846
7500	-3984.630792587378
8000	-3952.423668880782
8500	-3955.8418465627956
9000	-3996.272869158084
9500	-4016.157037484906
10000	-3936.8498807820006
10500	-3924.284225509647
11000	-3969.430996139811
11500	-3996.7424663178253
12000	-3912.9245826247325
12500	-3914.9077257461345
13000	-3914.910709858554
13500	-3924.800185760983
14000	-3905.753566513967
14500	-3950.521476480548
15000	-3873.3123048050306
15500	-3881.4176949240655
16000	-3953.2682314700514
16500	-3939.843145658942
17000	-4050.4028521445803
17500	-3992.6694036299905
18000	-3935.928061185903
18500	-4006.892527008936
19000	-4055.502392769836
19500	-4029.4287803290026
20000	-4034.68198537795
20500	-4003.6877169451936
21000	-4084.802790189362
21500	-3968.121583564926
22000	-3932.0825448233204
22500	-3919.829725790235
23000	-3913.719059990577
23500	-3941.306528786531
24000	-3944.7162282273994
24500	-3954.4860998202666
25000	-3919.2260407574017
25500	-3885.3166736001217
26000	-3934.156755361713
26500	-3977.0349084276577
27000	-3990.366876064688
27500	-4010.1600009802196
28000	-3993.643325292129
28500	-3935.1610617941415
29000	-3915.876214637874
29500	-4008.4279847884422
30000	-3983.500058599818
30500	-4007.058391827555
31000	-3954.7706114987973
31500	-3938.883630076791
32000	-3873.3127174401825
32500	-3885.341858059835
33000	-3874.4279807900425
33500	-3876.0354162428584
34000	-3933.7014551757215
34500	-3942.497252614187
35000	-3930.3448559581084
35500	-4036.5753021871897
36000	-3983.2900493205357
36500	-3947.4962859142697
37000	-4041.1022363415996
37500	-4079.595632054348
38000	-4131.088470984013
38500	-3991.1709379651834
39000	-4072.768141618814
39500	-4043.2829489417354
40000	-3974.2737887581343
40500	-3998.628982101137
41000	-3907.8235171628226
41500	-4001.1821108917243
42000	-3940.697948143495
42500	-3942.01009896289
43000	-4011.3385596399226
43500	-3920.8781322805557
44000	-3938.0007479706387
44500	-3872.366868219168
45000	-3949.709911440787
45500	-3942.2777422343706
46000	-3877.4418217548287
46500	-3941.457220951296
47000	-3877.4808443064962
47500	-3968.555123141347
48000	-4075.627438188528
48500	-3884.715229934904
49000	-3884.0466798917632
49500	-3887.2585574922514
50000	-3942.7732908022326
50500	-3893.442967701628
51000	-3931.746464198621
51500	-4043.2028897423857
52000	-4040.6380961514033
52500	-4036.282289705381
53000	-4021.5036587162435
53500	-3966.9926719003647
54000	-3967.228394309553
54500	-4084.3461558024346
55000	-4045.118071435864
55500	-4024.773080225337
56000	-4223.029649308914
56500	-4044.7327362356996
57000	-3916.824968257196
57500	-3961.3503617933948
58000	-4000.395773225453
58500	-4017.4440543088904
59000	-3976.128417953879
59500	-4004.212272413018
60000	-4003.1921338187462
60500	-3873.5386400096736
61000	-3950.1078997156496
61500	-3935.5658412787375
62000	-3972.6046149163026
62500	-3981.4488230782626
63000	-3960.599461437309
63500	-4101.973154401763
64000	-4095.1434256596103
64500	-3949.2061269618684
65000	-4006.2066653188945
65500	-4005.6982285271715
66000	-3990.121399027283
66500	-3949.3510780486786
