#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="demographic.alltrees" spec="beast.base.evolution.tree.coalescent.CompoundPopulationFunction">
#    <parameter id="popSizes.alltrees" lower="0.0" name="populationSizes" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#    <populationIndicators id="indicators.alltrees" spec="beast.base.inference.parameter.BooleanParameter">false</populationIndicators>
#    <itree id="treeIntervals.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#        <tree id="Tree.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.Tree">
#            <trait id="dateTrait.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_S_2019=2019,HRTV-26_T_S_2019=2019,HRTV-404_T_S_2021=2021,HRTV-100_T_S_2022=2022,HRTV-187_T_S_2022=2022,HRTV-056F_T_S_2023=2023,HRTV-504_T_S_2019=2019,HRTV-432R_T_S_2023=2023,HRTV-642T_T_S_2023=2023,JX005843_H_S_MO_2009=2009,OQ688983.1_T_S_MO_2012=2012,OQ688989.1_T_S_MO_2012=2012,OQ688986.1_T_S_KS_2015=2015,OQ688993.1_H_S_OK_2017=2017,MZ440341_T_S_NY_2018=2018,MZ440344_T_S_NY_2018=2018,NC_024496_H_S_MO_2009=2009,KJ740146_H_S_TN_2013=2013,OQ688998.1_H_S_KY_2017=2017,OQ689001.1_H_S_MO_2017=2017">
#                <taxa id="TaxonSet.HRTV_S_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxa>
#            </trait>
#            <taxonset idref="TaxonSet.HRTV_S_BEAST"/>
#        </tree>
#    </itree>
#</input>
#
Sample	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18
0	0:6.69479432531734	1.658289728988457	2.1544825762170454	2.2596779219839043	3.1226512461116798:4.9E-324	3.1226512461116798:6.17551408325762E-16	4.107779162903558:2.9129984205464843	4.393366067488408:1.2740835756E-314	4.393366067488408:1.8882216318892918E-6	6.396578307652533:23.89700193924197	11.060835503719886	12.852080631663794	14.037387978831612	14.293405916903676	15.359698736716854	16.906546456446105	18.591110856218737	18.89576026497079	24.361632893384723	24.361632893384723:4.9E-324
5000	0:2.823772710732757	1.29555326916813	1.3835130484270575	2.116976062634523	3.2732184427678375:1.5E-323	3.2732184427678375:1.2209012407704707E-15	4.457849088250956:2.422851803178331	4.785333135123804:3.831343702E-314	4.785333135123804:1.5866626357648115E-6	5.680143722139773	11.457553765846052	11.768394867818081	12.81868374645793:34.2548267890122	14.29895340659786	14.555456705805565	14.717934369647951:0.10533815960130816	15.395209621203843:10.640396958424555	17.527519785553576	18.952380734758137	18.952380734758137:4.9E-324
10000	0:5.574331684314569	1.0128727817691832	1.239882101581066	1.4525629067705677	3.0394044489605436:4.9E-323	3.0394044489605436:1.3462789940218695E-15	4.060948604381469:0.5537354146364037	4.379794203355444:5.603119906E-314	4.379794203355444:9.414961074987741E-6	5.311267586099749	10.08040284484996	10.58822024577356	11.140011165353428:19.042256761325234	13.210085413398687	14.21882747485098	14.887616444685158	17.16006752861048	17.23058602832331	18.771057447047635	18.771057447047635:4.9E-324
15000	0:5.721649801918116	1.0337850950769651	1.0462633497020457	2.114817214971598	3.052001576129028:1.5E-323	3.052001576129028:2.616440189611103E-15	4.180485348227088:2.0139895666115204	4.489459721484697:2.409472908207E-312	4.489459721484697:8.719772298613592E-5	6.072247119333119	9.078660884306029	11.957035054928927	12.158404324806975:32.5172092631788	12.536320826586563	14.302010851109964	14.42328285691781	16.145120666302898	17.322572184430204	18.79966918895026	18.79966918895026:1.0E-323
20000	0:3.267184115227629	0.8484766347232088	1.5929554631029368	2.0575821874781877	2.864327503939715:4.9E-324	2.864327503939715:5.274088997484749E-16	4.170938963432014:4.276175370181933	4.399232100390587:5.32776488589E-312	4.399232100390587:1.8978527110612544E-6	5.163535495601256	10.01753780372483	11.098723828705152	11.439585541328942:20.896384442854387	11.983250022816412	13.440057264573726	14.032232468446546	15.548161046076538	15.738111613234746	16.93245096732693	16.93245096732693:4.9E-324
25000	0:5.487094210077552	1.073893705904266	1.1162051053283333	1.5697130523034246	2.9074383825218773:1.0E-323	2.9074383825218773:6.16883642300304E-16	4.4948565186741405:5.429050790021416	4.619818130678117:1.8836084443E-313	4.619818130678117:7.908718563942451E-6	5.1051138193795085	8.397697105085896	11.0304743048968	11.04811569157074:15.099040212691785	14.0312758293605	14.310652068388462	14.975651661255013	15.074532125344511	15.265616541826326	16.086532102190844	16.086532102190844:4.9E-324
30000	0:4.350106244380096	1.0349392048157657	1.1079497296108822	2.159276060687987:2.8314266552862137	2.8832806749884576:7.9E-323	2.8832806749884576:5.710561168726488E-15	4.093110926320861:1.4473884651776	4.615051623355189:1.6328172365E-314	4.615051623355189:1.2296023161385437E-6	5.260758732538231	8.82345085141106	11.858220998878714	12.15611545377515:25.967709867284736	14.05619292863164	14.273950889617767	14.479361101681981	15.796748228364535	16.205109570997784	16.70635899319711	16.70635899319711:4.9E-324
35000	0:7.466279202164982	1.0349392048157657	1.1079497296108822	2.159276060687987	2.8832806749884576:1.0E-323	2.8832806749884576:5.111499598584218E-16	4.093110926320861:11.869055443228149	4.615051623355189:1.58395032E-315	4.615051623355189:2.0505611942137826E-7	5.260758732538231	8.82345085141106	11.858220998878714	12.15611545377515:23.634471252957553	14.05619292863164	14.273950889617767	14.479361101681981	15.796748228364535	16.205109570997784	16.70635899319711	16.70635899319711:4.9E-324
40000	0:4.51586869786653	1.095901994078462	1.2495258187266887	2.2794215908203452	2.9553785594348083:4.9E-324	2.9553785594348083:5.981626681774237E-16	4.147435395235784:1.814456538097698	4.6391429634966554:1.331385E-317	4.6391429634966554:2.1103692250732627E-9	5.290357655349188	8.825179271272207	11.082540262594716	12.121229821531731:9.703165468177062	12.969846744669496	13.034394836631382	14.015935028512937	14.128911103717462	14.81938873139603	15.923077491714855	15.923077491714855:4.9E-324
45000	0:1.8819684338338434	0.34147449835769855	1.0027021413929986	1.4225903224636356	2.9009583926470444:4.9E-324	2.9009583926470444:8.756629767083245E-16	4.115773293781349:4.802331513556467	4.427921281899638:1.0240452E-316	4.427921281899638:4.3748410377119384E-9	6.266257159634428	10.436790236385388	10.468358683589855	11.183211121313256:13.721754588188782	13.084460796122892	13.499727128878769	14.438216756169744	14.702690077063561	15.477219766389725	17.18608460125989	17.18608460125989:4.9E-324
