Sample	likelihood
0	-21320.948855659855
500	-21329.276822487514
1000	-21336.786319804443
1500	-21327.714041370356
2000	-21334.220721505597
2500	-21353.019038204366
3000	-21366.312409517122
3500	-21351.628318201954
4000	-21356.299766081604
4500	-21367.280913152717
5000	-21344.607330739967
5500	-21345.97703395475
6000	-21333.17194846773
6500	-21336.03362162413
7000	-21333.50622699047
7500	-21340.59491627102
8000	-21345.943172975494
8500	-21344.93195356061
9000	-21355.021080727056
9500	-21348.607171976535
10000	-21356.05450948068
10500	-21353.88894013016
11000	-21345.881131061764
11500	-21350.5046767841
12000	-21357.199334513585
12500	-21369.63898526902
13000	-21372.27315002587
13500	-21365.9652965849
14000	-21349.24466930906
14500	-21369.624944516832
15000	-21363.912035098605
15500	-21360.70168868905
16000	-21372.719202135744
16500	-21367.22305470235
17000	-21379.545457571883
17500	-21388.183063868964
18000	-21359.0725868156
18500	-21360.13152901447
19000	-21344.27837955322
19500	-21378.75341462111
20000	-21368.275957036203
20500	-21355.55810224019
21000	-21335.670745414223
21500	-21376.091889837633
22000	-21370.630337523206
22500	-21356.3503196563
23000	-21355.003738866195
23500	-21371.383460764613
24000	-21366.21936074926
24500	-21340.920920886863
25000	-21339.30016255728
25500	-21367.295143615345
26000	-21353.51881228375
26500	-21362.782896161665
27000	-21366.679256233227
27500	-21372.83633068358
28000	-21350.870907964618
28500	-21374.148464518046
29000	-21350.919270676346
29500	-21367.257309822846
30000	-21358.845953594308
30500	-21363.6924418173
31000	-21354.59350801134
31500	-21375.130311696506
32000	-21344.742681241743
32500	-21362.465693454298
33000	-21352.908462647087
33500	-21331.81824745761
34000	-21337.88045824592
34500	-21337.052281159315
35000	-21344.967758929753
35500	-21344.591453529454
36000	-21355.684942083866
36500	-21340.791975768494
37000	-21336.88343193232
37500	-21367.25417019554
38000	-21340.242444313742
38500	-21359.832259719184
39000	-21370.15281056717
39500	-21359.629485588175
40000	-21357.13914617199
40500	-21363.299840749853
41000	-21374.410473701686
41500	-21379.148452506804
42000	-21360.901326638577
42500	-21363.683165897684
43000	-21373.939609821675
43500	-21349.33062533988
44000	-21369.196894911714
44500	-21353.000110030483
45000	-21344.902477179963
45500	-21335.25514566542
46000	-21351.47194302878
46500	-21359.823516665776
47000	-21368.251621881387
47500	-21362.045738426004
48000	-21342.21087512731
48500	-21364.828841423558
49000	-21367.741691213647
49500	-21358.69137351787
50000	-21343.281896488337
50500	-21341.346535240686
51000	-21345.954038864158
51500	-21340.960088932152
52000	-21368.370192581282
52500	-21354.167583360446
53000	-21362.628016853723
53500	-21375.586385520204
54000	-21370.140577289214
