Sample	likelihood
0	-21471.861315418853
500	-21597.82872635914
1000	-21643.19203513644
1500	-21501.60698367819
2000	-21576.695136907412
2500	-21602.0879476226
3000	-21644.346463811653
3500	-21548.715400873385
4000	-21623.065571935982
4500	-21550.473812336957
5000	-21523.019548540327
5500	-21575.908406417973
6000	-21623.73875022131
6500	-21545.386749489757
7000	-21708.513632228874
7500	-21564.934176760908
8000	-21556.475313202933
8500	-21609.35950612111
9000	-21579.101771737955
9500	-21681.532597933583
10000	-21718.331670326672
10500	-21648.40486968389
11000	-21572.503312238994
11500	-21556.7648592761
12000	-21576.455417995934
12500	-21553.11758400393
13000	-21504.753828117384
13500	-21645.278586478787
14000	-21556.31956829905
14500	-21653.085945431565
15000	-21612.863835929827
15500	-21650.686791148375
16000	-21488.92738277055
16500	-21601.89463496784
17000	-21526.43434797125
17500	-21586.72874244608
18000	-21539.952425451957
18500	-21564.304744026827
19000	-21531.109713259837
19500	-21665.214859014766
20000	-21581.082016063014
20500	-21530.870104917503
21000	-21619.588340861126
21500	-21619.82065175978
22000	-21578.147857452073
22500	-21620.969493884306
23000	-21593.654468240635
23500	-21612.106202529623
24000	-21616.260141586707
24500	-21576.480695473045
25000	-21546.431053940338
25500	-21612.05672749813
26000	-21607.08479331326
26500	-21576.444518893655
27000	-21539.18190213592
27500	-21634.710987381615
28000	-21558.65671766435
28500	-21524.57754120962
29000	-21564.858950656937
29500	-21428.06408991815
30000	-21569.480055259388
30500	-21599.792777670413
31000	-21600.872484521642
31500	-21651.03298272774
32000	-21699.557110579357
32500	-21600.127682555147
33000	-21554.037839688186
33500	-21488.09748358477
34000	-21488.37185072334
34500	-21618.11058692553
35000	-21706.664456054925
35500	-21646.966835812436
36000	-21704.639462964664
36500	-21704.82996818287
37000	-21617.09351851038
37500	-21691.29437185628
38000	-21625.63304380404
38500	-21686.98656942563
39000	-21564.389768298643
39500	-21556.79363260566
40000	-21642.38486802125
40500	-21553.358570579458
41000	-21555.06821588638
41500	-21511.70856690513
42000	-21613.128601907232
42500	-21556.54419350132
43000	-21551.5707168219
43500	-21610.136632938225
44000	-21497.23213822496
44500	-21561.175495424774
45000	-21584.695415062986
45500	-21621.332818621406
46000	-21563.41432854847
46500	-21614.359906909925
47000	-21586.33199690412
47500	-21533.543517177888
48000	-21573.106417322317
48500	-21587.443040525406
49000	-21553.058531553357
49500	-21585.174775531028
50000	-21498.955833628228
50500	-21596.8599424435
51000	-21572.453548658006
51500	-21646.68756992338
52000	-21563.64090152839
52500	-21639.78803109919
53000	-21555.305191914667
53500	-21548.260895137035
54000	-21574.994137985785
54500	-21609.543039779444
55000	-21554.503739408796
55500	-21579.907841821776
56000	-21526.45694919716
56500	-21559.202555433436
57000	-21618.97381949083
57500	-21642.689426892943
58000	-21564.38464904934
58500	-21610.664220416664
59000	-21596.364370503234
59500	-21528.075622184348
60000	-21586.329278186884
60500	-21518.874313864108
61000	-21533.982267533396
61500	-21545.98851532049
62000	-21574.927465911376
62500	-21538.4763392686
63000	-21563.86988807155
63500	-21529.00727539875
64000	-21595.554990595334
64500	-21519.291592259633
65000	-21602.53107956892
65500	-21578.745637186497
66000	-21656.221892163936
66500	-21621.67242953019
67000	-21600.04702684686
67500	-21581.289889415923
68000	-21502.48228538725
68500	-21559.352062908572
69000	-21481.842390261238
69500	-21576.952745437913
70000	-21572.450019606098
70500	-21568.480794934763
71000	-21490.465922103955
71500	-21469.59369920301
72000	-21665.049612755312
72500	-21537.623547717038
73000	-21553.77455289094
73500	-21543.611186265603
74000	-21635.123827455438
74500	-21553.407513852395
75000	-21569.05061910448
75500	-21448.560874454255
76000	-21592.303649215122
76500	-21624.762091035103
77000	-21544.1959467833
77500	-21596.179242894657
78000	-21529.788750851614
78500	-21628.485284317394
79000	-21645.397932558426
79500	-21511.722152582664
80000	-21590.848713563693
80500	-21546.48547667169
81000	-21644.566522644574
81500	-21695.12445425732
82000	-21527.419542410298
82500	-21527.085909707177
83000	-21644.53451366705
83500	-21610.376959030713
84000	-21589.204416740246
84500	-21653.112755830956
85000	-21579.788236299726
85500	-21537.285611867024
86000	-21598.5272047007
86500	-21506.255306148993
87000	-21625.718141085206
87500	-21628.191462331506
88000	-21662.973605773856
88500	-21563.83585860296
89000	-21585.79294931427
89500	-21608.270384603256
90000	-21705.79245050253
90500	-21715.212217472763
91000	-21594.37440209492
91500	-21672.050710326683
92000	-21643.529058331987
92500	-21639.363736035986
93000	-21674.762381876946
93500	-21630.966127799424
94000	-21703.462752115138
94500	-21691.42940218538
95000	-21571.192234673883
95500	-21487.868591950624
96000	-21564.135329489996
96500	-21533.594775654088
97000	-21513.914839189496
97500	-21626.808052737022
98000	-21571.22648186179
98500	-21541.332689803727
99000	-21567.852590550767
99500	-21588.326646604106
100000	-21517.13009641031
100500	-21632.13949145649
101000	-21777.30084405827
101500	-21647.087760594684
102000	-21607.5149930302
102500	-21517.558219719314
103000	-21513.161524029634
103500	-21548.33294389455
104000	-21495.671393719513
104500	-21477.89378548642
