Sample	likelihood
0	-21341.527402529628
500	-21351.116310354413
1000	-21340.476958342602
1500	-21333.82947210045
2000	-21333.34063930058
2500	-21345.828326795217
3000	-21345.081102481887
3500	-21340.498765029475
4000	-21339.083194457897
4500	-21339.628746214155
5000	-21329.758368146417
5500	-21328.17920065387
6000	-21336.108982419846
6500	-21334.72897887223
7000	-21341.414965616874
7500	-21339.791526653124
8000	-21343.980373667386
8500	-21345.724943744666
9000	-21347.408790412795
9500	-21343.7214309281
10000	-21330.029867738223
10500	-21332.869043734285
11000	-21335.415785658497
11500	-21320.55534722879
12000	-21339.211593132575
12500	-21336.347611956262
13000	-21328.455958617593
13500	-21325.4128262519
14000	-21329.530872839558
14500	-21335.16075825861
15000	-21337.658441199
15500	-21331.46204925287
16000	-21325.779937045216
16500	-21337.578817436206
17000	-21332.724430335344
17500	-21328.46418700684
18000	-21330.864225624286
18500	-21335.688892040307
19000	-21337.111015874252
19500	-21348.569727869217
20000	-21328.593378539637
20500	-21329.178064173837
21000	-21335.122995604004
21500	-21342.943208524182
22000	-21334.151333362035
22500	-21321.32530205093
23000	-21331.602293463
23500	-21338.539220962553
24000	-21327.988055435082
24500	-21335.648151744852
25000	-21331.40160808435
25500	-21326.492503660484
26000	-21338.48535625533
26500	-21321.657016601104
27000	-21341.78281359082
27500	-21362.750992116795
28000	-21341.794488606345
28500	-21335.966052969034
29000	-21341.96139288372
29500	-21336.63613881246
30000	-21340.881395037602
30500	-21332.706444676343
31000	-21335.95044356707
31500	-21334.770124839357
32000	-21364.5558650249
32500	-21352.645374884985
33000	-21337.751730556472
33500	-21338.456001288472
34000	-21336.200023137182
34500	-21338.9279198976
35000	-21331.19497365145
35500	-21332.73351277976
36000	-21332.256694059575
36500	-21338.42224539546
37000	-21327.664951862047
37500	-21329.752557123255
38000	-21337.358609569932
38500	-21331.25311360272
39000	-21348.72490744703
39500	-21346.006267647703
40000	-21330.47259081819
40500	-21326.849535426092
41000	-21340.68942708317
41500	-21327.74426800943
42000	-21331.037533139526
42500	-21341.066731673898
43000	-21335.062122075822
43500	-21340.637384579146
44000	-21343.768866092505
44500	-21333.431653890766
45000	-21352.720186792758
45500	-21340.806850702902
46000	-21347.198302770772
46500	-21346.57690039471
47000	-21348.60278446585
47500	-21348.20086720213
48000	-21354.917712669383
48500	-21359.600489676075
49000	-21352.640240073175
49500	-21339.147488397364
50000	-21333.15219350646
50500	-21353.450041362445
51000	-21353.75844628324
51500	-21347.20155615804
52000	-21328.157730865
52500	-21344.101603202354
53000	-21334.162617576952
53500	-21333.048445447675
54000	-21346.476154247794
54500	-21335.590521453774
55000	-21338.75008129229
55500	-21354.977433631506
56000	-21355.12499298787
56500	-21344.24125377901
57000	-21340.188530282685
57500	-21352.574690373458
58000	-21352.11633355735
58500	-21348.438674250163
59000	-21351.94228623538
59500	-21342.856393106875
60000	-21344.610404637715
60500	-21342.192716410842
61000	-21329.735759714633
61500	-21329.244767295753
62000	-21338.88289570459
62500	-21355.50712743244
63000	-21342.125641774783
63500	-21338.419707092547
64000	-21342.70567156902
64500	-21343.030178994977
65000	-21342.22962909997
65500	-21320.266453970245
66000	-21340.05746859472
66500	-21342.030568509166
67000	-21343.753986282394
67500	-21341.937469268443
68000	-21333.274024129645
68500	-21322.1737054543
69000	-21333.407854239547
69500	-21329.122057721415
70000	-21319.093077020883
70500	-21336.07252672111
71000	-21342.53330485774
71500	-21324.45831436693
72000	-21341.302509783458
72500	-21330.752622385975
73000	-21328.04328252508
73500	-21331.44147727084
74000	-21338.67960365971
74500	-21336.98563189456
75000	-21337.3670192985
75500	-21334.95981191689
76000	-21347.490017450185
76500	-21331.83389071111
77000	-21333.472415400058
77500	-21332.287036698854
78000	-21325.818309350285
78500	-21342.22576346066
79000	-21333.770045946058
79500	-21335.597922783723
80000	-21340.213443469285
80500	-21343.904190572805
81000	-21334.985913793258
81500	-21327.668287345623
82000	-21323.841334577894
82500	-21335.689525516722
83000	-21338.545254838875
83500	-21330.989942844262
84000	-21342.91957699822
84500	-21341.362995241318
85000	-21343.991648707088
85500	-21341.439260881798
86000	-21351.75601821413
86500	-21342.691107643615
87000	-21348.685695501863
87500	-21328.034332023053
88000	-21338.063730667156
88500	-21338.667493090998
89000	-21335.02296033262
89500	-21329.096893564918
90000	-21319.295459913174
90500	-21330.983898672745
91000	-21326.5638201289
91500	-21338.316628230783
92000	-21332.4638875939
92500	-21333.458868255475
93000	-21338.886689343126
93500	-21344.618902663125
94000	-21326.221844933967
94500	-21343.308030683835
95000	-21333.43679317488
95500	-21337.857566964354
96000	-21337.988345555103
96500	-21326.28479419598
97000	-21321.225833295906
97500	-21338.34550392795
98000	-21334.060632825676
98500	-21326.89933809323
99000	-21333.020343576565
99500	-21329.875390419784
100000	-21327.02201104063
100500	-21336.66784794528
101000	-21340.88990013102
101500	-21328.903592844657
102000	-21327.0536953269
102500	-21320.23659546783
103000	-21330.296076003327
103500	-21319.58896795549
104000	-21318.745411904703
104500	-21328.534523190556
105000	-21328.415160914414
105500	-21324.942827402403
106000	-21331.999339082166
106500	-21331.292060694857
107000	-21330.470575565534
107500	-21338.46045990749
108000	-21324.014499390272
108500	-21329.5083007677
109000	-21318.23218161759
109500	-21334.815295108034
110000	-21333.26512657457
110500	-21329.618786662933
111000	-21323.2126640082
111500	-21314.504384973774
112000	-21324.713578775263
112500	-21329.034482652285
113000	-21320.87543938306
113500	-21335.240588696823
114000	-21334.509120646646
114500	-21327.426521502548
115000	-21329.855838505202
115500	-21324.732725450238
116000	-21327.82654091107
116500	-21327.771618171584
117000	-21324.167338775853
117500	-21334.211736638543
118000	-21323.182590951805
118500	-21324.16086029092
