Sample	likelihood
0	-21841.711759946826
500	-21781.38928289299
1000	-21725.50043614814
1500	-21782.95685030308
2000	-21832.14665601581
2500	-21836.585495222786
3000	-21821.17693664271
3500	-21984.837061823542
4000	-21946.55857337813
4500	-21917.200603996956
5000	-22018.510112503605
5500	-22147.888334045678
6000	-22186.743613973795
6500	-22021.08548178873
7000	-22209.69995672102
7500	-21844.584070601228
8000	-21933.93672336353
8500	-22060.64623054018
9000	-21939.33495386411
9500	-21915.400302570324
10000	-21714.880340291442
10500	-21849.066495856627
11000	-21786.027445847525
11500	-21925.507961057254
12000	-21858.199371273706
12500	-22063.624020264197
13000	-21916.98618265681
13500	-21875.94768909152
14000	-21875.209734697044
14500	-21938.619086162176
15000	-21773.40297982024
15500	-21852.260068231004
16000	-21903.196756947047
16500	-22029.197406182662
17000	-21952.76772713644
17500	-21927.40502718389
18000	-21909.43567664192
18500	-21795.812335185627
19000	-21733.60665118631
19500	-21755.944623056752
20000	-21791.129521496692
20500	-21802.78252564717
21000	-21834.164416339965
21500	-21924.386135794928
22000	-21954.474398648643
22500	-21930.538901394026
23000	-22001.653011198177
23500	-22003.839649721758
24000	-21917.266508274006
24500	-21822.511681539334
25000	-21996.74894067816
25500	-21846.009333820144
26000	-21768.770377108678
26500	-21690.94647151137
27000	-22019.584197699187
27500	-21757.596556117744
28000	-21889.356146593156
28500	-21822.81493636929
29000	-21814.583979489318
29500	-21726.08197652217
30000	-21956.00948280631
30500	-21954.005587182943
31000	-21647.473221959575
31500	-21713.35633573209
32000	-21943.077824882555
32500	-21786.78584895047
33000	-21893.63177871568
33500	-21738.277796464237
34000	-21712.29200656077
34500	-21809.723535493875
35000	-21888.531695121714
35500	-21747.114948080653
36000	-21858.097818658316
36500	-21864.16059777066
37000	-22061.83630220081
37500	-21725.80775758222
38000	-21778.452209518924
38500	-21823.030646536612
39000	-21695.42772280356
39500	-21802.847054703914
40000	-21885.114617675237
40500	-21996.333635721494
41000	-21835.282107497133
41500	-21923.41197921532
42000	-22228.195760449933
42500	-22350.37027216491
43000	-21856.174075293733
43500	-21893.48788010739
44000	-21896.29883885929
44500	-21777.966459400257
45000	-21953.809468547577
45500	-21686.71913327323
46000	-21819.574379381906
46500	-21897.162905395424
47000	-21982.894427841387
47500	-22210.99091142813
48000	-22023.578964941673
48500	-22049.537905232424
49000	-22104.21941083339
49500	-21959.37487918727
50000	-21970.73350070906
50500	-21970.707133987227
51000	-22110.821494260817
51500	-21901.23456950088
52000	-22306.72021636396
52500	-22004.017905803757
53000	-21893.72383619694
53500	-22071.06362804702
54000	-21937.641800908736
54500	-22016.182319602176
55000	-21895.439550668772
55500	-22026.905831402873
56000	-21875.48064582264
56500	-21995.67095362192
57000	-21795.63584273091
57500	-21853.26624595973
58000	-21828.36585464245
58500	-21832.633754163777
59000	-21726.734692857674
59500	-21752.857440810174
60000	-21920.79050419033
60500	-21921.727327523753
61000	-21822.63065787511
61500	-21875.76882202212
62000	-21827.671194103397
62500	-21851.59386110336
63000	-22012.86236417216
63500	-21813.278058195025
64000	-21996.87888005815
64500	-22019.74328698324
65000	-21903.77089848513
65500	-21635.455528775547
66000	-22052.45934131158
66500	-21816.31105115456
67000	-21727.904822534107
67500	-21640.082196746516
68000	-21654.229164641274
68500	-21823.456375176895
69000	-21734.356288463972
69500	-21791.43069075186
70000	-21748.907044335996
70500	-21907.774480665874
71000	-21855.12417791602
71500	-21866.01124518962
72000	-21953.23705973692
72500	-21731.568061333008
73000	-21692.605038939404
73500	-21772.562668876875
74000	-21894.26047512202
74500	-21944.390828789812
75000	-21907.15216689323
75500	-21806.887343819424
76000	-21954.138950618795
76500	-21971.375107352353
77000	-22009.62566677034
77500	-21783.064702823856
78000	-21885.812975250818
78500	-22017.74327228322
79000	-21858.597541696803
79500	-21793.846233423603
80000	-22069.897573232272
80500	-21967.238429859844
81000	-21908.814982324115
81500	-22008.103565545745
82000	-21972.331595515963
82500	-21901.273081118015
83000	-21844.45232555355
83500	-21783.3851231844
84000	-21749.343436482523
84500	-21793.129169416035
85000	-21831.56652390565
85500	-21742.053210009395
86000	-21895.19830376257
86500	-21811.41668363134
87000	-21925.66584914511
87500	-21999.19772289238
88000	-21973.06750742223
88500	-21995.60018808345
89000	-22081.896234830587
89500	-22190.468231655657
90000	-21941.999549253447
90500	-22205.501720224755
91000	-21803.664714941795
91500	-21899.02439774538
