Sample	likelihood
0	-21519.943664453018
500	-21527.67297055452
1000	-21572.62047362645
1500	-21520.267786994104
2000	-21553.002227070232
2500	-21583.230128004314
3000	-21551.70020983056
3500	-21555.873476497844
4000	-21514.49941573724
4500	-21521.26397950371
5000	-21522.42089069971
5500	-21532.72426960826
6000	-21565.07275318251
6500	-21487.769155041184
7000	-21490.939299825746
7500	-21470.106405915383
8000	-21476.698411522233
8500	-21480.3366828377
9000	-21498.185217044105
9500	-21448.666597032505
10000	-21510.489966248966
10500	-21494.957209900305
11000	-21536.87020172605
11500	-21472.56857490292
12000	-21501.444546465846
12500	-21590.639360661615
13000	-21546.931396709155
13500	-21527.868881962066
14000	-21481.521298005937
14500	-21469.647073126533
15000	-21524.02096830147
15500	-21528.320773973912
16000	-21517.320402537545
16500	-21517.601795117098
17000	-21569.491512397643
17500	-21505.116161937756
18000	-21492.342501114268
18500	-21538.695209324473
19000	-21666.082101146294
19500	-21542.298218578377
20000	-21622.372396084276
20500	-21497.18437307457
21000	-21514.527895356507
21500	-21530.805001957997
22000	-21503.85032287016
22500	-21546.482918322326
23000	-21568.809846356602
23500	-21483.3726638166
24000	-21490.432070552197
24500	-21531.87836245976
25000	-21469.854693873698
25500	-21531.40015312633
26000	-21528.610439797612
26500	-21554.975226359264
27000	-21519.3844119457
27500	-21578.767934139367
28000	-21570.695528583463
28500	-21546.18162485818
29000	-21589.719672124666
29500	-21589.24273581877
30000	-21501.18290118609
30500	-21531.068002592558
31000	-21562.854894399214
31500	-21591.200147548025
32000	-21569.307414784984
32500	-21514.566343006823
33000	-21543.120900419573
33500	-21543.736327047794
34000	-21511.42697105657
34500	-21579.361734441496
35000	-21547.3359975869
35500	-21495.021732910336
36000	-21466.235522220104
36500	-21538.537826849177
37000	-21546.929913311564
37500	-21546.7393817322
38000	-21603.807747982857
38500	-21591.172502041405
39000	-21526.700929529765
39500	-21537.665004648832
40000	-21524.606191442384
40500	-21483.590785592776
41000	-21534.906116467195
41500	-21492.33250831441
42000	-21456.71612610639
42500	-21495.452402701758
43000	-21513.674954778842
43500	-21534.346114316002
44000	-21514.797809305943
44500	-21543.300906434702
45000	-21550.321153363624
45500	-21569.768270581706
46000	-21556.674672808243
46500	-21596.448121975445
47000	-21589.381108123187
47500	-21570.29811201541
48000	-21555.822698873275
48500	-21531.117016934422
49000	-21467.50053497457
49500	-21550.971143989835
50000	-21502.5679293316
50500	-21512.952225437046
51000	-21548.611279184926
51500	-21548.227067137916
52000	-21590.14378901016
52500	-21615.879420871603
53000	-21513.321057295434
53500	-21502.794296005795
54000	-21543.7031914969
54500	-21609.911814308995
55000	-21579.234203895645
55500	-21590.01094602707
56000	-21665.38574184351
56500	-21631.00737429726
57000	-21501.354506156837
57500	-21549.34720152052
58000	-21544.849848980677
58500	-21501.371357544987
59000	-21548.12122284345
59500	-21623.608257467564
60000	-21578.261473173112
60500	-21521.23558641381
61000	-21593.873478446738
61500	-21563.55337461239
62000	-21584.424549181265
62500	-21554.398876987798
63000	-21546.857243719365
63500	-21480.30538522846
64000	-21524.36855894428
64500	-21488.142238528566
65000	-21595.465072928648
65500	-21492.56604324473
66000	-21468.764478685738
66500	-21508.31681575864
67000	-21576.095975337004
67500	-21606.900408912436
68000	-21515.088593778368
68500	-21508.738506780304
69000	-21511.301033996653
69500	-21467.85047137105
70000	-21558.329159176563
70500	-21629.30630671258
71000	-21575.555535806947
71500	-21573.936841060742
72000	-21557.136609944075
72500	-21559.23137875657
73000	-21543.325778760955
73500	-21507.983583157704
74000	-21568.579913860387
74500	-21557.81191575168
75000	-21539.925574603207
75500	-21516.26002490063
76000	-21546.706475974435
76500	-21505.182237853893
77000	-21529.312615473733
77500	-21488.583082016583
78000	-21518.319214326748
78500	-21511.791510541854
79000	-21526.363638160514
79500	-21481.915715353673
80000	-21493.894683911065
80500	-21502.69830962333
81000	-21552.259899830442
81500	-21515.247655126648
82000	-21528.818837918487
82500	-21652.237431066224
83000	-21540.262472836876
83500	-21487.390310558858
84000	-21471.902633379366
84500	-21577.065482562724
85000	-21491.895332575208
85500	-21544.252954644802
86000	-21541.668042805864
86500	-21602.71366627541
87000	-21497.18269452882
87500	-21504.78488958251
88000	-21459.478775422285
88500	-21477.009585501706
89000	-21470.63172800692
89500	-21478.96166925534
90000	-21597.773661090272
90500	-21569.97568995744
91000	-21496.763113428497
91500	-21479.838540187815
92000	-21461.972092742304
92500	-21551.600822380577
93000	-21529.78819923908
93500	-21569.16563565785
94000	-21474.801157874816
94500	-21494.95324389948
95000	-21501.019729389085
95500	-21528.236954538865
96000	-21477.75737463054
96500	-21494.97288582088
97000	-21512.029427474314
97500	-21437.001306738395
98000	-21449.885850082763
98500	-21486.876759110342
99000	-21539.050382016514
99500	-21548.138362461043
100000	-21517.321175119137
100500	-21499.405373293877
101000	-21472.15026850336
101500	-21527.292417267312
102000	-21469.108572362486
102500	-21503.731622446965
103000	-21548.937826343692
103500	-21478.13723646552
104000	-21532.28206501327
104500	-21511.074345780595
105000	-21499.089832363872
105500	-21499.9189905499
106000	-21483.513942467565
106500	-21494.0691334339
107000	-21505.74450210992
107500	-21530.50366937836
108000	-21574.128159662458
108500	-21570.911645870954
109000	-21493.40184881042
109500	-21454.428288066323
110000	-21485.318710168216
110500	-21480.39234762131
111000	-21475.55802319188
111500	-21506.415083798274
112000	-21462.224578864483
112500	-21495.279393929814
113000	-21505.563793085195
113500	-21473.47605289137
114000	-21538.04621165425
114500	-21446.42174901731
115000	-21554.84888101396
115500	-21531.554189142855
116000	-21541.694248797223
116500	-21566.950601735738
117000	-21509.1960040269
117500	-21505.16541747878
118000	-21501.74624835217
118500	-21499.576445946503
119000	-21520.296268456445
119500	-21452.925487113433
120000	-21517.156600528364
120500	-21543.178105075185
121000	-21508.31198280685
121500	-21489.407023550106
122000	-21529.5576784501
122500	-21497.766180131144
123000	-21481.236294353355
123500	-21512.829598232645
124000	-21561.631099164057
124500	-21473.016047280576
125000	-21532.54490209256
125500	-21492.598459047127
126000	-21571.76084208027
126500	-21535.497495319833
127000	-21521.23069377786
127500	-21488.28119816862
128000	-21463.556241819944
128500	-21486.869343238017
129000	-21559.82334769578
129500	-21514.931485104065
130000	-21488.80608325805
130500	-21470.13542284432
131000	-21478.721457650277
131500	-21508.281957702064
132000	-21495.94691458298
132500	-21491.717880759174
133000	-21578.935612666108
133500	-21596.33955058173
134000	-21567.689727939105
134500	-21541.480727391536
135000	-21560.631786456157
135500	-21569.154803710964
