Sample	likelihood
0	-21328.4709124439
500	-21340.550770724174
1000	-21326.15351639125
1500	-21322.236467253108
2000	-21328.261103475954
2500	-21327.63478129621
3000	-21335.461563160312
3500	-21341.388764411426
4000	-21341.76713323814
4500	-21340.250649749818
5000	-21336.046216132083
5500	-21334.964567046
6000	-21335.94296685325
6500	-21341.17581058591
7000	-21346.711370091423
7500	-21339.76191164696
8000	-21334.42029058664
8500	-21329.896440783417
9000	-21329.590478256756
9500	-21329.00307226903
10000	-21329.353135141133
10500	-21336.993012429983
11000	-21327.32597598581
11500	-21340.29612327528
12000	-21331.282332390587
12500	-21335.889597881094
13000	-21331.00717214566
13500	-21330.73589985698
14000	-21343.150040622786
14500	-21338.888843000983
15000	-21334.644988990836
15500	-21326.623611110936
16000	-21342.494027875175
16500	-21331.07750256232
17000	-21339.325262693652
17500	-21342.101323261006
18000	-21328.34662598773
18500	-21329.091503883497
19000	-21324.548922079255
19500	-21347.852690138156
20000	-21342.15909149462
20500	-21328.720166630243
21000	-21343.41087668102
21500	-21331.516040129114
22000	-21334.86002283017
22500	-21344.074940896473
23000	-21345.511608759993
23500	-21337.240615063798
24000	-21339.12544839589
24500	-21323.1403454729
25000	-21349.558455101956
25500	-21336.657171565555
26000	-21343.0733581455
26500	-21346.574621052474
27000	-21357.895669422105
27500	-21342.069759917602
28000	-21344.033492365328
28500	-21328.770969281897
29000	-21343.512897128654
29500	-21333.260197167605
30000	-21331.183454440215
30500	-21333.0514874638
31000	-21348.253667254947
31500	-21341.811716573215
32000	-21329.405264996996
32500	-21331.30556510933
33000	-21341.344271938815
33500	-21326.52873066645
34000	-21314.587711440672
34500	-21324.7657615499
35000	-21349.007845950993
35500	-21335.999611165622
36000	-21328.19308522978
36500	-21345.759286510143
37000	-21337.752800356473
37500	-21330.561578479308
38000	-21341.36534250106
38500	-21344.613121407325
39000	-21333.80010561821
39500	-21346.03446892725
40000	-21349.957306112934
40500	-21342.434262902836
41000	-21336.63182683691
41500	-21320.492971529333
42000	-21335.18425175039
42500	-21325.005357580554
43000	-21323.45505533997
43500	-21326.57302909054
44000	-21334.714103697876
44500	-21338.62005558391
45000	-21324.297943166588
45500	-21346.57368425055
46000	-21349.216685577634
46500	-21352.950916088535
47000	-21328.018583811398
47500	-21341.430993019167
48000	-21334.758258072463
48500	-21339.06194755902
49000	-21340.437852125688
49500	-21336.80641304182
