Sample	likelihood
0	-41617.9444034216
500	-42781.90641169786
1000	-42398.60041862604
1500	-44735.75454651612
2000	-44538.24174013694
2500	-45130.580349779586
3000	-43642.23886518546
3500	-44976.50994941476
4000	-39142.84227578761
4500	-38918.856006140755
5000	-40810.899202984096
5500	-46947.95789392925
6000	-48543.25332103544
6500	-45816.669246896636
7000	-42297.626650306884
7500	-49303.217815655706
8000	-54950.36342999948
8500	-43352.66274396748
9000	-54672.69723438521
9500	-57538.07900913476
10000	-55170.65863704439
10500	-50360.00747362766
11000	-49582.86364264002
11500	-51364.977887820016
12000	-51417.76053037564
12500	-46505.7585610432
13000	-51457.606328861526
13500	-56238.24718248128
14000	-53114.994427131096
14500	-52005.64515269285
15000	-49943.05799491556
15500	-48420.013039005134
16000	-46647.530758006906
16500	-50171.39870455819
17000	-53104.21602028513
17500	-49419.2313845643
18000	-44200.72655682602
18500	-48096.23255634936
19000	-42110.035042626005
19500	-40502.684500064744
20000	-42215.896195560075
20500	-38927.72299999676
21000	-44688.68644471064
21500	-49573.29373955704
22000	-44080.87036972602
22500	-41078.93141462967
23000	-42035.88779551808
23500	-46622.071244667655
24000	-45062.97345285428
24500	-42527.30406565244
25000	-42359.5832879784
25500	-47160.489083026085
26000	-42820.30268802095
26500	-44866.881641814216
27000	-44895.74955184126
27500	-41775.9751936055
28000	-45316.04563494007
28500	-47210.2460987644
29000	-49761.654437769364
29500	-42275.88738631818
30000	-48275.08415236866
30500	-45793.93854145723
31000	-44379.277908995704
31500	-54900.703522744676
32000	-51136.50242664293
32500	-56444.26833583376
33000	-57344.31441018276
33500	-56491.52494829833
34000	-63020.74170893943
34500	-59657.11663875323
35000	-64391.08145007924
35500	-47634.335617347286
36000	-49190.652432729185
36500	-49257.01103501172
37000	-46416.95965420509
37500	-48130.55757313785
38000	-36872.87131007866
38500	-37939.416975967244
39000	-48791.70719838562
39500	-39746.916737375104
40000	-37005.52481142771
40500	-35022.93320851127
41000	-39759.43768940703
41500	-39785.4477898249
42000	-37050.461442530315
42500	-38472.90590555872
43000	-37948.47712499708
43500	-35969.83294273429
44000	-37307.15615886887
44500	-38389.47460490337
45000	-36642.650286200274
45500	-37529.27153763966
46000	-35343.41869555419
46500	-37771.64253839607
47000	-38376.73980939961
47500	-34715.134668727726
48000	-34757.8548534276
48500	-34432.55354468041
49000	-37547.724460097554
49500	-37342.79554009697
50000	-34771.95903887402
50500	-35313.50745446782
51000	-47322.26178882338
51500	-46039.672901999504
52000	-47751.23396054597
52500	-46445.486516089106
53000	-48920.97226320915
53500	-43780.19641190476
54000	-42974.140890204915
54500	-44307.88928219363
55000	-47645.33625259151
55500	-48178.620077142084
56000	-47834.881891915895
56500	-47769.31752758629
57000	-47859.42361988047
57500	-47516.918919991804
58000	-48381.04777862236
58500	-46745.8436920151
59000	-46968.09566591319
59500	-46325.59453806135
60000	-44050.78723917227
60500	-44274.072035503814
61000	-46563.453897992615
61500	-35133.04207884813
62000	-36465.41585187866
62500	-38310.032403520345
63000	-34861.372674900165
63500	-37377.04140523688
64000	-37524.56863075296
64500	-37679.66928373794
65000	-38374.66128478018
65500	-37276.54126619387
66000	-38597.16043284021
66500	-37836.476658266816
67000	-37614.44027376682
67500	-38597.14668785648
68000	-37810.90318709401
68500	-35827.42860091288
69000	-38286.40775841499
69500	-38591.314803752604
70000	-37444.99877945229
70500	-35941.18876396879
71000	-37143.207229346284
71500	-38227.415889250326
72000	-35202.655204201415
72500	-38525.82266332353
73000	-37195.8350131223
73500	-34843.87639490189
74000	-35507.22800457423
74500	-34130.57687253991
75000	-35932.20737308346
75500	-38311.95441699262
76000	-35774.75502422731
76500	-37285.92968867293
77000	-42398.081522073015
77500	-43211.654450661445
78000	-44274.137617567816
78500	-44215.504924688365
79000	-43406.22204175202
79500	-43972.74606401695
80000	-44683.772217455014
80500	-41551.37467681465
81000	-42318.59231035364
81500	-41762.73034213087
82000	-35282.395632842316
82500	-34089.92906199396
83000	-37645.130901295604
83500	-36392.50511323242
84000	-37276.84290176912
84500	-39679.40165570096
85000	-39693.626466225855
85500	-38244.136290370574
86000	-36846.169916583836
86500	-39061.26413884808
87000	-45604.58474126048
87500	-49514.39783725162
88000	-44161.29457506441
88500	-42751.37398457849
89000	-42872.85133222197
89500	-38339.82336303535
90000	-41551.578179130585
90500	-43611.60855524411
91000	-44218.84451705001
91500	-39564.68005252702
92000	-45981.67479946907
92500	-44538.65974860756
93000	-44949.751627427555
93500	-43349.072187406346
94000	-42673.802433939214
94500	-39616.97229625738
95000	-41574.66936325049
95500	-38549.931390044534
96000	-37413.01787097239
96500	-39410.949696047006
97000	-38733.915451350644
97500	-40211.85618304644
98000	-39281.71850272844
98500	-38803.35057548038
99000	-40401.55071185059
99500	-39295.03484363776
100000	-39295.03905285902
100500	-39247.00830874468
101000	-39295.039284811595
101500	-39209.30941130956
102000	-38985.00166056894
102500	-36963.125528102806
103000	-35900.94322336922
103500	-38293.7800265488
104000	-39668.112737785064
104500	-39206.99432078694
105000	-35939.35759772455
105500	-36803.03120469729
106000	-37728.5433671108
106500	-39077.28596731885
107000	-37134.175725088746
107500	-36105.37752709053
108000	-38892.86841740879
108500	-39113.05033636003
109000	-39214.76880276933
109500	-38584.26881718109
110000	-38690.85894634488
110500	-38902.92432142901
111000	-36316.568685054655
111500	-39790.00417553577
112000	-36946.63139644527
112500	-48559.98132150552
113000	-47130.45376261567
113500	-46959.196670958074
114000	-47559.50894728258
114500	-43971.74463536225
115000	-44882.87749498207
115500	-48553.58279167917
116000	-49662.93080045004
116500	-45952.71341892828
117000	-46618.04113914249
117500	-44226.847239614275
118000	-61125.963899899696
118500	-59949.05725407023
119000	-59574.01220335712
119500	-47348.96575715158
120000	-45476.95243303134
120500	-47424.62876245771
121000	-47188.08015910467
121500	-39735.028063522586
122000	-37715.52950567408
122500	-44274.85322067145
123000	-53871.21544992256
123500	-52032.944507899214
124000	-54659.0044153259
124500	-56753.76774638578
125000	-52639.92573545669
125500	-56171.243207359774
126000	-53501.74429246535
126500	-51665.735394110845
127000	-52054.385002231444
127500	-54886.71403772667
128000	-52631.55958730491
128500	-53744.30696658699
129000	-54320.96336973732
129500	-47201.509138309
130000	-46541.20302865701
130500	-44691.004505849894
