Sample	likelihood
0	-23591.276453088347
500	-23415.056783835775
1000	-22730.51469088971
1500	-22956.364043696947
2000	-23347.100662050674
2500	-24275.203951781456
3000	-23569.59963453244
3500	-23758.38340874817
4000	-23313.57851597236
4500	-23169.846892206246
5000	-22712.763408735183
5500	-22542.289970910148
6000	-22461.424864648623
6500	-22903.332777953125
7000	-22804.741250516723
7500	-23214.17157157525
8000	-22371.143473506203
8500	-22765.72534358195
9000	-22570.462684235586
9500	-22798.15055428491
10000	-23284.501175441772
10500	-22673.472769400458
11000	-23169.771819209902
11500	-22510.728819239772
12000	-22667.239604826376
12500	-22945.28392399449
13000	-22942.175270934673
13500	-22732.529550632833
14000	-23101.483134230784
14500	-22566.95554455034
15000	-22926.171492011043
15500	-23795.558187829953
16000	-24783.534207226698
16500	-23173.150928919124
17000	-22299.349952143668
17500	-22517.516238711298
18000	-23015.205868815745
18500	-24049.12375018029
19000	-23295.44361191003
19500	-23384.005474408892
20000	-22664.194300900577
20500	-22996.19614700748
21000	-23098.23846312702
21500	-23532.795493433867
22000	-22941.498238059918
22500	-24315.068234449842
23000	-24020.67360525502
23500	-23720.86097163784
24000	-24117.983659970538
24500	-23638.81400872248
25000	-23181.481568622126
25500	-23594.24513408429
26000	-24669.110937664413
26500	-23828.828456755207
27000	-23276.855197834917
27500	-23574.06425675353
28000	-23533.892252126756
28500	-22897.687317835786
29000	-23145.565759741898
29500	-23697.30185031391
30000	-23559.290868052474
30500	-23203.338749833867
31000	-23201.814884566244
31500	-23456.32146170982
32000	-23165.034190191123
32500	-23633.056080815008
33000	-22588.815227448118
33500	-22797.041554933992
34000	-22707.31341265462
34500	-22605.375979724224
35000	-22362.36384073968
35500	-22420.2081483856
36000	-22288.47420752514
36500	-22746.31995803966
37000	-22809.63501242841
37500	-23748.54884171463
38000	-23346.369637535936
38500	-23050.09051017769
39000	-22892.99255075913
39500	-22494.77191656163
40000	-24877.28720101187
40500	-22914.869209928598
41000	-23665.468765139653
41500	-22862.79119780588
42000	-22827.864706613887
42500	-22651.86345230079
43000	-22662.24072182449
43500	-22852.549500178196
44000	-22908.653148067213
44500	-22537.14148858728
45000	-22723.499657450142
45500	-22697.713494278538
46000	-22198.895018088257
46500	-23370.02065944201
47000	-22863.803017545575
47500	-22836.763211276055
48000	-22454.74375403721
48500	-23189.109924473494
49000	-23954.055257044565
49500	-22422.42440949976
50000	-23066.61762469831
50500	-22323.32201346089
51000	-23412.532049065667
51500	-23159.396597330535
52000	-22599.095439482997
52500	-22582.092661737086
53000	-22797.628346312264
53500	-23218.46721534947
54000	-23662.682256122236
54500	-23282.404401004696
55000	-22977.460052124858
55500	-22738.394926015946
56000	-22836.018267448177
56500	-22500.108496195407
57000	-22675.569838950734
57500	-22964.685948132792
